timestamp,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,mode_switch,return_switch,rattitude_switch,posctl_switch,loiter_switch,acro_switch,offboard_switch,kill_switch,arm_switch,transition_switch,gear_switch,mode_slot,data_source,stab_switch,man_switch
25757984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25769984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25781985,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25789984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25801985,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25815811,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25825983,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25834922,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25845986,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25857984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25870547,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25878012,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25890005,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25901984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25914941,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25921986,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25934860,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25945986,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25954865,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25965984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25977984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
25989985,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26001984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26009985,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26022015,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26035141,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26046013,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26055198,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26065984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26077984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26090003,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26097984,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
26110015,0.0,-0.0,0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0
