timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
25757984,25757984,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25769984,25769984,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25781985,25781985,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25789984,25789984,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25801985,25801985,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25815811,25815811,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25825983,25825983,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25834922,25834922,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25845986,25845986,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25857984,25857984,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25870547,25870547,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25878012,25878012,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25890005,25890005,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25901984,25901984,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25914941,25914941,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25921986,25921986,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25934860,25934860,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25945986,25945986,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
25954865,25954865,127,5,0,0,1500,1500,1102,1500,1898,1102,1102,1102,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
