timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
423396731,423395594,0.26,0.010000033,9.627182,9.660924,1.0659509,10.339475,0
423417595,423415578,0.26,0.010000038,9.86158,10.339685,1.0450647,11.021571,0
423436868,423435587,0.26,0.010000043,10.301658,11.021782,1.0698427,11.743704,0
423456889,423455596,0.26,0.010000047,10.535658,11.743915,1.0501901,12.467728,0
423476960,423475604,0.25877437,0.009999883,10.533413,12.467938,0.9887831,13.151477,0
423496744,423495613,0.25761846,0.009999725,10.380942,13.151691,0.91043603,13.771139,0
423516769,423515622,0.25652307,0.009999571,10.209051,13.771358,0.84091383,14.327334,0
423536768,423535631,0.2554871,0.009999421,9.96015,14.327557,0.76933783,14.812075,0
423556964,423555640,0.25447983,0.009999273,9.9315,14.812301,0.73988587,15.263338,0
423576858,423575649,0.2534885,0.009999128,9.99284,15.263567,0.7269078,15.696012,0
423597068,423595705,0.2525127,0.009998985,10.036753,15.696244,0.71309626,16.109062,0
423617709,423615666,0.25155637,0.009998843,10.01796,16.109299,0.69221246,16.49145,0
423636959,423635675,0.25062704,0.009998702,9.890891,16.49169,0.65911806,16.832113,0
423657054,423655684,0.2497258,0.009998563,9.718021,16.832357,0.6234021,17.126627,0
423676823,423675693,0.24879955,0.009998423,10.08972,17.126875,0.6604464,17.449915,0
423696835,423695703,0.24790321,0.009998284,9.874521,17.450167,0.6208548,17.7224,0
423716841,423715716,0.24703537,0.0099981455,9.640226,17.722654,0.58264387,17.945524,0
423736781,423735719,0.24614935,0.009998007,9.896611,17.945782,0.6064125,18.182436,0
423756888,423755727,0.24524565,0.009997867,10.154198,18.182697,0.63007236,18.433317,0
423777383,423775736,0.2443813,0.009997727,9.774122,18.433582,0.5758419,18.61862,0
423797481,423795745,0.24353707,0.009997588,9.574674,18.618889,0.54708105,18.76503,0
423817881,423815754,0.24272159,0.009997447,9.257346,18.765303,0.5074286,18.863178,0
423837440,423835765,0.24189824,0.009997305,9.332872,18.863455,0.51305854,18.957083,0
423856973,423855771,0.2410663,0.009997162,9.413055,18.957363,0.51932687,19.04732,0
423877075,423875798,0.24021375,0.009997017,9.625869,19.047604,0.54050165,19.147854,0
