timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
423224947,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
423728059,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
424229029,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
425243087,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
426262479,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
429307998,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
430326077,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
431342998,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
432351531,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
433362135,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
434380108,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
435398078,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
435905240,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
436919033,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
437938249,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
438953740,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
439969006,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
440985062,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
441995315,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
443013003,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
444026407,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
445032999,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
446047084,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
447067021,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
448080999,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
449100101,280304005,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
449994156,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
451007162,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
453039852,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
454043087,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
455059071,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
456067103,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
457374076,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
458395075,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
458902397,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
459915995,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
460926141,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
461941120,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
462960998,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
463978080,449983092,305070127,304152591,305070127,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
465027997,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
466035754,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
467048058,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
468064094,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
469083255,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
471111995,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
472130027,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
473141163,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
474152080,464506272,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9
