timestamp,timestamp_sample,x,y,z,q[0],q[1],q[2],q[3],q_offset[0],q_offset[1],q_offset[2],q_offset[3],pose_covariance[0],pose_covariance[1],pose_covariance[2],pose_covariance[3],pose_covariance[4],pose_covariance[5],pose_covariance[6],pose_covariance[7],pose_covariance[8],pose_covariance[9],pose_covariance[10],pose_covariance[11],pose_covariance[12],pose_covariance[13],pose_covariance[14],pose_covariance[15],pose_covariance[16],pose_covariance[17],pose_covariance[18],pose_covariance[19],pose_covariance[20],vx,vy,vz,rollspeed,pitchspeed,yawspeed,velocity_covariance[0],velocity_covariance[1],velocity_covariance[2],velocity_covariance[3],velocity_covariance[4],velocity_covariance[5],velocity_covariance[6],velocity_covariance[7],velocity_covariance[8],velocity_covariance[9],velocity_covariance[10],velocity_covariance[11],velocity_covariance[12],velocity_covariance[13],velocity_covariance[14],velocity_covariance[15],velocity_covariance[16],velocity_covariance[17],velocity_covariance[18],velocity_covariance[19],velocity_covariance[20],local_frame,velocity_frame
10376877,10375847,0.0,0.0,0.120413,0.99985224,-0.016107213,0.00496918,0.0033899324,0.0,0.0,0.0,0.0,0.12408974,0.0,0.0,0.0,0.0,0.0,0.12409038,0.0,0.0,0.0,0.0,0.9654885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012321969,0.0029820492,0.009998801,0.0028303505,-0.0020328688,-0.0013316097,0.20434357,0.0,0.0,0.0,0.0,0.0,0.20434609,0.0,0.0,0.0,0.0,0.23961413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10386721,10385848,0.0,0.0,0.12068133,0.99985224,-0.016106263,0.004967905,0.0034026376,0.0,0.0,0.0,0.0,0.1268656,0.0,0.0,0.0,0.0,0.0,0.12686627,0.0,0.0,0.0,0.0,0.97363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010392006,0.0027935456,0.010125342,0.0028303452,-0.002032895,-0.0013316316,0.20466225,0.0,0.0,0.0,0.0,0.0,0.20466477,0.0,0.0,0.0,0.0,0.24066506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10396956,10395853,0.0,0.0,0.120990016,0.9998522,-0.016101925,0.0049686492,0.0034111305,0.0,0.0,0.0,0.0,0.12968293,0.0,0.0,0.0,0.0,0.0,0.12968361,0.0,0.0,0.0,0.0,0.9089796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082698115,0.0026981274,0.010204932,0.0028303901,-0.0020328981,-0.0013311798,0.20501396,0.0,0.0,0.0,0.0,0.0,0.20501648,0.0,0.0,0.0,0.0,0.2288818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10406656,10405886,0.0,0.0,0.121293984,0.9998522,-0.016102128,0.0049696113,0.0034220866,0.0,0.0,0.0,0.0,0.13254187,0.0,0.0,0.0,0.0,0.0,0.13254258,0.0,0.0,0.0,0.0,0.91663355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074915006,0.002606175,0.010231643,0.0028302989,-0.0020329135,-0.0013311886,0.20539804,0.0,0.0,0.0,0.0,0.0,0.20540056,0.0,0.0,0.0,0.0,0.22989272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10416764,10415866,0.0,0.0,0.1215926,0.9998521,-0.016101837,0.0049748924,0.0034383372,0.0,0.0,0.0,0.0,0.13544258,0.0,0.0,0.0,0.0,0.0,0.13544333,0.0,0.0,0.0,0.0,0.92434704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072217267,0.002535582,0.010346525,0.002830321,-0.002032906,-0.0013309361,0.20581478,0.0,0.0,0.0,0.0,0.0,0.20581731,0.0,0.0,0.0,0.0,0.23090632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10426663,10425903,0.0,0.0,0.12188769,0.99985206,-0.016101789,0.004974864,0.003459018,0.0,0.0,0.0,0.0,0.13838525,0.0,0.0,0.0,0.0,0.0,0.13838603,0.0,0.0,0.0,0.0,0.9321204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073860097,0.002594263,0.010523182,0.0028303128,-0.0020329242,-0.0013309418,0.206265,0.0,0.0,0.0,0.0,0.0,0.20626754,0.0,0.0,0.0,0.0,0.23192263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10436945,10435877,0.0,0.0,0.12217827,0.99985194,-0.016107371,0.0049748695,0.0034738479,0.0,0.0,0.0,0.0,0.14137007,0.0,0.0,0.0,0.0,0.0,0.14137086,0.0,0.0,0.0,0.0,0.9399538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007987493,0.0024298942,0.010564074,0.002830279,-0.002032952,-0.001329672,0.20674735,0.0,0.0,0.0,0.0,0.0,0.2067499,0.0,0.0,0.0,0.0,0.23294164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10446621,10445857,0.0,0.0,0.122464634,0.9998519,-0.016103793,0.0049724225,0.0035070272,0.0,0.0,0.0,0.0,0.14439721,0.0,0.0,0.0,0.0,0.0,0.14439803,0.0,0.0,0.0,0.0,0.94784766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080319104,0.0024583386,0.010589205,0.0028303275,-0.0020329538,-0.0013296135,0.20726225,0.0,0.0,0.0,0.0,0.0,0.20726483,0.0,0.0,0.0,0.0,0.23396337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10456589,10455859,0.0,0.0,0.122746795,0.99985176,-0.016102755,0.0049715373,0.003532338,0.0,0.0,0.0,0.0,0.14746688,0.0,0.0,0.0,0.0,0.0,0.14746772,0.0,0.0,0.0,0.0,0.95580226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088958186,0.0024541095,0.010586767,0.0028303056,-0.0020329456,-0.0013296665,0.20781092,0.0,0.0,0.0,0.0,0.0,0.20781353,0.0,0.0,0.0,0.0,0.2349878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10466956,10465868,0.0,0.0,0.12302383,0.9998516,-0.016106883,0.004978684,0.00355975,0.0,0.0,0.0,0.0,0.1505793,0.0,0.0,0.0,0.0,0.0,0.15058017,0.0,0.0,0.0,0.0,0.9638179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008366436,0.0023239278,0.010603491,0.0028302525,-0.00203293,-0.0013290377,0.20839256,0.0,0.0,0.0,0.0,0.0,0.20839521,0.0,0.0,0.0,0.0,0.23601492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10476893,10475862,0.0,0.0,0.123295754,0.99985147,-0.016107716,0.0049768686,0.0035926884,0.0,0.0,0.0,0.0,0.09519537,0.0,0.0,0.0,0.0,0.0,0.09519571,0.0,0.0,0.0,0.0,0.97189486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061034487,0.0024927587,0.010529127,0.0028312562,-0.0020341661,-0.0013290804,0.14647931,0.0,0.0,0.0,0.0,0.0,0.14648113,0.0,0.0,0.0,0.0,0.23704465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
