timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1870370,5.1723633,3.3596191,1,0,1,0,1,0,0
1880369,5.24165,3.3306153,1,0,1,0,1,0,0
1890369,5.167529,3.3596191,1,0,1,0,1,0,0
1900428,5.1836424,3.3596191,1,0,1,0,1,0,0
1910399,5.2223144,3.3306153,1,0,1,0,1,0,0
1920416,5.170752,3.3596191,1,0,1,0,1,0,0
1930368,5.225537,3.338672,1,0,1,0,1,0,0
1940369,5.1594725,3.3306153,1,0,1,0,1,0,0
1950370,5.220703,3.338672,1,0,1,0,1,0,0
1960369,5.235205,3.3306153,1,0,1,0,1,0,0
1970369,5.182031,3.3338377,1,0,1,0,1,0,0
1980368,5.2368164,3.3322265,1,0,1,0,1,0,0
1990368,5.1610837,3.3338377,1,0,1,0,1,0,0
2000368,5.2078123,3.3338377,1,0,1,0,1,0,0
2010371,5.215869,3.3531737,1,0,1,0,1,0,0
2020369,5.1691403,3.3338377,1,0,1,0,1,0,0
2030406,5.240039,3.3322265,1,0,1,0,1,0,0
2040432,5.2577634,3.3306153,1,0,1,0,1,0,0
2050477,5.2110353,3.3338377,1,0,1,0,1,0,0
2060477,5.22876,3.3322265,1,0,1,0,1,0,0
2070436,5.24165,3.3580077,1,0,1,0,1,0,0
2080395,5.2513185,3.3338377,1,0,1,0,1,0,0
2090376,5.2513185,3.3322265,1,0,1,0,1,0,0
2100386,5.2464843,3.3338377,1,0,1,0,1,0,0
2110367,5.2497067,3.3338377,1,0,1,0,1,0,0
2120370,5.244873,3.3322265,1,0,1,0,1,0,0
2130368,5.2480955,3.3338377,1,0,1,0,1,0,0
2140438,5.2480955,3.3580077,1,0,1,0,1,0,0
2150388,5.2529297,3.3322265,1,0,1,0,1,0,0
2160368,5.243262,3.3338377,1,0,1,0,1,0,0
2170369,5.244873,3.3547852,1,0,1,0,1,0,0
2180369,5.259375,3.3290038,1,0,1,0,1,0,0
2190381,5.256152,3.3322265,1,0,1,0,1,0,0
2200369,5.264209,3.3563964,1,0,1,0,1,0,0
2210371,5.2464843,3.3354492,1,0,1,0,1,0,0
2220371,5.2335935,3.3628418,1,0,1,0,1,0,0
2230370,5.2368164,3.3290038,1,0,1,0,1,0,0
2240370,5.231982,3.3563964,1,0,1,0,1,0,0
2250378,5.22876,3.3290038,1,0,1,0,1,0,0
2260370,5.231982,3.3338377,1,0,1,0,1,0,0
2270370,5.2239256,3.3338377,1,0,1,0,1,0,0
2280396,5.21748,3.3322265,1,0,1,0,1,0,0
2290370,5.2464843,3.3338377,1,0,1,0,1,0,0
2300430,5.2513185,3.3322265,1,0,1,0,1,0,0
2310398,5.2368164,3.3338377,1,0,1,0,1,0,0
2320369,5.2464843,3.3322265,1,0,1,0,1,0,0
2330369,5.254541,3.3580077,1,0,1,0,1,0,0
2340379,5.2384276,3.3306153,1,0,1,0,1,0,0
2350371,5.22876,3.3306153,1,0,1,0,1,0,0
2360377,5.22876,3.3322265,1,0,1,0,1,0,0
2370402,5.230371,3.3563964,1,0,1,0,1,0,0
2380370,5.235205,3.3531737,1,0,1,0,1,0,0
2390370,5.235205,3.3370605,1,0,1,0,1,0,0
2400370,5.24165,3.3322265,1,0,1,0,1,0,0
