timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1848352,1847429,6780433,0,1003.35583,22.769999
1891649,1890727,6780433,0,1003.3664,22.779999
1934953,1934030,6780433,0,1003.3537,22.779999
1978325,1977397,6780433,0,1003.38184,22.789999
2021585,2020631,6780433,0,1003.38446,22.789999
2064873,2063928,6780433,0,1003.37695,22.789999
2108350,2107395,6780433,0,1003.36664,22.789999
2151449,2150528,6780433,0,1003.35406,22.789999
2194888,2193828,6780433,0,1003.36676,22.789999
2238050,2237128,6780433,0,1003.37964,22.8
2281416,2280459,6780433,0,1003.39514,22.8
2324647,2323727,6780433,0,1003.3721,22.8
2367985,2367034,6780433,0,1003.36694,22.8
2411297,2410375,6780433,0,1003.36194,22.8
2454654,2453692,6780433,0,1003.34406,22.8
2497854,2496933,6780433,0,1003.36206,22.8
2541221,2540295,6780433,0,1003.35187,22.8
2584447,2583527,6780433,0,1003.35187,22.8
2627748,2626828,6780433,0,1003.375,22.81
2671049,2670128,6780433,0,1003.36456,22.8
2714350,2713430,6780433,0,1003.3441,22.8
2757650,2756727,6780433,0,1003.35956,22.8
2800951,2800031,6780433,0,1003.3673,22.81
2844247,2843327,6780433,0,1003.3776,22.81
2887579,2886627,6780433,0,1003.3494,22.81
2930967,2930020,6780433,0,1003.3753,22.82
2974195,2973272,6780433,0,1003.3521,22.81
3017570,3016527,6780433,0,1003.3776,22.81
3060749,3059829,6780433,0,1003.3419,22.81
3104096,3103176,6780433,0,1003.37256,22.81
3147348,3146427,6780433,0,1003.365,22.82
3190676,3189756,6780433,0,1003.3446,22.81
3233986,3233041,6780433,0,1003.3728,22.82
3277273,3276327,6780433,0,1003.34216,22.82
3320548,3319627,6780433,0,1003.3525,22.82
3363876,3362927,6780433,0,1003.37787,22.82
3407294,3406319,6780433,0,1003.3576,22.82
3450449,3449528,6780433,0,1003.3676,22.82
3493884,3492827,6780433,0,1003.3832,22.82
3537071,3536127,6780433,0,1003.37537,22.82
3580384,3579427,6780433,0,1003.3525,22.82
3623646,3622727,6780433,0,1003.36,22.82
3666947,3666026,6780433,0,1003.355,22.82
3710248,3709326,6780433,0,1003.3753,22.82
3753598,3752638,6780433,0,1003.3626,22.82
3796943,3795963,6780433,0,1003.33966,22.82
3840230,3839271,6780433,0,1003.38574,22.83
3883561,3882639,6780433,0,1003.39075,22.82
3926748,3925828,6780433,0,1003.36786,22.82
3970204,3969127,6780433,0,1003.36536,22.82
4013350,4012427,6780433,0,1003.3754,22.82
4056691,4055741,6780433,0,1003.36536,22.82
4099947,4099027,6780433,0,1003.38055,22.82
4143282,4142327,6780433,0,1003.38855,22.83
4186549,4185628,6780433,0,1003.34247,22.83
4229915,4228951,6780433,0,1003.38855,22.83
4273191,4272271,6780433,0,1003.38086,22.83
4316466,4315531,6780433,0,1003.3933,22.83
4359955,4358996,6780433,0,1003.37317,22.83
4403048,4402127,6780433,0,1003.3782,22.83
4446494,4445431,6780433,0,1003.3757,22.83
4489647,4488727,6780433,0,1003.391,22.83
4532948,4532027,6780433,0,1003.38074,22.83
4576280,4575330,6780433,0,1003.3603,22.83
4619575,4618655,6780433,0,1003.3708,22.83
4662907,4661976,6780433,0,1003.3835,22.84
4706256,4705296,6780433,0,1003.39374,22.84
4749447,4748527,6780433,0,1003.38086,22.83
4792879,4791827,6780433,0,1003.40405,22.84
4836299,4835132,6780433,0,1003.37067,22.83
4879348,4878427,6780433,0,1003.3937,22.84
4922865,4921746,6780433,0,1003.39386,22.84
4965956,4965032,6780433,0,1003.3837,22.84
5009248,5008327,6780433,0,1003.38104,22.84
5052575,5051650,6780433,0,1003.39624,22.84
5095851,5094927,6780433,0,1003.3735,22.84
5139356,5138321,6780433,0,1003.39386,22.84
5182552,5181598,6780433,0,1003.36566,22.83
5225821,5224830,6780433,0,1003.3683,22.84
5269175,5268127,6780433,0,1003.38873,22.84
5312525,5311605,6780433,0,1003.36066,22.84
5355652,5354730,6780433,0,1003.40405,22.84
5398948,5398027,6780433,0,1003.3864,22.84
5442269,5441349,6780433,0,1003.40936,22.85
5485614,5484659,6780433,0,1003.3761,22.84
5528874,5527951,6780433,0,1003.3864,22.85
5572192,5571272,6780433,0,1003.38605,22.84
5615470,5614527,6780433,0,1003.37335,22.84
5658878,5657925,6780433,0,1003.35034,22.84
5702096,5701150,6780433,0,1003.348,22.84
5745447,5744427,6780433,0,1003.37335,22.84
5788650,5787730,6780433,0,1003.38855,22.84
5831950,5831028,6780433,0,1003.36566,22.84
5875248,5874327,6780433,0,1003.35535,22.83
5918578,5917628,6780433,0,1003.39374,22.84
5961855,5960935,6780433,0,1003.4093,22.84
6005199,6004277,6780433,0,1003.34296,22.84
6048448,6047527,6780433,0,1003.36316,22.84
6091765,6090827,6780433,0,1003.3915,22.85
6135221,6134250,6780433,0,1003.389,22.85
6178378,6177429,6780433,0,1003.3633,22.84
6221793,6220728,6780433,0,1003.4248,22.85
6264949,6264027,6780433,0,1003.38104,22.84
6308252,6307329,6780433,0,1003.3786,22.84
6351547,6350628,6780433,0,1003.356,22.85
6394983,6393956,6780433,0,1003.3735,22.84
6438191,6437271,6780433,0,1003.37366,22.84
6481524,6480563,6780433,0,1003.36584,22.84
6524749,6523828,6780433,0,1003.39655,22.84
6568140,6567128,6780433,0,1003.3711,22.84
6611553,6610592,6780433,0,1003.38116,22.84
6654650,6653727,6780433,0,1003.39404,22.85
6698135,6697033,6780433,0,1003.389,22.85
6741294,6740375,6780433,0,1003.40686,22.85
6784547,6783626,6780433,0,1003.3761,22.84
