timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
1870317,4294967295,1153,9,715,648,904,1069,3210,2085,4039,3145,1989,1527,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1880317,4294967295,1154,11,717,649,904,1057,3253,2067,4041,3152,2002,1531,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1890316,4294967295,1152,9,716,650,904,1041,3207,2085,4041,3145,1988,1527,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1900348,4294967295,1152,10,715,646,903,1034,3217,2085,4037,3141,1990,1529,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1910346,4294967295,1153,10,716,649,904,1033,3241,2067,4037,3142,1989,1525,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1920330,4294967295,1154,8,717,651,904,1034,3209,2085,4041,3154,1989,1534,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1930315,4294967295,1153,11,717,651,904,1040,3243,2072,4037,3156,1989,1540,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1940316,4294967295,1153,10,716,646,904,1031,3202,2067,4038,3148,1990,1499,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1950316,4294967295,1153,10,717,650,904,1041,3240,2072,4038,3145,2001,1511,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1960317,4294967295,1154,11,716,649,904,1052,3249,2067,4036,3154,2002,1521,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1970316,4294967295,1153,9,715,645,904,1045,3216,2069,4042,3146,2003,1520,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1980316,4294967295,1153,11,717,652,904,1042,3250,2068,4039,3153,1989,1523,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1990316,4294967295,1153,7,716,653,904,1034,3203,2069,4038,3143,1987,1530,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2000316,4294967295,1154,10,716,653,904,1034,3232,2069,4041,3141,2002,1525,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2010319,4294967295,1153,10,716,651,904,1036,3237,2081,4041,3148,1989,1530,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2020316,4294967295,1154,8,715,647,904,1038,3208,2069,4041,3158,2002,1524,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2030316,4294967295,1156,11,715,651,903,1040,3252,2068,4039,3158,1992,1524,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2040316,4294967295,1156,9,715,635,904,1001,3263,2067,4036,3137,1978,1531,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2050316,4294967295,1153,9,716,646,904,1049,3234,2069,4039,3145,1989,1527,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2060351,4294967295,1158,10,716,581,904,1040,3245,2068,4042,3148,1992,1531,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
