timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
1871952,1871120,396825,-0.5688763,0.5369964,0.12474547,nan,0,0
1883185,1882354,396825,-0.56808656,0.5366442,0.12474547,nan,0,0
1894499,1893670,396825,-0.5676917,0.5369964,0.12502298,nan,0,0
1905724,1904894,396825,-0.56808656,0.5369964,0.12474547,nan,0,0
1916948,1916117,396825,-0.56808656,0.5366442,0.12530047,nan,0,0
1928261,1927426,396825,-0.56848145,0.5369964,0.12557797,nan,0,0
1939480,1938650,396825,-0.5688763,0.5366442,0.12474547,nan,0,0
1950732,1949902,396825,-0.56808656,0.5369964,0.12502298,nan,0,0
1962002,1961162,396825,-0.56848145,0.5369964,0.12474547,nan,0,0
1973213,1972378,396825,-0.56848145,0.5369964,0.12474547,nan,0,0
1984505,1983657,396825,-0.56808656,0.5366442,0.12557797,nan,0,0
1995754,1994905,396825,-0.5688763,0.5366442,0.12530047,nan,0,0
2006954,2006122,396825,-0.5688763,0.5366442,0.12585546,nan,0,0
2018215,2017380,396825,-0.5688763,0.5369964,0.12502298,nan,0,0
2029592,2028681,396825,-0.5688763,0.53734857,0.12502298,nan,0,0
2040734,2039904,396825,-0.5692712,0.5366442,0.12668796,nan,0,0
2051973,2051143,396825,-0.5692712,0.53629214,0.12557797,nan,0,0
2063338,2062438,396825,-0.5688763,0.53593993,0.12502298,nan,0,0
2074487,2073657,396825,-0.5692712,0.5366442,0.12530047,nan,0,0
2085763,2084926,396825,-0.5688763,0.53629214,0.12530047,nan,0,0
2096963,2096132,396825,-0.5692712,0.53629214,0.12502298,nan,0,0
2108293,2107452,396825,-0.5688763,0.53629214,0.12502298,nan,0,0
2119591,2118695,396825,-0.5692712,0.53629214,0.12557797,nan,0,0
2130734,2129904,396825,-0.5692712,0.53629214,0.12502298,nan,0,0
2141977,2141142,396825,-0.5696661,0.53629214,0.12502298,nan,0,0
2153342,2152499,396825,-0.5692712,0.53629214,0.12585546,nan,0,0
2164481,2163651,396825,-0.5688763,0.53629214,0.12585546,nan,0,0
2175720,2174891,396825,-0.5696661,0.53629214,0.12557797,nan,0,0
2187134,2186204,396825,-0.5692712,0.53629214,0.12557797,nan,0,0
2198290,2197460,396825,-0.5696661,0.53629214,0.12585546,nan,0,0
2209478,2208648,396825,-0.5696661,0.53629214,0.12557797,nan,0,0
2220766,2219903,396825,-0.5692712,0.53629214,0.12613297,nan,0,0
2232060,2231216,396825,-0.5692712,0.53629214,0.12585546,nan,0,0
2243238,2242408,396825,-0.5696661,0.53629214,0.12613297,nan,0,0
2254524,2253667,396825,-0.5688763,0.5366442,0.12557797,nan,0,0
2265815,2264957,396825,-0.5696661,0.5366442,0.12585546,nan,0,0
2277048,2276213,396825,-0.5692712,0.53629214,0.12585546,nan,0,0
2288318,2287488,396825,-0.5692712,0.5377007,0.12030552,nan,0,0
2299539,2298707,396825,-0.5692712,0.53629214,0.12557797,nan,0,0
2310785,2309956,396825,-0.5688763,0.53593993,0.12502298,nan,0,0
2322122,2321236,396825,-0.5696661,0.53629214,0.12585546,nan,0,0
2333287,2332458,396825,-0.5692712,0.53629214,0.12502298,nan,0,0
2344495,2343665,396825,-0.5696661,0.53629214,0.12557797,nan,0,0
2355819,2354974,396825,-0.5692712,0.53629214,0.12530047,nan,0,0
2367061,2366211,396825,-0.5692712,0.53629214,0.12502298,nan,0,0
2378257,2377428,396825,-0.5696661,0.53629214,0.12502298,nan,0,0
2389555,2388700,396825,-0.5688763,0.53629214,0.12557797,nan,0,0
2400873,2399985,396825,-0.5688763,0.53629214,0.12474547,nan,0,0
2412022,2411193,396825,-0.5688763,0.53629214,0.12530047,nan,0,0
2423284,2422454,396825,-0.5692712,0.53629214,0.12557797,nan,0,0
2434616,2433738,396825,-0.5688763,0.53629214,0.12530047,nan,0,0
2445883,2445017,396825,-0.56848145,0.53629214,0.12474547,nan,0,0
2457048,2456213,396825,-0.5692712,0.53629214,0.12530047,nan,0,0
2468336,2467480,396825,-0.5692712,0.5366442,0.12474547,nan,0,0
2479555,2478721,396825,-0.5688763,0.53593993,0.12474547,nan,0,0
2490779,2489949,396825,-0.5688763,0.53629214,0.12502298,nan,0,0
2502094,2501253,396825,-0.5688763,0.53593993,0.12502298,nan,0,0
2513326,2512496,396825,-0.5688763,0.53593993,0.12530047,nan,0,0
2524562,2523729,396825,-0.5692712,0.53593993,0.12530047,nan,0,0
2535818,2534988,396825,-0.5692712,0.53593993,0.12530047,nan,0,0
2547106,2546276,396825,-0.5688763,0.53593993,0.12530047,nan,0,0
2558411,2557513,396825,-0.5692712,0.53593993,0.12474547,nan,0,0
2569584,2568754,396825,-0.5692712,0.53593993,0.12502298,nan,0,0
2580808,2579978,396825,-0.5692712,0.53593993,0.12557797,nan,0,0
2592042,2591212,396825,-0.5688763,0.53629214,0.12502298,nan,0,0
2603409,2602518,396825,-0.5696661,0.53593993,0.12474547,nan,0,0
2614568,2613738,396825,-0.5688763,0.53629214,0.12557797,nan,0,0
2625798,2624960,396825,-0.5688763,0.53629214,0.12530047,nan,0,0
2637167,2636278,396825,-0.5692712,0.53593993,0.12530047,nan,0,0
2648427,2647597,396825,-0.5688763,0.5366442,0.12530047,nan,0,0
2659563,2658734,396825,-0.5692712,0.53629214,0.12474547,nan,0,0
2670799,2669967,396825,-0.5688763,0.53593993,0.12557797,nan,0,0
2682174,2681343,396825,-0.5688763,0.53629214,0.12474547,nan,0,0
2693308,2692479,396825,-0.5692712,0.53629214,0.12474547,nan,0,0
2704563,2703733,396825,-0.5696661,0.53629214,0.12530047,nan,0,0
2715865,2715036,396825,-0.5688763,0.53629214,0.12557797,nan,0,0
