timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1848169,5.2239256,3.3338377,1,0,1,0,1,0,0
1858104,5.196533,3.3322265,1,0,1,0,1,0,0
1868102,5.235205,3.3306153,1,0,1,0,1,0,0
1878121,5.1691403,3.3515625,1,0,1,0,1,0,0
1888188,5.24165,3.3306153,1,0,1,0,1,0,0
1898086,5.1868653,3.3628418,1,0,1,0,1,0,0
1908155,5.191699,3.3580077,1,0,1,0,1,0,0
1918153,5.2271485,3.3322265,1,0,1,0,1,0,0
1928170,5.157861,3.3290038,1,0,1,0,1,0,0
1938175,5.194922,3.3563964,1,0,1,0,1,0,0
1948144,5.22876,3.3322265,1,0,1,0,1,0,0
1958218,5.1852536,3.3322265,1,0,1,0,1,0,0
1968231,5.2529297,3.3580077,1,0,1,0,1,0,0
1978226,5.2223144,3.3306153,1,0,1,0,1,0,0
1988211,5.2029786,3.3290038,1,0,1,0,1,0,0
1998276,5.244873,3.3306153,1,0,1,0,1,0,0
2008216,5.190088,3.3322265,1,0,1,0,1,0,0
2018218,5.2497067,3.3306153,1,0,1,0,1,0,0
2028283,5.2497067,3.3563964,1,0,1,0,1,0,0
2038226,5.2480955,3.3338377,1,0,1,0,1,0,0
2048210,5.2142577,3.3290038,1,0,1,0,1,0,0
2058212,5.24165,3.3306153,1,0,1,0,1,0,0
2068236,5.2480955,3.3322265,1,0,1,0,1,0,0
2078229,5.2384276,3.3306153,1,0,1,0,1,0,0
2088258,5.243262,3.3322265,1,0,1,0,1,0,0
2098221,5.243262,3.3354492,1,0,1,0,1,0,0
2108231,5.243262,3.3306153,1,0,1,0,1,0,0
2118246,5.2529297,3.3563964,1,0,1,0,1,0,0
2128220,5.2480955,3.3580077,1,0,1,0,1,0,0
2138238,5.2335935,3.3563964,1,0,1,0,1,0,0
2148214,5.2513185,3.3354492,1,0,1,0,1,0,0
2158199,5.2529297,3.3306153,1,0,1,0,1,0,0
2168192,5.2464843,3.3322265,1,0,1,0,1,0,0
2178216,5.2368164,3.338672,1,0,1,0,1,0,0
2188141,5.2335935,3.3322265,1,0,1,0,1,0,0
2198154,5.243262,3.3563964,1,0,1,0,1,0,0
2208177,5.24165,3.3306153,1,0,1,0,1,0,0
2218137,5.2384276,3.3338377,1,0,1,0,1,0,0
2228214,5.2239256,3.3563964,1,0,1,0,1,0,0
2238237,5.2335935,3.3612304,1,0,1,0,1,0,0
2248250,5.235205,3.3547852,1,0,1,0,1,0,0
2258234,5.2335935,3.3322265,1,0,1,0,1,0,0
2268256,5.2497067,3.3580077,1,0,1,0,1,0,0
2278203,5.219092,3.3354492,1,0,1,0,1,0,0
2288222,5.235205,3.3580077,1,0,1,0,1,0,0
2298250,5.2384276,3.3306153,1,0,1,0,1,0,0
2308212,5.244873,3.3596191,1,0,1,0,1,0,0
2318216,5.2464843,3.3322265,1,0,1,0,1,0,0
2328199,5.230371,3.3338377,1,0,1,0,1,0,0
2338178,5.2464843,3.3338377,1,0,1,0,1,0,0
2348188,5.235205,3.3322265,1,0,1,0,1,0,0
2358461,5.225537,3.3322265,1,0,1,0,1,0,0
2368192,5.2368164,3.3547852,1,0,1,0,1,0,0
2378393,5.2384276,3.3338377,1,0,1,0,1,0,0
2388403,5.2384276,3.3370605,1,0,1,0,1,0,0
2398368,5.2335935,3.3322265,1,0,1,0,1,0,0
2408376,5.2384276,3.3354492,1,0,1,0,1,0,0
2418371,5.231982,3.3290038,1,0,1,0,1,0,0
2428390,5.235205,3.3612304,1,0,1,0,1,0,0
2438375,5.24165,3.3563964,1,0,1,0,1,0,0
2448435,5.2529297,3.3338377,1,0,1,0,1,0,0
2458346,5.2529297,3.3306153,1,0,1,0,1,0,0
2468416,5.256152,3.3338377,1,0,1,0,1,0,0
2478383,5.2529297,3.3338377,1,0,1,0,1,0,0
2488347,5.26582,3.3612304,1,0,1,0,1,0,0
2498300,5.2625976,3.3338377,1,0,1,0,1,0,0
2508319,5.230371,3.3563964,1,0,1,0,1,0,0
2518324,5.235205,3.3322265,1,0,1,0,1,0,0
2528369,5.22876,3.3596191,1,0,1,0,1,0,0
2538454,5.22876,3.3306153,1,0,1,0,1,0,0
2548314,5.235205,3.3580077,1,0,1,0,1,0,0
2558399,5.2335935,3.3580077,1,0,1,0,1,0,0
2568419,5.244873,3.3322265,1,0,1,0,1,0,0
2578392,5.2464843,3.3580077,1,0,1,0,1,0,0
2588390,5.2529297,3.3580077,1,0,1,0,1,0,0
2598396,5.2513185,3.3338377,1,0,1,0,1,0,0
2608394,5.256152,3.3338377,1,0,1,0,1,0,0
2618400,5.243262,3.3338377,1,0,1,0,1,0,0
2628451,5.254541,3.3306153,1,0,1,0,1,0,0
2638337,5.2384276,3.3322265,1,0,1,0,1,0,0
2648337,5.243262,3.338672,1,0,1,0,1,0,0
2658369,5.243262,3.3338377,1,0,1,0,1,0,0
2668277,5.235205,3.3338377,1,0,1,0,1,0,0
2678260,5.2368164,3.3580077,1,0,1,0,1,0,0
2688259,5.22876,3.3580077,1,0,1,0,1,0,0
2698266,5.243262,3.3580077,1,0,1,0,1,0,0
2708256,5.2464843,3.325781,1,0,1,0,1,0,0
2718306,5.220703,3.3322265,1,0,1,0,1,0,0
2728260,5.2497067,3.3322265,1,0,1,0,1,0,0
2738334,5.2142577,3.3483398,1,0,1,0,1,0,0
2748374,5.220703,3.3547852,1,0,1,0,1,0,0
2758316,5.2577634,3.3338377,1,0,1,0,1,0,0
2768319,5.2513185,3.3338377,1,0,1,0,1,0,0
2778366,5.2529297,3.3580077,1,0,1,0,1,0,0
2788368,5.2529297,3.3338377,1,0,1,0,1,0,0
2798328,5.259375,3.3547852,1,0,1,0,1,0,0
2808457,5.2368164,3.3322265,1,0,1,0,1,0,0
2818324,5.2384276,3.3580077,1,0,1,0,1,0,0
2828391,5.2529297,3.3273926,1,0,1,0,1,0,0
2838383,5.243262,3.3322265,1,0,1,0,1,0,0
2848358,5.244873,3.3322265,1,0,1,0,1,0,0
2858359,5.230371,3.3322265,1,0,1,0,1,0,0
2868354,5.2513185,3.3322265,1,0,1,0,1,0,0
2878375,5.2480955,3.3338377,1,0,1,0,1,0,0
2888364,5.2480955,3.3596191,1,0,1,0,1,0,0
2898492,5.2497067,3.3273926,1,0,1,0,1,0,0
