timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
494850126,5.2754884,3.3612304,1,0,1,0,1,0,0
494860105,5.1933103,3.3628418,1,0,1,0,1,0,0
494870095,5.182031,3.3338377,1,0,1,0,1,0,0
494880102,5.1852536,3.3354492,1,0,1,0,1,0,0
494890124,5.190088,3.3354492,1,0,1,0,1,0,0
494900092,5.1755857,3.3370605,1,0,1,0,1,0,0
494910144,5.194922,3.3338377,1,0,1,0,1,0,0
494920056,5.256152,3.3370605,1,0,1,0,1,0,0
494930095,5.2384276,3.3370605,1,0,1,0,1,0,0
494940083,5.2480955,3.3580077,1,0,1,0,1,0,0
494950089,5.264209,3.3354492,1,0,1,0,1,0,0
494960075,5.264209,3.3370605,1,0,1,0,1,0,0
494970113,5.1723633,3.3322265,1,0,1,0,1,0,0
494980106,5.177197,3.3596191,1,0,1,0,1,0,0
494990092,5.1755857,3.3354492,1,0,1,0,1,0,0
495000122,5.1884766,3.3596191,1,0,1,0,1,0,0
495010098,5.190088,3.3322265,1,0,1,0,1,0,0
495020090,5.1884766,3.3322265,1,0,1,0,1,0,0
495030166,5.2529297,3.3338377,1,0,1,0,1,0,0
495040148,5.264209,3.3370605,1,0,1,0,1,0,0
495050125,5.254541,3.3370605,1,0,1,0,1,0,0
495060123,5.2513185,3.3354492,1,0,1,0,1,0,0
495070160,5.270654,3.3370605,1,0,1,0,1,0,0
495080109,5.21748,3.3370605,1,0,1,0,1,0,0
495090169,5.194922,3.3354492,1,0,1,0,1,0,0
495100117,5.191699,3.3354492,1,0,1,0,1,0,0
495110134,5.191699,3.3322265,1,0,1,0,1,0,0
495120109,5.1852536,3.3338377,1,0,1,0,1,0,0
495130094,5.1933103,3.3370605,1,0,1,0,1,0,0
495140088,5.24165,3.3596191,1,0,1,0,1,0,0
495150119,5.2464843,3.3402832,1,0,1,0,1,0,0
495160139,5.2625976,3.3354492,1,0,1,0,1,0,0
495170111,5.2529297,3.3322265,1,0,1,0,1,0,0
495180147,5.2609863,3.3370605,1,0,1,0,1,0,0
495190110,5.243262,3.364453,1,0,1,0,1,0,0
495200121,5.194922,3.3370605,1,0,1,0,1,0,0
495210116,5.177197,3.3338377,1,0,1,0,1,0,0
495220115,5.1997557,3.3612304,1,0,1,0,1,0,0
495230132,5.191699,3.3370605,1,0,1,0,1,0,0
495240189,5.190088,3.3338377,1,0,1,0,1,0,0
495250278,5.2142577,3.3338377,1,0,1,0,1,0,0
495260195,5.2529297,3.3612304,1,0,1,0,1,0,0
495270361,5.2529297,3.3628418,1,0,1,0,1,0,0
495280189,5.2577634,3.338672,1,0,1,0,1,0,0
495290337,5.2464843,3.3370605,1,0,1,0,1,0,0
