timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
494835849,0.0,-0.0,-2.9511666,0.0,-0.09506922,0.0,0.0,0.99547064,0.0,0.0,-0.001,0,0,0,0,0
494855860,0.0,-0.0,-2.9518943,0.0,-0.09470703,0.0,0.0,0.9955052,0.0,0.0,-0.001,0,0,0,0,0
494875865,0.0,-0.0,-2.9514487,0.0,-0.09492883,0.0,0.0,0.99548405,0.0,0.0,-0.001,0,0,0,0,0
494895888,0.0,-0.0,-2.9489255,0.0,-0.096184656,0.0,0.0,0.99536353,0.0,0.0,-0.001,0,0,0,0,0
494915899,0.0,-0.0,-2.9444082,0.0,-0.098432586,0.0,0.0,0.9951437,0.0,0.0,-0.001,0,0,0,0,0
494935890,0.0,-0.0,-2.939827,0.0,-0.10071181,0.0,0.0,0.99491566,0.0,0.0,-0.001,0,0,0,0,0
494955906,0.0,-0.0,-2.937431,0.0,-0.101903595,0.0,0.0,0.9947943,0.0,0.0,-0.001,0,0,0,0,0
494975906,0.0,-0.0,-2.937472,0.0,-0.10188317,0.0,0.0,0.9947964,0.0,0.0,-0.001,0,0,0,0,0
494995914,0.0,-0.0,-2.9389715,0.0,-0.101137355,0.0,0.0,0.99487245,0.0,0.0,-0.001,0,0,0,0,0
495015922,0.0,-0.0,-2.9399765,0.0,-0.10063745,0.0,0.0,0.9949232,0.0,0.0,-0.001,0,0,0,0,0
495035931,0.0,-0.0,-2.9402928,0.0,-0.10048007,0.0,0.0,0.9949391,0.0,0.0,-0.001,0,0,0,0,0
495055940,0.0,-0.0,-2.9408095,0.0,-0.10022304,0.0,0.0,0.99496496,0.0,0.0,-0.001,0,0,0,0,0
495075946,0.0,-0.0,-2.940698,0.0,-0.10027855,0.0,0.0,0.9949594,0.0,0.0,-0.001,0,0,0,0,0
495095954,0.0,-0.0,-2.939424,0.0,-0.10091225,0.0,0.0,0.99489534,0.0,0.0,-0.001,0,0,0,0,0
495115962,0.0,-0.0,-2.9375389,0.0,-0.10184998,0.0,0.0,0.9947998,0.0,0.0,-0.001,0,0,0,0,0
495135973,0.0,-0.0,-2.9350057,0.0,-0.10310991,0.0,0.0,0.99467,0.0,0.0,-0.001,0,0,0,0,0
495155985,0.0,-0.0,-2.932791,0.0,-0.10421129,0.0,0.0,0.9945552,0.0,0.0,-0.001,0,0,0,0,0
495175988,0.0,-0.0,-2.9318209,0.0,-0.10469369,0.0,0.0,0.9945045,0.0,0.0,-0.001,0,0,0,0,0
495195995,0.0,-0.0,-2.931691,0.0,-0.10475831,0.0,0.0,0.9944977,0.0,0.0,-0.001,0,0,0,0,0
495216005,0.0,-0.0,-2.9319007,0.0,-0.10465398,0.0,0.0,0.9945087,0.0,0.0,-0.001,0,0,0,0,0
495236011,0.0,-0.0,-2.9331915,0.0,-0.1040121,0.0,0.0,0.99457604,0.0,0.0,-0.001,0,0,0,0,0
495256019,0.0,-0.0,-2.9349499,0.0,-0.103137664,0.0,0.0,0.99466705,0.0,0.0,-0.001,0,0,0,0,0
495276060,0.0,-0.0,-2.9360762,0.0,-0.10257751,0.0,0.0,0.99472505,0.0,0.0,-0.001,0,0,0,0,0
495296036,0.0,-0.0,-2.9358215,0.0,-0.10270414,0.0,0.0,0.99471194,0.0,0.0,-0.001,0,0,0,0,0
495316044,0.0,-0.0,-2.9338465,0.0,-0.10368641,0.0,0.0,0.99461,0.0,0.0,-0.001,0,0,0,0,0
495336052,0.0,-0.0,-2.9309793,0.0,-0.10511217,0.0,0.0,0.9944604,0.0,0.0,-0.001,0,0,0,0,0
495356063,0.0,-0.0,-2.9288712,0.0,-0.10616032,0.0,0.0,0.994349,0.0,0.0,-0.001,0,0,0,0,0
495376081,0.0,-0.0,-2.9272714,0.0,-0.10695567,0.0,0.0,0.99426377,0.0,0.0,-0.001,0,0,0,0,0
495396076,0.0,-0.0,-2.9255433,0.0,-0.10781471,0.0,0.0,0.994171,0.0,0.0,-0.001,0,0,0,0,0
495416085,0.0,-0.0,-2.9248638,0.0,-0.10815247,0.0,0.0,0.9941343,0.0,0.0,-0.001,0,0,0,0,0
495436093,0.0,-0.0,-2.9254303,0.0,-0.107870884,0.0,0.0,0.99416494,0.0,0.0,-0.001,0,0,0,0,0
495456100,0.0,-0.0,-2.9256954,0.0,-0.10773908,0.0,0.0,0.9941792,0.0,0.0,-0.001,0,0,0,0,0
495476109,0.0,-0.0,-2.9244127,0.0,-0.10837669,0.0,0.0,0.99410987,0.0,0.0,-0.001,0,0,0,0,0
495496117,0.0,-0.0,-2.9219303,0.0,-0.1096105,0.0,0.0,0.9939746,0.0,0.0,-0.001,0,0,0,0,0
495516125,0.0,-0.0,-2.9199479,0.0,-0.110595696,0.0,0.0,0.9938655,0.0,0.0,-0.001,0,0,0,0,0
495536133,0.0,-0.0,-2.9184904,0.0,-0.11131993,0.0,0.0,0.99378467,0.0,0.0,-0.001,0,0,0,0,0
495556141,0.0,-0.0,-2.9162908,0.0,-0.11241284,0.0,0.0,0.9936616,0.0,0.0,-0.001,0,0,0,0,0
495576149,0.0,-0.0,-2.9119852,0.0,-0.11455174,0.0,0.0,0.9934173,0.0,0.0,-0.001,0,0,0,0,0
