timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
498718781,498717423,0.19884646,2.5076239e-05,-1.9877436,8.468863,0.051838584,8.30159,0
498738725,498737431,0.19938737,2.4775603e-05,-2.8363905,8.404,0.10636616,8.267445,0
498758595,498757441,0.20007451,2.448011e-05,-3.626298,8.368928,0.1745881,8.270001,0
498778540,498777448,0.20054476,2.4196559e-05,-2.532504,8.368625,0.08515374,8.220691,0
498798546,498797456,0.2010349,2.3915114e-05,-2.6414025,8.319156,0.0931853,8.174402,0
498819405,498817464,0.2013241,2.3638353e-05,-1.5669422,8.271839,0.03298082,8.100417,0
498838642,498837471,0.20191357,2.3362583e-05,-3.1850944,8.197768,0.1375012,8.075019,0
498858704,498857480,0.20260984,2.3089295e-05,-3.7731104,8.172345,0.19355741,8.07679,0
498878845,498877489,0.20322062,2.2824004e-05,-3.35852,8.17244,0.15335631,8.054737,0
498899238,498897497,0.20395947,2.2564636e-05,-4.102072,8.149107,0.22943197,8.069419,0
498918625,498917525,0.2046182,2.2311502e-05,-3.7042992,8.162781,0.18678047,8.058791,0
498938663,498937512,0.20512395,2.206529e-05,-2.880771,8.150539,0.11313281,8.0112505,0
498958604,498957520,0.20570815,2.1823354e-05,-3.346251,8.1019,0.15356338,7.9805164,0
498978678,498977528,0.20628002,2.1586906e-05,-3.3061163,8.069778,0.1504985,7.9465923,0
498998870,498997537,0.20665425,2.1357193e-05,-2.1894164,8.033925,0.06629586,7.878438,0
499019714,499017548,0.20696321,2.1132384e-05,-1.8187655,7.964114,0.046150185,7.8049307,0
499038916,499037597,0.20729554,2.0911571e-05,-1.9642285,7.889217,0.054338496,7.733734,0
499058914,499057562,0.20782512,2.0692083e-05,-3.1253092,7.8176336,0.13882516,7.692014,0
499079189,499077569,0.20842883,2.0475243e-05,-3.5740814,7.7753544,0.18254343,7.666829,0
499098803,499097582,0.20909895,2.026338e-05,-4.005664,7.748883,0.23007393,7.65999,0
499118753,499117587,0.20988736,2.0056823e-05,-4.768978,7.740787,0.3264548,7.69379,0
499138814,499137593,0.21030568,1.9858966e-05,-2.589339,7.7723823,0.095847584,7.6311574,0
499158927,499157601,0.21064115,1.9665205e-05,-2.0891328,7.7082877,0.062911734,7.560248,0
499178762,499177610,0.21120074,1.9473508e-05,-3.486744,7.6366134,0.17688735,7.5246816,0
499199381,499197619,0.21172625,1.9286927e-05,-3.309667,7.5994267,0.16015676,7.481677,0
499219598,499217626,0.21214648,1.9106144e-05,-2.6796434,7.5544276,0.10561119,7.42066,0
499239272,499237634,0.2125792,1.8929139e-05,-2.776352,7.4920115,0.114316285,7.3618827,0
499259315,499257642,0.2128561,1.8755243e-05,-1.7846845,7.432104,0.047617722,7.290064,0
499278832,499277650,0.21318632,1.858319e-05,-2.129026,7.3595214,0.068433665,7.2213635,0
499298800,499297658,0.21354204,1.8413644e-05,-2.2988107,7.289817,0.08054661,7.1552052,0
499318822,499317667,0.21404932,1.8246694e-05,-3.2876766,7.222635,0.16627999,7.111494,0
499338836,499337684,0.21463843,1.80834e-05,-3.8471966,7.1776795,0.22911957,7.0873723,0
499358815,499357682,0.21518563,1.7924107e-05,-3.6104841,7.152335,0.20250723,7.0526834,0
499379125,499377692,0.21576266,1.776758e-05,-3.8301158,7.1168013,0.22903217,7.0251923,0
499399375,499397699,0.21631433,1.7614166e-05,-3.690215,7.0883746,0.21345885,6.9911237,0
499419736,499417707,0.21684174,1.746409e-05,-3.556859,7.0532036,0.19929866,6.951481,0
499439415,499437756,0.21726738,1.7317465e-05,-2.8944263,7.0123506,0.1327452,6.893696,0
499458961,499457724,0.21780494,1.7177317e-05,-3.720416,6.951944,0.22122502,6.858778,0
499478880,499477773,0.21834557,1.7035543e-05,-3.7114587,6.917877,0.22124521,6.82247,0
499498959,499497744,0.21887209,1.689252e-05,-3.590186,6.8822503,0.20809467,6.7815332,0
499518872,499517748,0.21928129,1.6756723e-05,-2.851783,6.8385143,0.1321383,6.722449,0
499538855,499537755,0.21978316,1.6623448e-05,-3.5137734,6.7783675,0.20238572,6.678637,0
499559177,499557764,0.22036293,1.6492522e-05,-4.0806694,6.7336802,0.27476907,6.6534405,0
499578987,499577772,0.22081198,1.6364163e-05,-3.184694,6.7076635,0.16800478,6.6002617,0
499599096,499597779,0.22103634,1.6238351e-05,-1.60017,6.653433,0.042760614,6.537446,0
499619866,499617788,0.22145823,1.6113232e-05,-3.0023432,6.5902386,0.1519767,6.4815817,0
499638978,499637796,0.22203225,1.5989424e-05,-4.0882387,6.533797,0.28422636,6.45585,0
499659016,499657804,0.22242571,1.5867476e-05,-2.8170877,6.507502,0.13550143,6.397033,0
499679037,499677812,0.22271377,1.5746824e-05,-2.063431,6.4480796,0.07336806,6.3342123,0
499698953,499697820,0.22330943,1.5627085e-05,-4.261496,6.3847747,0.3160357,6.3146486,0
499718922,499717828,0.22369312,1.550889e-05,-2.757804,6.3648105,0.13276964,6.255843,0
499739215,499737837,0.2241069,1.539144e-05,-2.9692376,6.3056135,0.15535314,6.200193,0
499759174,499757844,0.22460972,1.527525e-05,-3.6107867,6.249385,0.23180558,6.158021,0
499779070,499777853,0.22506462,1.5159774e-05,-3.2651956,6.2069597,0.1908521,6.107666,0
499799257,499797861,0.22541413,1.5044518e-05,-2.5007503,6.156488,0.11286652,6.0482655,0
499819664,499817870,0.22575231,1.4929607e-05,-2.4113863,6.096844,0.10597073,5.9890776,0
499839000,499837876,0.22626223,1.4815632e-05,-3.6323001,6.0371723,0.24282165,5.948066,0
499858961,499857884,0.22686206,1.4702506e-05,-4.273443,5.995857,0.33842477,5.9268622,0
499879085,499877899,0.22740813,1.4590952e-05,-3.9094732,5.9742084,0.28425857,5.8923206,0
499889500,499887897,0.22767743,1.4478923e-05,-1.939277,5.938929,0.07036053,5.8640504,0
499919731,499917909,0.22816789,1.4373183e-05,-3.543187,5.910252,0.236015,5.7977066,0
499939298,499937942,0.22857285,1.4265123e-05,-2.9112675,5.8436604,0.1611524,5.743304,0
499959164,499957926,0.22888446,1.415841e-05,-2.2431378,5.7886186,0.096581616,5.6871343,0
499979314,499977934,0.22918339,1.4053538e-05,-2.1590438,5.7315974,0.090365924,5.631732,0
