timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
497626981,3.0079389,3.7977512,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497636993,3.0958278,3.8907967,-2.5118725,-1.2552354,0.001401668,1.2580388,2.5146759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497647030,2.8896253,3.6923144,-2.5100923,-1.2534552,0.003182055,1.2598191,2.5164561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497657010,-2.4952393,3.553227,-2.5081744,-1.2515378,0.005099326,1.2617371,2.5183744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497667000,-1.7543031,3.807286,-2.506732,-1.2500958,0.006540843,1.2631786,2.5198164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497677001,-1.4906054,3.611334,-2.5058417,-1.2492058,0.0074302186,1.264068,2.5207067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497687006,-1.4405304,3.5897017,-2.5057495,-1.2491138,0.0075220796,1.2641599,2.5207987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497697010,-1.369041,3.567558,-2.5052776,-1.248642,0.007993827,1.2646316,2.5212703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497707014,-1.3607616,3.56565,-2.505205,-1.2485693,0.008066481,1.2647042,2.521343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497717018,-1.343806,3.5622258,-2.5047219,-1.2480863,0.008549357,1.2651871,2.521826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497727023,-1.2747874,3.5538094,-2.5041354,-1.2474997,0.00913598,1.2657737,2.5224125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497737026,-1.2884898,3.5548384,-2.5030212,-1.2463856,0.010250063,1.2668877,2.5235267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497747031,-1.3255022,3.5594492,-2.5022485,-1.2456129,0.011022915,1.2676606,2.5242994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497757034,-1.3559762,3.5654328,-2.501415,-1.2447793,0.011856592,1.2684942,2.525133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497767038,-1.4104615,3.5807233,-2.500802,-1.2441666,0.012469418,1.2691072,2.5257459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497777042,-1.5118577,3.6249518,-2.5003862,-1.2437506,0.012885459,1.2695234,2.526162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497787046,-1.4963611,3.6170144,-2.5001261,-1.2434906,0.013145387,1.2697833,2.526422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497797099,-1.4146069,3.582587,-2.4994435,-1.242808,0.013828045,1.2704659,2.5271044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497807054,-1.4639274,3.6019866,-2.4993994,-1.2427638,0.013872254,1.2705101,2.5271487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497817059,-1.5211987,3.6310632,-2.4985695,-1.2419341,0.014701995,1.27134,2.5279787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
497827062,2.522551,3.5476522,-2.4992237,-1.2423004,0.015250958,1.2721666,2.5280619,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497837066,2.52297,3.5476525,-2.4988635,-1.2419403,0.015611161,1.272527,2.5284224,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497847071,2.5236332,3.5476522,-2.4982703,-1.2413471,0.01620469,1.2731209,2.529016,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497857075,2.5242238,3.5476522,-2.4977148,-1.2407918,0.016760131,1.2736765,2.5295715,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497867078,2.5258064,3.547652,-2.4962263,-1.2393035,0.018248647,1.2751653,2.5310605,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497877083,2.5270016,3.5476532,-2.4949937,-1.2380707,0.019481326,1.276398,2.532293,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497887086,2.5287561,3.5476542,-2.4932542,-1.2363315,0.021220716,1.2781374,2.5340323,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497897091,2.5302305,3.5476544,-2.4918852,-1.2349625,0.022589557,1.2795066,2.5354018,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497907117,2.5317454,3.5476522,-2.4907012,-1.2337797,0.023772338,1.2806903,2.5365863,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497917099,2.5329573,3.5476534,-2.489553,-1.2326317,0.024919786,1.2818378,2.5377343,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497927103,2.5333667,3.5476558,-2.48917,-1.2322493,0.025301322,1.2822192,2.5381165,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497937108,2.5340433,3.5476582,-2.4884171,-1.2314961,0.0260541,1.2829716,2.5388691,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497947111,2.534352,3.54766,-2.488049,-1.231128,0.026422154,1.2833395,2.5392368,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
497957117,2.5347452,3.5476606,-2.4876938,-1.2307727,0.026777362,1.2836947,2.5395923,-0.08388017,-0.103527665,-0.06302133,-0.01833978,-0.031231103,-0.032991435,-0.08196615,-0.11578592,-0.08771311,-0.03654344,0.2001196,0.1996795,0.1996823,0.20012407,0.20039463
