t,angle
1.857005,0.405055758177371
1.866955,0.38628187898425
1.876963,0.405062647696555
1.886956,0.630353024539919
1.896957,0.38628187898425
1.906956,0.667890060216039
1.916956,0.386288449201786
1.926956,0.405062647696555
1.936956,0.423829637317625
1.946969,0.38628187898425
1.957048,0.611568425273933
1.967046,0.38628187898425
1.977024,0.405055758177371
1.987026,0.592794546797017
1.997061,0.442603516402575
2.006994,0.592794546797017
2.016987,0.38628187898425
2.027024,0.592804629147268
2.037034,0.649116181985894
2.046987,0.405055758177371
2.056987,0.592794546797017
2.067045,0.405049056368335
2.076994,0.667890060216039
2.087032,0.423836846135498
2.096993,0.405055758177371
2.106998,0.649116181985894
2.116993,0.649116181985894
2.127049,0.405062647696555
2.137006,0.405055758177371
2.147006,0.649116181985894
2.157045,0.649116181985894
2.167018,0.649116181985894
2.177048,0.405055758177371
2.187012,0.423829637317625
2.197005,0.649116181985894
2.207018,0.442603516402575
2.216999,0.423829637317625
2.226963,0.405062647696555
2.236973,0.649116181985894
2.246967,0.611578826885731
2.256967,0.649127222107243
2.267014,0.405055758177371
2.276969,0.405055758177371
2.286972,0.405062647696555
2.297014,0.442603516402575
2.307067,0.405055758177371
2.317025,0.423822624909432
2.327035,0.761759450010428
2.337023,0.405049056368335
2.347026,0.423829637317625
2.35702,0.405055758177371
2.366981,0.649116181985894
2.376985,0.667890060216039
2.386985,0.38628187898425
2.397032,0.442603516402575
2.40699,0.423844251379746
2.416988,0.405055758177371
2.42699,0.405055758177371
2.437093,0.405062647696555
2.447098,0.405049056368335
2.457095,0.405062647696555
2.467124,0.405049056368335
2.477089,0.442603516402575
2.487102,0.649116181985894
2.497049,0.649116181985894
2.507056,0.405055758177371
2.517052,0.611568425273933
2.52707,0.405055758177371
2.537089,0.405055758177371
2.547056,0.649116181985894
2.557053,0.405062647696555
2.567121,0.44261104451604
2.577147,0.405062647696555
2.587122,0.649127222107243
2.597143,0.630342303671042
2.607119,0.667890060216039
2.617116,0.649116181985894
2.627112,0.592794546797017
2.637026,0.405062647696555
2.647027,0.405055758177371
2.657021,0.423829637317625
2.667072,0.405055758177371
2.677,0.423829637317625
2.686996,0.611578826885731
2.696999,0.38628187898425
2.707008,0.386288449201786
2.717024,0.498925153301064
2.727042,0.405062647696555
2.737025,0.386275487777249
2.74703,0.405055758177371
2.757093,0.405055758177371
2.767019,0.630342303671042
2.777011,0.405062647696555
2.787098,0.386288449201786
2.797014,0.405055758177371
2.807065,0.405062647696555
2.817015,0.630342303671042
2.827023,0.649116181985894
2.837024,0.686675616970958
2.847131,0.630342303671042
2.857053,0.649116181985894
2.867052,0.423829637317625
2.877048,0.405049056368335
2.887048,0.592794546797017
2.8971,0.649116181985894
2.907033,0.405055758177371
2.917222,0.386288449201786
2.92704,0.649116181985894
2.937182,0.405055758177371
2.947074,0.367507999740718
2.957059,0.38628187898425
2.967062,0.592794546797017
2.97706,0.423829637317625
2.987246,0.38628187898425
2.997064,0.423829637317625
3.007068,0.649116181985894
3.017062,0.405055758177371
3.027256,0.405055758177371
3.037076,0.592794546797017
3.04708,0.405055758177371
3.057066,0.38628187898425
3.067074,0.667890060216039
3.077204,0.423829637317625
3.08711,0.405055758177371
3.097076,0.38628187898425
3.10707,0.461377395429765
3.117097,0.423844251379746
3.127085,0.405055758177371
3.13708,0.611568425273933
3.147085,0.405062647696555
3.157091,0.423829637317625
3.167096,0.630342303671042
3.177075,0.405055758177371
3.187069,0.405062647696555
3.197067,0.649116181985894
3.207076,0.405055758177371
3.217068,0.405062647696555
3.227086,0.405055758177371
3.236954,0.44261104451604
3.247084,0.44261104451604
3.257109,0.667890060216039
3.267079,0.405055758177371
3.277081,0.367507999740718
3.287086,0.630342303671042
3.29712,0.405062647696555
3.307092,0.405062647696555
3.31708,0.649138563050566
3.32709,0.405062647696555
3.337165,0.667890060216039
3.347198,0.630353024539919
3.357105,0.649116181985894
3.367123,0.386288449201786
3.376954,0.405055758177371
3.387098,0.405055758177371
3.397092,0.44261104451604
3.407118,0.649116181985894
3.417117,0.423829637317625
3.427179,0.38628187898425
3.437132,0.405055758177371
3.447129,0.405055758177371
3.457119,0.405055758177371
3.467199,0.423829637317625
3.477133,0.38628187898425
3.487127,0.405062647696555
3.497118,0.405055758177371
3.506954,0.405055758177371
3.516955,0.630342303671042
3.526953,0.405055758177371
3.536953,0.423829637317625
3.546954,0.38628187898425
3.556954,0.724211694373733
3.566954,0.405055758177371
3.576954,0.38628187898425
3.586953,0.405055758177371
3.596953,0.38628187898425
3.606955,0.405062647696555
3.616954,0.386295198445072
3.626955,0.423836846135498
3.636954,0.405055758177371
3.646956,0.517699032140274
3.656953,0.405055758177371
3.666953,0.38628187898425
3.676954,0.405055758177371
3.686953,0.405062647696555
3.696954,0.386288449201786
3.706954,0.405049056368335
3.716955,0.38628187898425
3.726954,0.649116181985894
3.736956,0.38628187898425
3.746955,0.480151274396744
3.756954,0.611568425273933
3.766955,0.498925153301064
3.776954,0.498925153301064
3.786956,0.254869058392748
3.796954,0.423829637317625
3.806955,0.536472910911925
3.816954,0.311191654716244
3.826955,0.29240764415317
3.836954,0.611568425273933
3.846955,0.160995325435447
3.856954,0.29241248231148
3.866953,0.498925153301064
3.876953,0.480151274396744
3.886953,0.517699032140274
3.896954,0.480151274396744
3.906954,0.442603516402575
3.916954,0.329960241112221
3.926958,0.498925153301064
3.936955,0.555246789613567
3.946954,0.630342303671042
3.956955,0.724211694373733
3.966954,0.329960241112221
3.976967,0.29241248231148
3.986954,0.686663938359028
3.996954,0.555246789613567
