t,angle
1.856183,0.630216530122557
1.866183,0.667763515313415
1.876182,0.780385445195414
1.886182,0.667763515313415
1.896215,0.667763515313415
1.9062,0.648986663076931
1.916191,0.686526928897588
1.926199,0.686533837047818
1.936183,0.667770543826189
1.946182,0.705304158748489
1.956182,0.667770543826189
1.966181,0.649000024527147
1.976182,0.649000024527147
1.986182,0.667763515313415
1.996207,0.649000024527147
2.006181,0.893016772332241
2.016183,0.648993193546204
2.026182,0.648993193546204
2.036182,0.893007373697131
2.046192,0.836705215784537
2.056184,0.648993193546204
2.066181,0.911777694965908
2.076182,0.648993193546204
2.086191,0.630229505193285
2.096182,0.893016772332241
2.106183,0.630229505193285
2.116182,0.855466731028887
2.126185,0.836705215784537
2.136183,0.667770543826189
2.146183,0.648993193546204
2.156183,0.911777694965908
2.166183,0.667763515313415
2.176182,0.911777694965908
2.186185,0.893007373697131
2.196182,0.649000024527147
2.206182,0.667763515313415
2.216182,0.667763515313415
2.226182,0.648993193546204
2.236183,0.667756796002221
2.246182,0.648993193546204
2.256182,0.648993193546204
2.266182,0.930548016189891
2.27621,0.686533837047818
2.286181,0.592688466425129
2.296182,1.02439962160561
2.306182,0.649000024527147
2.316181,0.611452549917043
2.326182,0.911777694965908
2.336188,0.667763515313415
2.346183,0.911777694965908
2.356182,0.630229505193285
2.366182,0.911777694965908
2.376182,0.667770543826189
2.386181,0.667763515313415
2.396181,0.667770543826189
2.406183,0.536376908036926
2.416182,0.648993193546204
2.426213,0.836696409631258
2.436203,0.667770543826189
2.446211,0.64900715603557
2.456272,0.667763515313415
2.46624,0.630222871747106
2.476249,0.911777694965908
2.486261,0.836696409631258
2.496233,0.911787291087005
2.506233,0.573911906167711
2.516241,0.911787291087005
2.526246,0.667770543826189
2.536201,0.705304158748489
2.54624,0.648993193546204
2.55619,0.705304158748489
2.566213,0.893007373697131
2.576226,0.649000024527147
2.586198,0.667763515313415
2.596202,0.911777694965908
2.60621,0.667763515313415
2.616218,0.630222871747106
2.626217,0.949318337368157
2.6362,0.667763515313415
2.6462,0.893007373697131
2.656273,0.893016772332241
2.666231,0.836696409631258
2.676219,0.705304158748489
2.686214,0.648993193546204
2.696209,0.667763515313415
2.706201,0.648993193546204
2.716182,0.667763515313415
2.726206,0.911787291087005
2.736182,0.705297061762189
2.746205,0.630222871747106
2.756182,0.686533837047818
2.766183,0.911777694965908
2.776185,0.893007373697131
2.786215,0.667763515313415
2.796189,0.667763515313415
2.806194,0.686533837047818
2.816278,0.649000024527147
2.826239,0.648993193546204
2.836285,0.648993193546204
2.846233,0.667763515313415
2.856236,0.893007373697131
2.866242,0.648993193546204
2.87624,0.855466731028887
2.886249,0.648986663076931
2.896226,0.648993193546204
2.906221,0.893007373697131
2.916232,0.667785528522266
2.926312,0.836723990386563
2.936258,0.667777881556811
2.946269,0.649014588087982
2.956264,0.667810325008219
2.966273,0.630251156618521
2.976265,0.649022320701585
2.986354,0.649022320701585
2.996383,0.667801750229194
3.006281,0.630258957511522
3.016346,0.705335812679279
3.026397,0.649030353894279
3.036287,0.911841604858531
3.046302,0.705362982935721
3.056344,0.893047449274334
3.066295,0.649038687684662
3.076293,0.630267050309683
3.086365,0.649038687684662
3.096293,1.00569978634409
3.10632,0.667810325008219
3.116285,0.649038687684662
3.126289,0.649038687684662
3.136293,0.630267050309683
3.146296,0.630267050309683
3.156306,0.649038687684662
3.166301,0.649038687684662
3.176338,0.893069968338761
3.186325,0.817962795297399
3.196378,1.00565093321262
3.206329,0.630172585275958
3.216332,0.648919142952632
3.226337,0.63019170491354
3.236182,0.667760256235624
3.246332,0.667689270804981
3.256327,0.630160639015182
3.266422,0.705244050614594
3.27635,0.91171612198775
3.286183,0.724035793993014
3.296184,0.66772783695067
3.306182,0.949282768151765
3.316182,0.667738493126173
3.326182,0.892973913644297
3.336182,0.83667231552047
3.346181,0.630210480304959
3.356181,0.648980433104211
3.366181,0.686520338622726
3.376182,0.667744284923078
3.386182,0.686520338622726
3.396182,0.817910007017456
3.406182,0.855458123470533
3.416183,0.911759769173391
3.426183,0.667756796002221
3.436181,0.724067194595177
3.446181,0.630216530122557
3.456182,0.780377592896116
3.466183,0.986858979583852
3.476181,1.04318092094436
