timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
11081604,0,0.0,0.0,0.0,0.0,-0.23391616,-4.4619478e-07,-8.625152e-07,0.0,0.0057061072,-0.0034145357,-0.03159861,-0.008496666,-8.922111e-05,-0.00017246854,0.0,0.032051597,-0.0026601332,0.016653808,2.6290054,-0.0023352697,0.0,0.11139154,0.4283423,0.9389396,0.5365897,0.44911093,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11091606,0,0.0,0.0,0.0,0.0,-0.2339983,-4.4619478e-07,-8.625152e-07,0.0,0.005734533,-0.0035568816,-0.03152881,-0.008504516,-8.922111e-05,-0.00017246854,0.0,0.0030609667,-0.00791683,-0.0023255155,2.628998,-0.0023352697,0.0,0.11116921,0.4328441,0.94270533,0.5366247,0.45006233,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11101607,0,0.0,0.0,0.0,0.0,-0.23408699,-4.4619478e-07,-8.625152e-07,0.0,0.0056481166,-0.0036591156,-0.031622678,-0.008681738,-8.922111e-05,-0.00017246854,0.0,0.0026284205,-0.003615488,-0.018246662,2.6290045,-0.0023352697,0.0,0.11095356,0.4373654,0.9464839,0.5366935,0.4510141,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11111609,0,0.0,0.0,0.0,0.0,-0.23418353,-4.4619478e-07,-8.625152e-07,0.0,0.005608294,-0.003669175,-0.031805087,-0.008952918,-8.922111e-05,-0.00017246854,0.0,0.00939147,-0.01164257,-0.023323974,2.6290016,-0.0023352697,0.0,0.11074615,0.44190568,0.9502753,0.536796,0.45196623,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11121611,0,0.0,0.0,0.0,0.0,-0.23428741,-4.4619478e-07,-8.625152e-07,0.0,0.0056005456,-0.0036901955,-0.031812996,-0.009054748,-8.922111e-05,-0.00017246854,0.0,0.0003335213,0.0047055422,-0.00037335488,2.6290116,-0.0023352697,0.0,0.11054676,0.44646445,0.9540795,0.53693205,0.4529187,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11131611,0,0.0,0.0,0.0,0.0,-0.23439696,-4.4619478e-07,-8.625152e-07,0.0,0.0054803663,-0.0035054798,-0.031752963,-0.009093533,-8.922111e-05,-0.00017246854,0.0,-0.0030391281,0.015002525,0.0038867784,2.628964,-0.0023352697,0.0,0.11035345,0.45104122,0.9578964,0.5371019,0.45387155,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11141613,0,0.0,0.0,0.0,0.0,-0.2345113,-4.4619478e-07,-8.625152e-07,0.0,0.0053557507,-0.0035633822,-0.031610515,-0.009054545,-8.922111e-05,-0.00017246854,0.0,0.0042993804,-0.0064559034,0.002475952,2.6289225,-0.0023352697,0.0,0.11016516,0.45563564,0.9617261,0.5373054,0.45482472,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11151614,0,0.0,0.0,0.0,0.0,-0.23463108,-4.4619478e-07,-8.625152e-07,0.0,0.0053459257,-0.003652519,-0.031552356,-0.009104251,-8.922111e-05,-0.00017246854,0.0,-0.00273381,-0.0028295023,0.018509287,2.6288815,-0.0023352697,0.0,0.109982885,0.46024725,0.96556854,0.53754246,0.45577827,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11161616,0,0.0,0.0,0.0,0.0,-0.2347641,-4.4619478e-07,-8.625152e-07,0.0,0.0052710897,-0.0037771848,-0.031638928,-0.009310877,-8.922111e-05,-0.00017246854,0.0,-0.0007406548,0.009770795,-0.010684357,2.6288342,-0.0023352697,0.0,0.10962045,0.46487567,0.93424946,0.5378137,0.44492906,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11171659,0,0.0,0.0,0.0,0.0,-0.23490469,-4.4619478e-07,-8.625152e-07,0.0,0.005381261,-0.003866872,-0.031712137,-0.009507744,-8.922111e-05,-0.00017246854,0.0,0.022278732,-0.0015861329,-0.005642169,2.6287007,-0.0023352697,0.0,0.10945715,0.4695206,0.93797714,0.53811777,0.44586778,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11181619,0,0.0,0.0,0.0,0.0,-0.23504801,-4.4619478e-07,-8.625152e-07,0.0,0.005415127,-0.0039112642,-0.03169353,-0.009616193,-8.922111e-05,-0.00017246854,0.0,0.013520661,-0.012685001,-0.005109149,2.6285825,-0.0023352697,0.0,0.10929717,0.47418165,0.94171757,0.5384554,0.44680682,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11191620,0,0.0,0.0,0.0,0.0,-0.23519868,-4.4619478e-07,-8.625152e-07,0.0,0.005563154,-0.0039561614,-0.031846616,-0.009899547,-8.922111e-05,-0.00017246854,0.0,0.005698211,-0.020886196,-0.0155099435,2.6284668,-0.0023352697,0.0,0.10914549,0.4788586,0.9454706,0.53882605,0.44774625,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11201669,0,0.0,0.0,0.0,0.0,-0.23535693,-4.4619478e-07,-8.625152e-07,0.0,0.0056251935,-0.0040313452,-0.031919625,-0.010105879,-8.922111e-05,-0.00017246854,0.0,0.019989604,-0.0011772268,-0.014677863,2.6283646,-0.0023352697,0.0,0.10900158,0.48355106,0.9492362,0.5392319,0.44868597,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11211640,0,0.0,0.0,0.0,0.0,-0.23551838,-4.4619478e-07,-8.625152e-07,0.0,0.005657023,-0.0042806705,-0.032022383,-0.010344751,-8.922111e-05,-0.00017246854,0.0,0.0064104265,-0.031757127,-0.026563177,2.628251,-0.0023352697,0.0,0.1088631,0.48825887,0.95301443,0.53966886,0.44962606,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11221624,0,0.0,0.0,0.0,0.0,-0.23568758,-4.4619478e-07,-8.625152e-07,0.0,0.0056446246,-0.0041863928,-0.03219869,-0.010659828,-8.922111e-05,-0.00017246854,0.0,-0.005707507,0.015247611,0.0072095147,2.6281536,-0.0023352697,0.0,0.10872975,0.4929818,0.95680535,0.5401403,0.45056647,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11231623,0,0.0,0.0,0.0,0.0,-0.23586181,-4.4619478e-07,-8.625152e-07,0.0,0.0056439266,-0.0042143795,-0.032112908,-0.0107153095,-8.922111e-05,-0.00017246854,0.0,-0.012503075,-0.025970425,0.0030386357,2.6280503,-0.0023352697,0.0,0.108600825,0.49771956,0.9606088,0.54064476,0.45150724,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11241627,0,0.0,0.0,0.0,0.0,-0.23604125,-4.4619478e-07,-8.625152e-07,0.0,0.0056157294,-0.004275068,-0.032178834,-0.010924817,-8.922111e-05,-0.00017246854,0.0,0.0021107784,0.010671431,0.004878284,2.6279514,-0.0023352697,0.0,0.10847691,0.5024719,0.9644247,0.5411821,0.45244837,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
11251629,0,0.0,0.0,0.0,0.0,-0.23659524,-4.4619478e-07,-8.625152e-07,0.0,0.005796899,-0.004266676,-0.032498606,-0.011771943,-8.922111e-05,-0.00017246854,0.0,0.015222546,0.00073242985,-0.018254122,2.627861,-0.0023352697,0.0,0.1,0.50723886,0.93320173,0.54175156,0.44169012,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
