timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
11132178,0.0,0.0,2.628964,0.0,0.25351703,0.0,0.0,0.96733093,0.0,0.0,-0.0,0,0,0,0,0
11137232,0.0,0.0,2.628943,0.0,0.2535272,0.0,0.0,0.96732825,0.0,0.0,-0.0,0,0,0,0,0
11142198,0.0,0.0,2.6289225,0.0,0.25353712,0.0,0.0,0.9673257,0.0,0.0,-0.0,0,0,0,0,0
11147178,0.0,0.0,2.6289046,0.0,0.25354576,0.0,0.0,0.9673234,0.0,0.0,-0.0,0,0,0,0,0
11152225,0.0,0.0,2.6288815,0.0,0.25355694,0.0,0.0,0.96732044,0.0,0.0,-0.0,0,0,0,0,0
11157171,0.0,0.0,2.6288555,0.0,0.2535695,0.0,0.0,0.96731716,0.0,0.0,-0.0,0,0,0,0,0
11162181,0.0,0.0,2.6288342,0.0,0.25357977,0.0,0.0,0.9673145,0.0,0.0,-0.0,0,0,0,0,0
11167183,0.0,0.0,2.6287658,0.0,0.25361288,0.0,0.0,0.9673058,0.0,0.0,-0.0,0,0,0,0,0
11172182,0.0,0.0,2.6287007,0.0,0.25364435,0.0,0.0,0.96729755,0.0,0.0,-0.0,0,0,0,0,0
11177149,0.0,0.0,2.6286404,0.0,0.25367352,0.0,0.0,0.9672899,0.0,0.0,-0.0,0,0,0,0,0
11182199,0.0,0.0,2.6285825,0.0,0.25370154,0.0,0.0,0.96728253,0.0,0.0,-0.0,0,0,0,0,0
11187245,0.0,0.0,2.6285276,0.0,0.25372806,0.0,0.0,0.9672756,0.0,0.0,-0.0,0,0,0,0,0
11192142,0.0,0.0,2.6284668,0.0,0.25375748,0.0,0.0,0.9672679,0.0,0.0,-0.0,0,0,0,0,0
11197183,0.0,0.0,2.6284182,0.0,0.253781,0.0,0.0,0.96726173,0.0,0.0,-0.0,0,0,0,0,0
11202134,0.0,0.0,2.6283646,0.0,0.25380692,0.0,0.0,0.9672549,0.0,0.0,-0.0,0,0,0,0,0
11207153,0.0,0.0,2.6283042,0.0,0.2538361,0.0,0.0,0.96724725,0.0,0.0,-0.0,0,0,0,0,0
11212118,0.0,0.0,2.628251,0.0,0.2538618,0.0,0.0,0.9672405,0.0,0.0,-0.0,0,0,0,0,0
11217118,0.0,0.0,2.6282005,0.0,0.25388625,0.0,0.0,0.9672341,0.0,0.0,-0.0,0,0,0,0,0
11222092,0.0,0.0,2.6281536,0.0,0.25390896,0.0,0.0,0.9672281,0.0,0.0,-0.0,0,0,0,0,0
