timestamp,timestamp_sample,x,y,z,q[0],q[1],q[2],q[3],q_offset[0],q_offset[1],q_offset[2],q_offset[3],pose_covariance[0],pose_covariance[1],pose_covariance[2],pose_covariance[3],pose_covariance[4],pose_covariance[5],pose_covariance[6],pose_covariance[7],pose_covariance[8],pose_covariance[9],pose_covariance[10],pose_covariance[11],pose_covariance[12],pose_covariance[13],pose_covariance[14],pose_covariance[15],pose_covariance[16],pose_covariance[17],pose_covariance[18],pose_covariance[19],pose_covariance[20],vx,vy,vz,rollspeed,pitchspeed,yawspeed,velocity_covariance[0],velocity_covariance[1],velocity_covariance[2],velocity_covariance[3],velocity_covariance[4],velocity_covariance[5],velocity_covariance[6],velocity_covariance[7],velocity_covariance[8],velocity_covariance[9],velocity_covariance[10],velocity_covariance[11],velocity_covariance[12],velocity_covariance[13],velocity_covariance[14],velocity_covariance[15],velocity_covariance[16],velocity_covariance[17],velocity_covariance[18],velocity_covariance[19],velocity_covariance[20],local_frame,velocity_frame
11422657,11421653,0.0,0.0,-0.24395093,0.2546402,-0.0077790655,-0.012097346,0.96692896,0.0,0.0,0.0,0.0,0.11386552,0.0,0.0,0.0,0.0,0.0,0.11386637,0.0,0.0,0.0,0.0,0.8605742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006401139,-0.004067516,-0.03440821,0.003358812,-0.0021902262,0.001356476,0.11405765,0.0,0.0,0.0,0.0,0.0,0.11406117,0.0,0.0,0.0,0.0,0.18881905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11432668,11431655,0.0,0.0,-0.24433985,0.2546656,-0.0077875857,-0.012099395,0.96692216,0.0,0.0,0.0,0.0,0.11584158,0.0,0.0,0.0,0.0,0.0,0.11584247,0.0,0.0,0.0,0.0,0.8673432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006271556,-0.0041730558,-0.03464349,0.0033588244,-0.0021901953,0.0013570912,0.11464768,0.0,0.0,0.0,0.0,0.0,0.114651226,0.0,0.0,0.0,0.0,0.18960385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11442514,11441656,0.0,0.0,-0.24473001,0.2546881,-0.0077902055,-0.01210135,0.96691614,0.0,0.0,0.0,0.0,0.11784222,0.0,0.0,0.0,0.0,0.0,0.117843136,0.0,0.0,0.0,0.0,0.8741615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006287832,-0.004006488,-0.03468669,0.0033588428,-0.002190226,0.001357077,0.11525589,0.0,0.0,0.0,0.0,0.0,0.11525947,0.0,0.0,0.0,0.0,0.19039056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11452567,11451658,0.0,0.0,-0.24512151,0.25470674,-0.007785,-0.012104198,0.96691126,0.0,0.0,0.0,0.0,0.11986764,0.0,0.0,0.0,0.0,0.0,0.119868584,0.0,0.0,0.0,0.0,0.8810293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006302028,-0.004115176,-0.034902126,0.0033588444,-0.0021902833,0.0013571075,0.11588106,0.0,0.0,0.0,0.0,0.0,0.115884684,0.0,0.0,0.0,0.0,0.19117917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11462680,11461659,0.0,0.0,-0.2455111,0.2547281,-0.007789213,-0.012102592,0.9669057,0.0,0.0,0.0,0.0,0.121918045,0.0,0.0,0.0,0.0,0.0,0.12191903,0.0,0.0,0.0,0.0,0.88794696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063366317,-0.0042790547,-0.034974784,0.0033588014,-0.0021902074,0.001356952,0.11652211,0.0,0.0,0.0,0.0,0.0,0.11652577,0.0,0.0,0.0,0.0,0.19196968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11472664,11471661,0.0,0.0,-0.24590339,0.25474748,-0.007786102,-0.012097175,0.9669006,0.0,0.0,0.0,0.0,0.08288486,0.0,0.0,0.0,0.0,0.0,0.082885325,0.0,0.0,0.0,0.0,0.8949146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062515424,-0.0042718886,-0.035119716,0.0033614272,-0.0022028063,0.0013565874,0.08800012,0.0,0.0,0.0,0.0,0.0,0.088002846,0.0,0.0,0.0,0.0,0.19276206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11482621,11481662,0.0,0.0,-0.2462958,0.25476098,-0.007783982,-0.012099417,0.9668971,0.0,0.0,0.0,0.0,0.084290296,0.0,0.0,0.0,0.0,0.0,0.08429078,0.0,0.0,0.0,0.0,0.9019325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063603884,-0.004188475,-0.035438076,0.003361356,-0.0022028126,0.0013571675,0.08861899,0.0,0.0,0.0,0.0,0.0,0.088621765,0.0,0.0,0.0,0.0,0.19355637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11492486,11491663,0.0,0.0,-0.24668801,0.2547737,-0.0077878516,-0.012100971,0.9668936,0.0,0.0,0.0,0.0,0.085714854,0.0,0.0,0.0,0.0,0.0,0.08571536,0.0,0.0,0.0,0.0,0.9090008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062368973,-0.004103767,-0.03544849,0.0033614316,-0.0022027984,0.0013571874,0.08925187,0.0,0.0,0.0,0.0,0.0,0.089254685,0.0,0.0,0.0,0.0,0.19435258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11502677,11501675,0.0,0.0,-0.24708034,0.25478694,-0.0077896966,-0.012099326,0.9668902,0.0,0.0,0.0,0.0,0.08715874,0.0,0.0,0.0,0.0,0.0,0.08715927,0.0,0.0,0.0,0.0,0.9161199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006227014,-0.0040725125,-0.035336863,0.0033613795,-0.0022027872,0.0013576417,0.0899016,0.0,0.0,0.0,0.0,0.0,0.08990445,0.0,0.0,0.0,0.0,0.19515069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
11512615,11511666,0.0,0.0,-0.24736193,0.2547938,-0.007787039,-0.012098988,0.96688837,0.0,0.0,0.0,0.0,0.08862217,0.0,0.0,0.0,0.0,0.0,0.08862272,0.0,0.0,0.0,0.0,0.85857826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006303555,-0.0039697997,-0.035376765,0.0033614351,-0.0022029022,0.001357655,0.09056784,0.0,0.0,0.0,0.0,0.0,0.090570726,0.0,0.0,0.0,0.0,0.18610838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
