timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
85688404,-0.05959584,-0.016200997,0.046736166,0.99699634,0.004904794,-0.065892346,0.14695998,-1.8461838,0.90266556,-0.61099905,-1.4982854e-06,3.9876986e-06,-4.8211273e-06,-0.00019976414,-0.00011584198,9.780809e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6175342e-07,0.00013710583,0.0005303072,5.824422e-05,4.002102e-06,3.857879e-06,5.758109e-07,0.009637138,0.009622921,0.010436177,0.041013427,0.041004807,0.19688354,2.2006248e-11,2.1776777e-11,4.6114747e-11,0.0,0.0,5.0000395e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017771957,0.009768865,0.022022223,535,0.28638825,0.4437156,0.050405715,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85698407,-0.060044456,-0.016441314,0.046905648,0.99695754,0.0053933947,-0.06737763,0.14921482,-1.846136,0.9019916,-0.60952866,-1.4980028e-06,3.9875154e-06,-4.849893e-06,-0.00019976414,-0.00011584198,9.7788e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6238796e-07,0.00013755528,0.0005366169,5.8131198e-05,4.012024e-06,3.8675953e-06,5.780241e-07,0.009701889,0.009687633,0.010470333,0.04126855,0.041259684,0.19743977,2.2016241e-11,2.1786774e-11,4.606552e-11,0.0,0.0,5.0000455e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018184604,0.009529793,0.021568017,535,0.28727728,0.44434196,0.04546015,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85708411,-0.060326938,-0.016584333,0.047071427,0.99693024,0.005633999,-0.06832342,0.15113656,-1.8460808,0.9013129,-0.60802644,-1.4980028e-06,3.9875154e-06,-4.849893e-06,-0.00019976414,-0.00011584198,9.7788e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6470906e-07,0.00013825115,0.00053591543,5.817028e-05,4.0223504e-06,3.8772255e-06,5.799221e-07,0.0097672315,0.009752947,0.010504576,0.04152605,0.041516937,0.19799848,2.2026242e-11,2.1796774e-11,4.607552e-11,0.0,0.0,5.0000548e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017703798,0.009303678,0.02112009,535,0.2881718,0.4449702,0.04546015,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85718415,-0.060552105,-0.016587336,0.04720639,0.9969102,0.005764415,-0.06948129,0.1522079,-1.8460238,0.90062356,-0.6065091,-1.4980028e-06,3.9875154e-06,-4.849893e-06,-0.00019976414,-0.00011584198,9.7788e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6587195e-07,0.00013978628,0.0005398645,5.821006e-05,4.032515e-06,3.886706e-06,5.8146776e-07,0.009833366,0.009819049,0.010538881,0.041785948,0.04177659,0.19855966,2.2036243e-11,2.1806775e-11,4.6085517e-11,0.0,0.0,5.0000637e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017232427,0.009087634,0.020689558,535,0.28907186,0.44560033,0.04546015,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85728419,-0.060836136,-0.016466608,0.047256332,0.9968925,0.0055206125,-0.07203135,0.15331803,-1.8459705,0.8999072,-0.6029001,-1.4976727e-06,3.9873084e-06,-4.8741235e-06,-0.00019976414,-0.00011584198,9.7571676e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6430825e-07,0.00013898785,0.0005481747,5.8099184e-05,4.041787e-06,3.896059e-06,5.826983e-07,0.009900001,0.009885621,0.010509078,0.042048268,0.042038653,0.19593835,2.204623e-11,2.181677e-11,4.6036376e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017499283,0.008859578,0.01908906,535,0.28997746,0.44264925,0.038389258,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85738421,-0.061217774,-0.016214963,0.047300063,0.9968712,0.0052436655,-0.07467145,0.15454851,-1.8459166,0.8991734,-0.60136014,-1.4976727e-06,3.9873084e-06,-4.8741235e-06,-0.00019976414,-0.00011584198,9.7571676e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.6219809e-07,0.0001393624,0.0005545161,5.8138852e-05,4.051452e-06,3.9052848e-06,5.851128e-07,0.0099667115,0.009952264,0.010543399,0.042313028,0.04230316,0.19649546,2.205623e-11,2.1826771e-11,4.6046375e-11,0.0,0.0,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017016475,0.00866844,0.01874893,535,0.2908886,0.44327807,0.038389258,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85748426,-0.06184231,-0.015871463,0.04738628,0.9968341,0.0054770526,-0.07700305,0.15660538,-1.8458647,0.8984107,-0.599809,-1.4975236e-06,3.987211e-06,-4.8890943e-06,-0.00019976414,-0.00011584198,9.7561264e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.594253e-07,0.00013929955,0.00056101714,5.8026264e-05,4.0609543e-06,3.914385e-06,5.8845944e-07,0.010033232,0.0100187315,0.010577781,0.042580247,0.042570114,0.19705504,2.2066224e-11,2.1836769e-11,4.599739e-11,0.0,0.0,5.0000153e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016978993,0.008482796,0.018427012,535,0.29180536,0.4439088,0.023708051,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85758442,-0.062582836,-0.01554838,0.047495026,0.99678785,0.0058332495,-0.077452965,0.15879697,-1.845808,0.89763814,-0.5982315,-1.4975236e-06,3.987211e-06,-4.8890943e-06,-0.00019976414,-0.00011584198,9.7561264e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.5698991e-07,0.00013895478,0.0005721198,5.8063397e-05,4.0710115e-06,3.9235347e-06,5.9311066e-07,0.010099971,0.010085469,0.010612283,0.04284994,0.042839546,0.19761713,2.2076225e-11,2.184677e-11,4.6007392e-11,0.0,0.0,5.0000242e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016481997,0.008313136,0.018111004,535,0.29272765,0.44454148,0.023708051,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85768432,-0.06313666,-0.015366833,0.04748209,0.9967563,0.0064674197,-0.075597,0.16002949,-1.8457478,0.89686906,-0.59664047,-1.4974036e-06,3.987133e-06,-4.901009e-06,-0.00019976414,-0.00011584198,9.755299e-05,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.5516643e-07,0.00013961204,0.0005692821,5.7951784e-05,4.07996e-06,3.932904e-06,5.9610716e-07,0.010167514,0.01015308,0.010646881,0.04312212,0.04311146,0.19818172,2.208622e-11,2.1856768e-11,4.5958563e-11,0.0,0.0,5.0000306e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016335464,0.008164673,0.01780862,535,0.29365554,0.44517606,0.018894305,0.06562433,0.005061143,0.005061143,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
85778436,-0.06399988,-0.015391635,0.04714459,0.9967169,0.011047143,-0.06624408,0.1555978,-1.839988,0.908548,-0.6114075,-1.3921862e-06,3.949295e-06,-4.9095383e-06,-0.00019976414,-0.00011584198,0.00010394143,0.0928519,-0.04327447,-0.21593805,-0.012101602,0.0068964115,0.005372385,0.0,0.0,1.5281502e-07,0.00013884745,0.00057207793,5.798754e-05,3.860084e-06,3.7153259e-06,6.0081186e-07,0.008913934,0.00890278,0.010146308,0.038402796,0.03839639,0.19495814,2.1932997e-11,2.1708507e-11,4.596614e-11,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015821864,0.00813799,0.026578227,535,0.27712667,0.44154063,0.018894305,0.054454543,0.0059170164,0.0059170164,0.0,0.0,0.0,0.0,0,0,0,895,24,0,0,0,0,0,0,0
