timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
85688404,nan,nan,nan,-2.9880247,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85708411,nan,nan,nan,-2.9827843,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85728419,nan,nan,nan,-2.9797845,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85748426,nan,nan,nan,-2.977768,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85768432,nan,nan,nan,-2.9769363,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85788439,nan,nan,nan,-2.9776986,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85808448,nan,nan,nan,-2.9799533,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85828453,nan,nan,nan,-2.982391,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85848460,nan,nan,nan,-2.9830096,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85868468,nan,nan,nan,-2.9816153,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85888475,nan,nan,nan,-2.980155,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85908482,nan,nan,nan,-2.9792025,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85928489,nan,nan,nan,-2.9796207,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85948496,nan,nan,nan,-2.982083,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85968538,nan,nan,nan,-2.9858253,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
85988515,nan,nan,nan,-2.9899483,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86008518,nan,nan,nan,-2.9940119,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86028525,nan,nan,nan,-2.9979982,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86048532,nan,nan,nan,-3.0006502,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86068539,nan,nan,nan,-3.0020468,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86088546,nan,nan,nan,-3.0030792,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86108554,nan,nan,nan,-3.0035536,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86128570,nan,nan,nan,-3.0025198,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86148567,nan,nan,nan,-3.0001621,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86168574,nan,nan,nan,-2.9979782,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86188582,nan,nan,nan,-2.9964445,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86208589,nan,nan,nan,-2.9956245,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86228596,nan,nan,nan,-2.9956892,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86248603,nan,nan,nan,-2.9963713,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86268610,nan,nan,nan,-2.997254,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86288617,nan,nan,nan,-2.9980304,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86308649,nan,nan,nan,-2.9985406,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86328632,nan,nan,nan,-2.9989617,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86348639,nan,nan,nan,-2.9998178,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86368646,nan,nan,nan,-3.0013688,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86388655,nan,nan,nan,-3.002204,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86408663,nan,nan,nan,-3.0014062,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86428668,nan,nan,nan,-2.9998236,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86448718,nan,nan,nan,-2.998095,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86468681,nan,nan,nan,-2.9963875,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86488740,nan,nan,nan,-2.9939952,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86508696,nan,nan,nan,-2.991026,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86528705,nan,nan,nan,-2.9876232,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86548710,nan,nan,nan,-2.9840026,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86568717,nan,nan,nan,-2.9810233,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86588742,nan,nan,nan,-2.9792993,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86608732,nan,nan,nan,-2.9788275,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86628739,nan,nan,nan,-2.978792,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86648746,nan,nan,nan,-2.9781103,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86668753,nan,nan,nan,-2.9767976,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86688760,nan,nan,nan,-2.9751883,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86708768,nan,nan,nan,-2.973076,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86728774,nan,nan,nan,-2.9701455,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86748781,nan,nan,nan,-2.9671345,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86768793,nan,nan,nan,-2.96461,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86788795,nan,nan,nan,-2.962908,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
86808803,-1.8596417,0.86193633,nan,2.99709,0.0,-0.0024304618,-0.037592065,2.4153035,0.00217769,0.13291281,9.197919,0.0,0.0,0.0,3.584896e-06,0.00021880002,-0.01613907
86828810,nan,nan,nan,2.99709,0.0,-0.0024304618,-0.037592065,2.3789463,0.012477554,0.30382502,9.143705,0.0,0.0,0.0,2.2362607e-05,0.00054452324,-0.017576413
86848817,nan,nan,nan,2.99709,0.0,-0.0019757717,-0.029568482,2.3425891,0.025312431,0.46129423,9.0996685,0.0,0.0,0.0,4.8379505e-05,0.00088166905,-0.018743945
86868824,nan,nan,nan,2.99709,0.0,-0.0015270697,-0.018806601,2.306232,0.029896956,0.52241075,9.061088,0.0,0.0,0.0,6.026279e-05,0.0010530148,-0.019766826
