timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
89090725,89089616,0.23248369,2.1460848e-05,-4.883451,5.223127,0.5073184,5.122036,0
89110680,89109623,0.23380846,2.110121e-05,-5.0078306,5.210548,0.53477776,5.1167436,0
89131239,89129631,0.23515874,2.0758496e-05,-5.222973,5.2024517,0.5826194,5.118833,0
89151259,89149638,0.23651451,2.0432353e-05,-5.3734517,5.201793,0.61675274,5.12565,0
89171343,89169646,0.23763965,2.0122274e-05,-4.5734816,5.205909,0.44643146,5.100275,0
89191627,89189692,0.23891039,1.9823601e-05,-5.2473965,5.178408,0.59081155,5.0983515,0
89210791,89209671,0.24011575,1.953649e-05,-5.0731974,5.174581,0.5526445,5.087761,0
89230746,89229668,0.2412845,1.9260622e-05,-5.010482,5.1619525,0.540384,5.07349,0
89250714,89249673,0.24237546,1.8995965e-05,-4.7655873,5.145511,0.49041283,5.049883,0
89270963,89269681,0.24359547,1.8741282e-05,-5.4171195,5.119855,0.63684934,5.0492816,0
89290803,89289695,0.24359547,2.3749788e-05,-6.823836,5.1173773,1.0110373,5.130373,0
89311055,89309694,0.24524967,2.3358009e-05,-5.9985685,5.217522,0.7662817,5.1498604,0
89331046,89329702,0.24641114,2.2990691e-05,-4.354453,5.233259,0.40258023,5.1098537,0
89350936,89349713,0.24641114,2.7998443e-05,-7.9730625,5.1917663,1.3604817,5.270724,0
89370948,89369716,0.24826227,2.747791e-05,-5.9181266,5.37153,0.72448266,5.2763853,0
89391608,89389723,0.24976377,2.6987678e-05,-4.945803,5.373209,0.50582165,5.2449694,0
89410800,89409730,0.24976377,3.199443e-05,-7.460012,5.338525,1.1582847,5.3479867,0
89430914,89429737,0.2515141,3.1341122e-05,-5.041003,5.4603195,0.5170986,5.315289,0
89450949,89449745,0.2525705,3.0729636e-05,-3.132858,5.4219227,0.20113406,5.265824,0
89470885,89469794,0.25439155,3.0135507e-05,-5.452129,5.370517,0.6149979,5.2458134,0
