timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
31494935,0.0,0.0,-2.9136205,0.0,0.113739416,0.0,0.0,-0.9935106,0.0,0.0,-0.0,0,0,0,0,0
31499863,0.0,0.0,-2.914737,0.0,0.113184765,0.0,0.0,-0.99357396,0.0,0.0,-0.0,0,0,0,0,0
31504839,0.0,0.0,-2.915937,0.0,0.11258862,0.0,0.0,-0.9936417,0.0,0.0,-0.0,0,0,0,0,0
31509851,0.0,0.0,-2.9172313,0.0,0.111945525,0.0,0.0,-0.99371433,0.0,0.0,-0.0,0,0,0,0,0
31514838,0.0,0.0,-2.9186113,0.0,0.111259855,0.0,0.0,-0.99379134,0.0,0.0,-0.0,0,0,0,0,0
31519893,0.0,0.0,-2.9200318,0.0,0.11055399,0.0,0.0,-0.99387014,0.0,0.0,-0.0,0,0,0,0,0
31524859,0.0,0.0,-2.9214678,0.0,0.10984036,0.0,0.0,-0.99394923,0.0,0.0,-0.0,0,0,0,0,0
31529911,0.0,0.0,-2.922899,0.0,0.10912905,0.0,0.0,-0.9940276,0.0,0.0,-0.0,0,0,0,0,0
31534842,0.0,0.0,-2.9243135,0.0,0.108425975,0.0,0.0,-0.9941045,0.0,0.0,-0.0,0,0,0,0,0
31539899,0.0,0.0,-2.9256802,0.0,0.107746676,0.0,0.0,-0.99417835,0.0,0.0,-0.0,0,0,0,0,0
31544865,0.0,0.0,-2.926961,0.0,0.107109986,0.0,0.0,-0.9942472,0.0,0.0,-0.0,0,0,0,0,0
31549857,0.0,0.0,-2.9281328,0.0,0.106527425,0.0,0.0,-0.9943098,0.0,0.0,-0.0,0,0,0,0,0
31554857,0.0,0.0,-2.929208,0.0,0.10599283,0.0,0.0,-0.9943669,0.0,0.0,-0.0,0,0,0,0,0
31559871,0.0,0.0,-2.9301991,0.0,0.10550006,0.0,0.0,-0.9944193,0.0,0.0,-0.0,0,0,0,0,0
31564868,0.0,0.0,-2.9310992,0.0,0.105052546,0.0,0.0,-0.99446666,0.0,0.0,-0.0,0,0,0,0,0
31569827,0.0,0.0,-2.9319031,0.0,0.104652785,0.0,0.0,-0.9945088,0.0,0.0,-0.0,0,0,0,0,0
31574865,0.0,0.0,-2.9326472,0.0,0.104282774,0.0,0.0,-0.99454767,0.0,0.0,-0.0,0,0,0,0,0
31579831,0.0,0.0,-2.9333262,0.0,0.103945106,0.0,0.0,-0.994583,0.0,0.0,-0.0,0,0,0,0,0
31584852,0.0,0.0,-2.933945,0.0,0.10363743,0.0,0.0,-0.99461514,0.0,0.0,-0.0,0,0,0,0,0
31589833,0.0,0.0,-2.9344888,0.0,0.10336698,0.0,0.0,-0.9946433,0.0,0.0,-0.0,0,0,0,0,0
31594813,0.0,0.0,-2.9349406,0.0,0.103142284,0.0,0.0,-0.99466664,0.0,0.0,-0.0,0,0,0,0,0
31599843,0.0,0.0,-2.9353085,0.0,0.10295932,0.0,0.0,-0.9946856,0.0,0.0,-0.0,0,0,0,0,0
31604840,0.0,0.0,-2.93563,0.0,0.10279936,0.0,0.0,-0.9947021,0.0,0.0,-0.0,0,0,0,0,0
31609858,0.0,0.0,-2.9359589,0.0,0.10263584,0.0,0.0,-0.99471897,0.0,0.0,-0.0,0,0,0,0,0
31614808,0.0,0.0,-2.9363084,0.0,0.102462,0.0,0.0,-0.9947369,0.0,0.0,-0.0,0,0,0,0,0
31619872,0.0,0.0,-2.9366984,0.0,0.102267995,0.0,0.0,-0.9947569,0.0,0.0,-0.0,0,0,0,0,0
31624852,0.0,0.0,-2.9370503,0.0,0.10209297,0.0,0.0,-0.9947749,0.0,0.0,-0.0,0,0,0,0,0
31629826,0.0,0.0,-2.9373555,0.0,0.101941176,0.0,0.0,-0.99479043,0.0,0.0,-0.0,0,0,0,0,0
31634798,0.0,0.0,-2.9376264,0.0,0.101806454,0.0,0.0,-0.9948042,0.0,0.0,-0.0,0,0,0,0,0
31639791,0.0,0.0,-2.9379177,0.0,0.10166154,0.0,0.0,-0.99481905,0.0,0.0,-0.0,0,0,0,0,0
31644792,0.0,0.0,-2.9382849,0.0,0.101478904,0.0,0.0,-0.9948377,0.0,0.0,-0.0,0,0,0,0,0
31649794,0.0,0.0,-2.9386854,0.0,0.10127967,0.0,0.0,-0.99485797,0.0,0.0,-0.0,0,0,0,0,0
31654880,0.0,0.0,-2.939002,0.0,0.10112217,0.0,0.0,-0.994874,0.0,0.0,-0.0,0,0,0,0,0
31659873,0.0,0.0,-2.9392397,0.0,0.10100393,0.0,0.0,-0.99488604,0.0,0.0,-0.0,0,0,0,0,0
31664924,0.0,0.0,-2.93947,0.0,0.10088936,0.0,0.0,-0.99489766,0.0,0.0,-0.0,0,0,0,0,0
31669883,0.0,0.0,-2.9398055,0.0,0.100722484,0.0,0.0,-0.99491453,0.0,0.0,-0.0,0,0,0,0,0
31674897,0.0,0.0,-2.9401577,0.0,0.100547306,0.0,0.0,-0.9949323,0.0,0.0,-0.0,0,0,0,0,0
31679888,0.0,0.0,-2.9403787,0.0,0.10043736,0.0,0.0,-0.9949434,0.0,0.0,-0.0,0,0,0,0,0
31684861,0.0,0.0,-2.9405513,0.0,0.10035149,0.0,0.0,-0.994952,0.0,0.0,-0.0,0,0,0,0,0
31689869,0.0,0.0,-2.9408474,0.0,0.10020418,0.0,0.0,-0.9949669,0.0,0.0,-0.0,0,0,0,0,0
31694854,0.0,0.0,-2.9412775,0.0,0.099990204,0.0,0.0,-0.99498844,0.0,0.0,-0.0,0,0,0,0,0
31699891,0.0,0.0,-2.94165,0.0,0.09980493,0.0,0.0,-0.99500704,0.0,0.0,-0.0,0,0,0,0,0
31704867,0.0,0.0,-2.9419851,0.0,0.09963816,0.0,0.0,-0.9950237,0.0,0.0,-0.0,0,0,0,0,0
31709929,0.0,0.0,-2.9424558,0.0,0.09940401,0.0,0.0,-0.99504715,0.0,0.0,-0.0,0,0,0,0,0
31714864,0.0,0.0,-2.9430866,0.0,0.09909014,0.0,0.0,-0.99507844,0.0,0.0,-0.0,0,0,0,0,0
31719939,0.0,0.0,-2.9436395,0.0,0.098815046,0.0,0.0,-0.9951058,0.0,0.0,-0.0,0,0,0,0,0
31724892,0.0,0.0,-2.9441786,0.0,0.09854683,0.0,0.0,-0.9951324,0.0,0.0,-0.0,0,0,0,0,0
