timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
31886978,31886978,127,5,0,0,1501,1500,1102,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31898979,31898979,127,5,0,0,1501,1500,1102,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31911001,31911001,127,5,0,0,1501,1500,1102,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31922978,31922978,127,5,0,0,1501,1500,1102,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31931007,31931007,127,5,0,0,1501,1500,1155,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31942978,31942978,127,5,0,0,1501,1500,1155,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31955015,31955015,127,5,0,0,1501,1500,1192,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31966989,31966989,127,5,0,0,1501,1500,1192,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31975043,31975043,127,5,0,0,1501,1500,1224,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31986977,31986977,127,5,0,0,1501,1500,1224,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
31998979,31998979,127,5,0,0,1501,1500,1252,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32011044,32011044,127,5,0,0,1501,1500,1252,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32018982,32018982,127,5,0,0,1501,1500,1277,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32031054,32031054,127,5,0,0,1501,1500,1277,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32042977,32042977,127,5,0,0,1501,1500,1319,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32055086,32055086,127,5,0,0,1501,1500,1319,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32062977,32062977,127,5,0,0,1501,1500,1364,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32075099,32075099,127,5,0,0,1501,1500,1364,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32087008,32087008,127,5,0,0,1501,1500,1411,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32098995,32098995,127,5,0,0,1501,1500,1411,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32107009,32107009,127,5,0,0,1501,1500,1446,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32118978,32118978,127,5,0,0,1501,1500,1446,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32131065,32131065,127,5,0,0,1501,1500,1472,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32142977,32142977,127,5,0,0,1501,1500,1472,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32151068,32151068,127,5,0,0,1501,1500,1496,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32162978,32162978,127,5,0,0,1501,1500,1496,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32175047,32175047,127,5,0,0,1501,1500,1524,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32186978,32186978,127,5,0,0,1501,1500,1524,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32195146,32195146,127,5,0,0,1501,1500,1534,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32206977,32206977,127,5,0,0,1501,1500,1534,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32218988,32218988,127,5,0,0,1501,1500,1536,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32231310,32231310,127,5,0,0,1501,1500,1536,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32238979,32238979,127,5,0,0,1501,1500,1541,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32251239,32251239,127,5,0,0,1501,1500,1541,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32262977,32262977,127,5,0,0,1501,1500,1545,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32275310,32275310,127,5,0,0,1501,1500,1545,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32282977,32282977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32295305,32295305,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32306978,32306978,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32318981,32318981,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32326977,32326977,127,5,0,0,1502,1478,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32339012,32339012,127,5,0,0,1502,1478,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32350979,32350979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32363020,32363020,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32370979,32370979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32382979,32382979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32395316,32395316,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32406978,32406978,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32415293,32415293,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32426993,32426993,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32438979,32438979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32450978,32450978,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32458980,32458980,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32470978,32470978,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32482977,32482977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32495309,32495309,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32502977,32502977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32515281,32515281,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32526977,32526977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32535277,32535277,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32546977,32546977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32558979,32558979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32570977,32570977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32582977,32582977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32591384,32591384,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32602977,32602977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32615205,32615205,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32626987,32626987,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32635210,32635210,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32646976,32646976,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32658979,32658979,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32670981,32670981,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32678979,32678979,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32690977,32690977,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32702978,32702978,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32715369,32715369,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32722994,32722994,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32735376,32735376,127,5,0,0,1501,1500,1551,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32746977,32746977,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32755407,32755407,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32766978,32766978,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32778978,32778978,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32791006,32791006,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32802978,32802978,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32811021,32811021,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32822980,32822980,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32835458,32835458,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32846976,32846976,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32855396,32855396,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32866979,32866979,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
32878979,32878979,127,5,0,0,1501,1500,1552,1500,1898,1898,1102,1500,1500,1500,1500,1500,0,0,0,0,0,0,12,0,0,12
