timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
31489273,16344161,-33.9385866,18.8741493,-0.8012516,0.87896997,-0.3661029,0.067668386,-0.028586566,0.0,-0.09250681,-0.022267569,0.02335978,0.041148476,0.109349184,-0.007055687,0.07540404,-0.28504702,0.24365875,-0.10282726,-2.912613,0.06717596,131.26224,0.1,0.30827853,0.44973773,0.14999428,0.10532883,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31499276,16344161,-33.9385866,18.8741493,-0.80262065,0.87875557,-0.36595464,0.067668386,-0.028586566,0.0,-0.094595656,-0.019898953,0.022670701,0.040205173,0.109349184,-0.007055687,0.07540404,-0.18474291,0.16185509,-0.06189462,-2.914737,0.06717596,131.26224,0.1,0.30919617,0.45039576,0.1505338,0.10550424,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31509278,16344161,-33.9385866,18.8741493,-0.8039911,0.8785565,-0.36572158,0.067668386,-0.028586566,0.0,-0.09619738,-0.018762149,0.021956723,0.03933415,0.109349184,-0.007055687,0.07540404,-0.15481953,0.06362714,-0.03188639,-2.9172313,0.06717596,131.26224,0.1,0.31012017,0.4473561,0.15107676,0.10534086,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31519285,16344161,-33.9385866,18.8741493,-0.80535865,0.8783673,-0.36549672,0.067668386,-0.028586566,0.0,-0.097076185,-0.01737199,0.021474442,0.03869442,0.109349184,-0.007055687,0.07540404,-0.07593606,0.114892334,-0.029659618,-2.9200318,0.06717596,131.26224,0.1,0.3110506,0.44801274,0.15162402,0.10551655,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31529285,16344161,-33.9385866,18.8741493,-0.8067161,0.8781882,-0.36528003,0.067668386,-0.028586566,0.0,-0.09743019,-0.016483724,0.020920986,0.037983198,0.109349184,-0.007055687,0.07540404,-0.030179292,0.04111869,-0.03117291,-2.922899,0.06717596,131.26224,0.1,0.3119874,0.44867134,0.1521717,0.105692305,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31539288,16344161,-33.9385866,18.8741493,-0.8080586,0.87800956,-0.36506772,0.067668386,-0.028586566,0.0,-0.096685484,-0.016662994,0.020888578,0.03779406,0.109349184,-0.007055687,0.07540404,0.14107189,-0.014919004,0.024991574,-2.9256802,0.06717596,131.26224,0.1,0.31293067,0.4493319,0.1527148,0.105867706,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31549293,16344161,-33.9385866,18.8741493,-0.8093766,0.8778279,-0.36485428,0.067668386,-0.028586566,0.0,-0.095583275,-0.016764527,0.021603635,0.03835218,0.109349184,-0.007055687,0.07540404,0.130747,-0.027342524,0.0922877,-2.9281328,0.06717596,131.26224,0.1,0.31388038,0.4499946,0.15325566,0.10604349,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31559344,16344161,-33.9385866,18.8741493,-0.8106683,0.87763876,-0.36463293,0.067668386,-0.028586566,0.0,-0.093372956,-0.017632376,0.022284277,0.03887723,0.109349184,-0.007055687,0.07540404,0.2329161,-0.10028199,0.0486738,-2.9301991,0.06717596,131.26224,0.1,0.31483656,0.4506592,0.15379632,0.106219016,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31569303,16344161,-33.9385866,18.8741493,-0.81191593,0.8774458,-0.36441368,0.067668386,-0.028586566,0.0,-0.09122034,-0.01723472,0.022154232,0.03859148,0.109349184,-0.007055687,0.07540404,0.21839815,0.068215236,-0.013613188,-2.9319031,0.06717596,131.26224,0.1,0.3157992,0.4513259,0.15434039,0.10639501,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31579302,16344161,-33.9385866,18.8741493,-0.8131309,0.8772589,-0.36419925,0.067668386,-0.028586566,0.0,-0.08874869,-0.016179169,0.021186803,0.03747011,0.109349184,-0.007055687,0.07540404,0.23812746,0.09110983,-0.11049696,-2.9333265,0.06717596,131.26224,0.1,0.31676835,0.45199457,0.15488796,0.10657082,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31589306,16344161,-33.9385866,18.8741493,-0.81460875,0.87724274,-0.3638895,0.067668386,-0.028586566,0.0,-0.08670496,-0.016034435,0.02034873,0.03658933,0.109349184,-0.007055687,0.07540404,0.18730484,-0.02314547,-0.050952997,-2.934489,0.06717596,131.26224,0.1,0.2984879,0.4478601,0.14395276,0.10386414,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31599309,16344161,-33.9385866,18.8741493,-0.8160438,0.8772196,-0.36346534,0.067668386,-0.028586566,0.0,-0.08466721,-0.016644955,0.020285126,0.036603272,0.109349184,-0.007055687,0.07540404,0.20151204,-0.13161024,0.0005389763,-2.9353087,0.06717596,131.26224,0.1,0.2993418,0.44486612,0.1444804,0.103714965,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31609362,16344161,-33.9385866,18.8741493,-0.8174404,0.8771869,-0.3630554,0.067668386,-0.028586566,0.0,-0.082617186,-0.016690819,0.018993685,0.03537925,0.109349184,-0.007055687,0.07540404,0.20406067,-0.076840766,-0.1638491,-2.9359589,0.06717596,131.26224,0.1,0.30020183,0.44550663,0.14500427,0.10388964,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31619346,16344161,-33.9385866,18.8741493,-0.81879026,0.8771469,-0.362672,0.067668386,-0.028586566,0.0,-0.0808629,-0.017466392,0.017271658,0.033714924,0.109349184,-0.007055687,0.07540404,0.14936504,-0.1967649,-0.16912073,-2.9366984,0.06717596,131.26224,0.1,0.30106798,0.44614914,0.14553094,0.10406438,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31629324,16344161,-33.9385866,18.8741493,-0.82010365,0.87708217,-0.36231574,0.067668386,-0.028586566,0.0,-0.07944381,-0.020573307,0.015115136,0.031607956,0.109349184,-0.007055687,0.07540404,0.13191064,-0.4091438,-0.21142867,-2.9373558,0.06717596,131.26224,0.1,0.30194026,0.44679356,0.14605866,0.104238875,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31639323,16344161,-33.9385866,18.8741493,-0.82138395,0.87698776,-0.3619907,0.067668386,-0.028586566,0.0,-0.07765664,-0.021857494,0.012625063,0.029158473,0.109349184,-0.007055687,0.07540404,0.21182247,-0.13552685,-0.24955952,-2.9379177,0.06717596,131.26224,0.1,0.30281872,0.44744003,0.14659493,0.10441373,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31649326,16344161,-33.9385866,18.8741493,-0.82262605,0.87687516,-0.3616952,0.067668386,-0.028586566,0.0,-0.0757842,-0.02389583,0.010900399,0.027466547,0.109349184,-0.007055687,0.07540404,0.17641956,-0.349286,-0.1283954,-2.9386854,0.06717596,131.26224,0.1,0.30370337,0.44808838,0.1471383,0.10458835,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31659331,16344161,-33.9385866,18.8741493,-0.8238309,0.87672555,-0.3614197,0.067668386,-0.028586566,0.0,-0.073653966,-0.026831554,0.010178781,0.026769407,0.109349184,-0.007055687,0.07540404,0.2466474,-0.15242222,-0.027732244,-2.9392397,0.06717596,131.26224,0.1,0.30459428,0.44873878,0.14768751,0.10476336,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31669333,16344161,-33.9385866,18.8741493,-0.8249943,0.8765593,-0.3611541,0.067668386,-0.028586566,0.0,-0.0714076,-0.027607322,0.009875065,0.026484119,0.109349184,-0.007055687,0.07540404,0.19843303,-0.18240169,-0.026837662,-2.9398057,0.06717596,131.26224,0.1,0.30549148,0.44939113,0.14823341,0.10493806,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31679337,16344161,-33.9385866,18.8741493,-0.8261246,0.87635684,-0.36089808,0.067668386,-0.028586566,0.0,-0.07015488,-0.03245718,0.009638558,0.026258394,0.109349184,-0.007055687,0.07540404,0.15533319,-0.45520964,-0.031081306,-2.9403787,0.06717596,131.26224,0.1,0.30639496,0.4500455,0.14878005,0.105113156,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31689340,16344161,-33.9385866,18.8741493,-0.8272242,0.87613535,-0.36054122,0.067668386,-0.028586566,0.0,-0.06910343,-0.030808896,0.00869847,0.025436185,0.109349184,-0.007055687,0.07540404,0.035954542,0.15249856,-0.1212159,-2.9408474,0.06717596,131.26224,0.1,0.3073048,0.44701082,0.14932586,0.1049525,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31699344,16344161,-33.9385866,18.8741493,-0.8282976,0.8758986,-0.36020803,0.067668386,-0.028586566,0.0,-0.06726676,-0.03523651,0.0072408677,0.024084415,0.109349184,-0.007055687,0.07540404,0.28735638,-0.5784073,-0.12890257,-2.94165,0.06717596,131.26224,0.1,0.30822095,0.44766378,0.14987287,0.10512782,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31709348,16344161,-33.9385866,18.8741493,-0.829333,0.87565404,-0.35989654,0.067668386,-0.028586566,0.0,-0.065749355,-0.0302555,0.0061714854,0.023109308,0.109349184,-0.007055687,0.07540404,0.025166694,0.6171334,-0.13212772,-2.9424558,0.06717596,131.26224,0.1,0.30914348,0.44831878,0.1504171,0.10530324,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31719351,16344161,-33.9385866,18.8741493,-0.83034015,0.8754218,-0.35960406,0.067668386,-0.028586566,0.0,-0.06291808,-0.03369155,0.005299555,0.022322424,0.109349184,-0.007055687,0.07540404,0.49969503,-0.5496721,-0.062968224,-2.9436395,0.06717596,131.26224,0.1,0.31007236,0.44897568,0.15095794,0.1054784,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31729353,16344161,-33.9385866,18.8741493,-0.83129454,0.87518877,-0.35932845,0.067668386,-0.028586566,0.0,-0.060595598,-0.028266478,0.004484682,0.021581847,0.109349184,-0.007055687,0.07540404,-0.051845036,0.6073289,-0.09551386,-2.9448977,0.06717596,131.26224,0.1,0.31100762,0.44963467,0.15150169,0.10565404,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31739357,16344161,-33.9385866,18.8741493,-0.83221847,0.874974,-0.35906982,0.067668386,-0.028586566,0.0,-0.056565,-0.029320603,0.0031648572,0.020327747,0.109349184,-0.007055687,0.07540404,0.7289936,-0.03406454,-0.1955802,-2.946171,0.06717596,131.26224,0.1,0.31194928,0.45029557,0.15204626,0.10582943,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31749373,16344161,-33.9385866,18.8741493,-0.8330855,0.8747789,-0.35883152,0.067668386,-0.028586566,0.0,-0.05521914,-0.025443194,0.0026880873,0.019906778,0.109349184,-0.007055687,0.07540404,-0.23476101,0.07032258,-0.0078294845,-2.9476044,0.06717596,131.26224,0.1,0.31289735,0.4509586,0.15259898,0.10600532,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31759364,16344161,-33.9385866,18.8741493,-0.8339212,0.8745968,-0.35861006,0.067668386,-0.028586566,0.0,-0.050075173,-0.021879893,0.00090582465,0.018171439,0.109349184,-0.007055687,0.07540404,0.76703393,0.8968191,-0.23307893,-2.9487476,0.06717596,131.26224,0.1,0.31385186,0.45162353,0.15315099,0.10618095,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31769367,16344161,-33.9385866,18.8741493,-0.83471453,0.8744415,-0.35837662,0.067668386,-0.028586566,0.0,-0.050612852,-0.024150163,0.0006258877,0.017960895,0.109349184,-0.007055687,0.07540404,-0.104599364,-0.660944,-0.04672082,-2.9500072,0.06717596,131.26224,0.1,0.3148129,0.44856074,0.15370058,0.10601146,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
