timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
31489273,-33.938593805828305,18.874158827989334,131.62834,162.01146,-0.0,1.6815008,2.135886,131.5384,2,0,1,0
31499276,-33.938593818140546,18.874158825665273,131.62819,162.0113,-0.0,1.6816694,2.1360245,131.5384,2,0,1,0
31509278,-33.938593830465116,18.874158823507262,131.62796,162.01108,-0.0,1.6818395,2.1353855,131.5361,2,0,1,0
31519285,-33.938593842763964,18.874158821456508,131.62773,162.01085,-0.0,1.6820112,2.1355233,131.53609,2,0,1,0
31529285,-33.938593854971685,18.874158819514943,131.62752,162.01064,-0.0,1.6821847,2.1356616,131.53606,2,0,1,0
31539288,-33.938593867045384,18.87415881757855,131.6273,161.99586,-0.0,1.6823599,2.1358004,131.536,2,0,1,0
31549293,-33.938593878898246,18.874158815609203,131.62709,161.99565,-0.0,1.6825368,2.1359398,131.53593,2,0,1,0
31559344,-33.93859389051471,18.874158813559095,131.62688,161.99544,-0.0,1.6827155,2.13608,131.53583,2,0,1,0
31569303,-33.93859390173505,18.87415881146763,131.62665,161.99521,-0.0,1.6828959,2.136221,131.53572,2,0,1,0
31579302,-33.93859391266164,18.87415880944143,131.62643,161.995,-0.0,1.6830779,2.1363623,131.53557,2,0,1,0
31589306,-33.938593925952155,18.874158809266333,131.62613,161.99469,-0.0,1.6797334,2.1354911,131.53276,2,0,1,0
31599309,-33.93859393885779,18.874158809015643,131.6257,161.99426,-0.0,1.6798854,2.1348653,131.52953,2,0,1,0
31609362,-33.93859395141768,18.87415880866093,131.62529,161.99385,-0.0,1.6800388,2.134999,131.52934,2,0,1,0
31619346,-33.938593963557324,18.874158808227392,131.62491,161.99347,-0.0,1.6801938,2.135133,131.52914,2,0,1,0
31629324,-33.93859397536891,18.874158807525717,131.62456,161.99312,-0.0,1.6803504,2.1352677,131.5289,2,0,1,0
31639323,-33.93859398688299,18.874158806502276,131.62422,161.99278,-0.0,1.6805085,2.1354032,131.52867,2,0,1,0
31649326,-33.938593998053484,18.874158805281773,131.62393,161.9925,-0.0,1.680668,2.135539,131.52841,2,0,1,0
31659331,-33.93859400888894,18.874158803660034,131.62366,161.99222,-0.0,1.6808293,2.1356757,131.52818,2,0,1,0
31669333,-33.938594019351854,18.87415880185803,131.6234,161.99196,-0.0,1.6809921,2.1358128,131.52792,2,0,1,0
31679337,-33.93859402951673,18.874158799663196,131.62314,161.9917,-0.0,1.6811565,2.1359508,131.52771,2,0,1,0
31689340,-33.938594039405544,18.874158797262243,131.62277,161.99133,-0.0,1.6813226,2.1353133,131.52469,2,0,1,0
31699344,-33.93859404905905,18.874158794695894,131.62245,161.99101,-0.0,1.6814903,2.1354501,131.52448,2,0,1,0
31709348,-33.93859405837056,18.8741587920449,131.62213,161.99069,-0.0,1.6816596,2.1355875,131.52426,2,0,1,0
31719351,-33.93859406742798,18.87415878952765,131.62184,161.9904,-0.0,1.6818306,2.1357255,131.52402,2,0,1,0
31729353,-33.938594076011015,18.874158787001356,131.62157,161.99013,-0.0,1.6820034,2.135864,131.52379,2,0,1,0
31739357,-33.93859408432012,18.87415878467342,131.6213,161.97572,-0.0,1.6821777,2.1360035,131.52353,2,0,1,0
31749373,-33.938594092117334,18.874158782558695,131.62106,161.97548,-0.0,1.6823537,2.1361432,131.52332,2,0,1,0
31759364,-33.93859409963311,18.87415878058418,131.62085,161.97527,-0.0,1.6825315,2.1362836,131.52309,2,0,1,0
31769367,-33.938594106767766,18.874158778901062,131.62062,161.97504,-0.0,1.682711,2.1356382,131.52211,2,0,1,0
31779371,-33.93859411358295,18.87415877730646,131.6204,161.97482,-0.0,1.6828923,2.1357777,131.52188,2,0,1,0
31789375,-33.93859412135817,18.874158774295584,131.62036,161.97478,-0.0,1.6795683,2.134932,131.52548,2,0,1,0
31799380,-33.93859412875818,18.874158771412635,131.62036,161.97478,-0.0,1.6797197,2.1350653,131.52533,2,0,1,0
31809382,-33.938594135730405,18.87415876868088,131.62038,161.9748,-0.0,1.6798726,2.1351993,131.52518,2,0,1,0
31819385,-33.93859414226309,18.874158766057665,131.62042,161.97484,-0.0,1.680027,2.1353338,131.52507,2,0,1,0
31829389,-33.93859414827315,18.874158763643795,131.62048,161.9749,-0.0,1.6801829,2.135469,131.52495,2,0,1,0
31839392,-33.9385941537938,18.87415876154135,131.62054,161.97496,-0.0,1.6803404,2.1356046,131.52487,2,0,1,0
31849395,-33.93859415883416,18.874158759732236,131.62062,161.97504,-0.0,1.6804996,2.135741,131.52477,2,0,1,0
31859399,-33.938594163413526,18.874158758188035,131.62077,161.97519,-0.0,1.6806601,2.135109,131.52641,2,0,1,0
31869402,-33.93859416766966,18.87415875686738,131.6209,161.97531,-0.0,1.6808223,2.1352441,131.52634,2,0,1,0
31879405,-33.93859417162402,18.87415875577739,131.62105,161.97546,-0.0,1.6809862,2.1353803,131.52629,2,0,1,0
31889409,-33.93859417531034,18.874158754866375,131.6212,161.97562,-0.0,1.6811515,2.135517,131.52625,2,0,1,0
31899412,-33.93859417869971,18.874158754060673,131.62135,161.97577,-0.0,1.6813186,2.135654,131.52618,2,0,1,0
31909416,-33.93859418173368,18.874158753327336,131.62152,161.97594,-0.0,1.6814873,2.1357915,131.52617,2,0,1,0
31919419,-33.93859418437957,18.87415875269609,131.6217,161.97612,-0.0,1.6816577,2.13593,131.52611,2,0,1,0
31929454,-33.93859418662021,18.87415875219794,131.62189,161.9763,-0.0,1.6818297,2.136069,131.52611,2,0,1,0
31939426,-33.938594188497405,18.87415875182255,131.62206,161.96223,-0.0,1.6820034,2.1362085,131.5261,2,0,1,0
31949430,-33.938594190071214,18.874158751542133,131.62247,161.96265,-0.0,1.6821787,2.1355648,131.53212,2,0,1,0
31959432,-33.93859419146437,18.874158751339255,131.62286,161.96304,-0.0,1.6823559,2.1357036,131.53215,2,0,1,0
31969436,-33.9385941927991,18.874158751107302,131.62325,161.96342,-0.0,1.6825347,2.1358426,131.53223,2,0,1,0
31979440,-33.93859419417886,18.874158750864364,131.62361,161.96379,-0.0,1.6827153,2.1359825,131.53232,2,0,1,0
31989443,-33.938594197438505,18.874158749252317,131.62387,161.96405,-0.0,1.679404,2.1351316,131.52989,2,0,1,0
31999446,-33.93859420073514,18.874158747599566,131.62411,161.9643,-0.0,1.6795548,2.1352654,131.53001,2,0,1,0
32009451,-33.93859420410145,18.87415874588737,131.62436,161.96454,-0.0,1.6797072,2.1353996,131.53012,2,0,1,0
32019454,-33.93859420754496,18.874158744049183,131.6246,161.96478,-0.0,1.6798611,2.1355345,131.53012,2,0,1,0
32029457,-33.938594210906984,18.874158742096636,131.62517,161.96535,-0.0,1.6800164,2.1349077,131.53012,2,0,1,0
32039461,-33.93859421419719,18.874158740193838,131.62573,161.96591,-0.0,1.6801733,2.1350415,131.53012,2,0,1,0
32049465,-33.938594217171655,18.874158738269074,131.62631,161.96649,-0.0,1.6803318,2.1351762,131.53012,2,0,1,0
32059467,-33.93859421983093,18.874158736492912,131.6269,161.96709,-0.0,1.6804918,2.1353111,131.53012,2,0,1,0
32069522,-33.93859422196597,18.874158735065656,131.62753,161.96771,-0.0,1.6806535,2.135447,131.53012,2,0,1,0
