timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
31496809,31495915,396809,-0.093001865,0.04934183,-0.21181455,nan,0,1
31507957,31507123,396809,-0.090028286,0.052247647,-0.22124943,nan,0,1
31519209,31518373,396809,-0.093001865,0.052247647,-0.21810448,nan,0,1
31530587,31529729,396809,-0.090028286,0.052247647,-0.21495953,nan,0,1
31541728,31540894,396809,-0.093001865,0.04934183,-0.21181455,nan,0,1
31552956,31552123,396809,-0.090028286,0.04934183,-0.21181455,nan,0,1
31564348,31563465,396809,-0.090028286,0.04934183,-0.21810448,nan,0,1
31575541,31574707,396809,-0.093001865,0.04934183,-0.21495953,nan,0,1
31586727,31585893,396809,-0.08705469,0.052247647,-0.21810448,nan,0,1
31598027,31597191,396809,-0.090028286,0.04934183,-0.21810448,nan,0,1
31609295,31608436,396809,-0.093001865,0.04934183,-0.20866959,nan,0,1
31620531,31619696,396809,-0.08705469,0.052247647,-0.21810448,nan,0,1
31631778,31630911,396809,-0.093001865,0.04934183,-0.21181455,nan,0,1
31643038,31642204,396809,-0.08705469,0.04934183,-0.21495953,nan,0,1
31654294,31653458,396809,-0.08705469,0.052247647,-0.21181455,nan,0,1
31665495,31664662,396809,-0.090028286,0.04934183,-0.21495953,nan,0,1
31676808,31675975,396809,-0.08705469,0.052247647,-0.21495953,nan,0,1
31688071,31687207,396809,-0.093001865,0.04934183,-0.21181455,nan,0,1
31699311,31698473,396809,-0.084081106,0.052247647,-0.21810448,nan,0,1
31710625,31709734,396809,-0.090028286,0.04934183,-0.21810448,nan,0,1
31721787,31720949,396809,-0.090028286,0.046436016,-0.22124943,nan,0,1
31733081,31732247,396809,-0.08705469,0.052247647,-0.21495953,nan,0,1
31744387,31743518,396809,-0.093001865,0.046436016,-0.21181455,nan,0,1
31755582,31754750,396809,-0.090028286,0.04934183,-0.22124943,nan,0,1
31766790,31765956,396809,-0.08705469,0.046436016,-0.22124943,nan,0,1
31778161,31777257,396809,-0.08705469,0.046436016,-0.21495953,nan,0,1
31789359,31788516,396809,-0.084081106,0.046436016,-0.22439441,nan,0,1
31800561,31799721,396809,-0.090028286,0.04934183,-0.20866959,nan,0,1
31811918,31811049,396809,-0.08705469,0.04934183,-0.21181455,nan,0,1
31823170,31822287,396809,-0.084081106,0.046436016,-0.21810448,nan,0,1
31834311,31833477,396809,-0.084081106,0.046436016,-0.21495953,nan,0,1
31845561,31844727,396809,-0.084081106,0.04934183,-0.22124943,nan,0,1
31856944,31856046,396809,-0.08705469,0.046436016,-0.21495953,nan,0,1
31868121,31867287,396809,-0.084081106,0.046436016,-0.22124943,nan,0,1
31879329,31878491,396809,-0.084081106,0.04934183,-0.22124943,nan,0,1
31890698,31889811,396809,-0.084081106,0.04934183,-0.22124943,nan,0,1
31901901,31901067,396809,-0.084081106,0.04934183,-0.22124943,nan,0,1
31913114,31912279,396809,-0.084081106,0.046436016,-0.21810448,nan,0,1
31924392,31923558,396809,-0.08110753,0.04934183,-0.21810448,nan,0,1
31935642,31934803,396809,-0.084081106,0.04934183,-0.21810448,nan,0,1
31946892,31946058,396809,-0.08705469,0.04934183,-0.22124943,nan,0,1
31958148,31957289,396809,-0.08110753,0.04934183,-0.21810448,nan,0,1
31969397,31968561,396809,-0.08705469,0.04934183,-0.21181455,nan,0,1
31980667,31979818,396809,-0.07813393,0.04934183,-0.22439441,nan,0,1
31991873,31991038,396809,-0.08110753,0.04934183,-0.22124943,nan,0,1
32003165,32002332,396809,-0.07813393,0.046436016,-0.21810448,nan,0,1
32014375,32013542,396809,-0.07813393,0.04934183,-0.22124943,nan,0,1
32025664,32024829,396809,-0.084081106,0.046436016,-0.21810448,nan,0,1
32036927,32036087,396809,-0.07516035,0.046436016,-0.22439441,nan,0,1
32048149,32047316,396809,-0.08110753,0.04934183,-0.22124943,nan,0,1
32059433,32058573,396809,-0.08110753,0.046436016,-0.22439441,nan,0,1
32070773,32069867,396809,-0.08110753,0.04934183,-0.23068433,nan,0,1
32081919,32081085,396809,-0.07813393,0.04934183,-0.22124943,nan,0,1
32093156,32092317,396809,-0.07516035,0.04934183,-0.2338293,nan,0,1
32104527,32103664,396809,-0.07813393,0.046436016,-0.23068433,nan,0,1
32115684,32114844,396809,-0.07516035,0.046436016,-0.22753938,nan,0,1
32126927,32126090,396809,-0.07516035,0.04934183,-0.2338293,nan,0,1
32138166,32137332,396809,-0.08110753,0.046436016,-0.22753938,nan,0,1
32149471,32148593,396809,-0.07516035,0.046436016,-0.22439441,nan,0,1
32160672,32159838,396809,-0.07813393,0.04934183,-0.22439441,nan,0,1
32171927,32171092,396809,-0.08110753,0.04934183,-0.22753938,nan,0,1
32183297,32182408,396809,-0.07218676,0.052247647,-0.22439441,nan,0,1
32194485,32193652,396809,-0.08110753,0.04934183,-0.22124943,nan,0,1
32205681,32204847,396809,-0.07218676,0.046436016,-0.22439441,nan,0,1
32217003,32216152,396809,-0.07516035,0.04934183,-0.23697425,nan,0,1
