timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1847101,0.23409258,-0.10466651,-0.2967285
1858270,0.23706616,-0.10466651,-0.2967285
1869466,0.23409258,-0.10466651,-0.2967285
1880607,0.23706616,-0.10466651,-0.2967285
1891748,0.23409258,-0.10466651,-0.29987347
1902891,0.23706616,-0.10466651,-0.2904386
1914101,0.23409258,-0.10466651,-0.29987347
1925345,0.23409258,-0.10466651,-0.2904386
1936535,0.23409258,-0.10466651,-0.2967285
1947770,0.23409258,-0.10466651,-0.2967285
1959023,0.23409258,-0.1017607,-0.2967285
1970352,0.23706616,-0.10466651,-0.2967285
1981532,0.23409258,-0.10466651,-0.29987347
1992782,0.23409258,-0.10466651,-0.29987347
2004071,0.23111899,-0.10466651,-0.29987347
2015332,0.23409258,-0.10466651,-0.29987347
2026559,0.23706616,-0.10466651,-0.2967285
2037857,0.23409258,-0.10466651,-0.2967285
2049123,0.23706616,-0.10466651,-0.2967285
2060310,0.23409258,-0.10757233,-0.2967285
2071569,0.23409258,-0.10466651,-0.2967285
2082814,0.23409258,-0.10757233,-0.2967285
2094090,0.23706616,-0.10757233,-0.29358354
2105871,0.23706616,-0.10757233,-0.29358354
2117014,0.23706616,-0.10757233,-0.2967285
2128157,0.23409258,-0.10466651,-0.2967285
2139299,0.23409258,-0.10466651,-0.29987347
2150439,0.23409258,-0.10466651,-0.2967285
2161626,0.23409258,-0.10466651,-0.29358354
2172861,0.23409258,-0.10466651,-0.29358354
2184105,0.23706616,-0.10466651,-0.29358354
2195348,0.23409258,-0.10466651,-0.29987347
2206623,0.23409258,-0.10466651,-0.29987347
2217876,0.23409258,-0.10466651,-0.29358354
2229125,0.23409258,-0.10466651,-0.30301842
2240412,0.23409258,-0.10466651,-0.29987347
2251637,0.23409258,-0.10466651,-0.29987347
2262908,0.23706616,-0.10757233,-0.29987347
2274147,0.23706616,-0.10466651,-0.2967285
2285423,0.23409258,-0.10466651,-0.2967285
2296651,0.23409258,-0.10466651,-0.2967285
2307892,0.23409258,-0.10466651,-0.29987347
2319157,0.23409258,-0.10466651,-0.29987347
2330413,0.23409258,-0.10466651,-0.2967285
2341671,0.23409258,-0.10466651,-0.29987347
2352967,0.23409258,-0.10466651,-0.2967285
2364705,0.23706616,-0.10466651,-0.3061634
2375845,0.23706616,-0.10466651,-0.2967285
2386987,0.23409258,-0.10757233,-0.3061634
2398177,0.23409258,-0.10466651,-0.2967285
2409340,0.23706616,-0.10466651,-0.3061634
2420507,0.23409258,-0.10466651,-0.30301842
2431677,0.23706616,-0.10757233,-0.30301842
2442935,0.23409258,-0.10466651,-0.30301842
2454211,0.23409258,-0.10466651,-0.29358354
2465543,0.23409258,-0.10466651,-0.2967285
2476688,0.23409258,-0.10466651,-0.29358354
2487952,0.23706616,-0.10466651,-0.29987347
2499225,0.23409258,-0.10466651,-0.29358354
2510452,0.23706616,-0.10466651,-0.29358354
2521701,0.23706616,-0.10466651,-0.28729364
2533025,0.23706616,-0.10466651,-0.29358354
2544247,0.23409258,-0.10466651,-0.2904386
2555466,0.23409258,-0.10466651,-0.2967285
2566738,0.23706616,-0.10466651,-0.2967285
2577996,0.23706616,-0.10466651,-0.2967285
2589252,0.23706616,-0.10466651,-0.2967285
2600504,0.23706616,-0.10466651,-0.29358354
2611754,0.23706616,-0.10466651,-0.29358354
2623570,0.24003974,-0.10466651,-0.2967285
2634728,0.23706616,-0.10466651,-0.29358354
2645875,0.23706616,-0.10757233,-0.2967285
2657049,0.23706616,-0.10466651,-0.2967285
2668196,0.23706616,-0.10757233,-0.2904386
2679339,0.24003974,-0.10757233,-0.2967285
2690511,0.23706616,-0.10466651,-0.29358354
2701796,0.23706616,-0.10466651,-0.2967285
2713040,0.23706616,-0.10466651,-0.2967285
2724284,0.23706616,-0.10757233,-0.29358354
2735516,0.23706616,-0.10466651,-0.2904386
2746847,0.23706616,-0.10466651,-0.2967285
2758031,0.23706616,-0.10466651,-0.2904386
2769284,0.23706616,-0.10466651,-0.2904386
2780598,0.23706616,-0.10466651,-0.29358354
2791859,0.23409258,-0.10466651,-0.29358354
2803053,0.23706616,-0.10466651,-0.29358354
2814305,0.23706616,-0.10466651,-0.2904386
2825625,0.23706616,-0.10466651,-0.2904386
2836839,0.23706616,-0.10466651,-0.2904386
2848067,0.24003974,-0.10466651,-0.2904386
2859392,0.23706616,-0.10466651,-0.29358354
2870582,0.23706616,-0.10757233,-0.2904386
2882270,0.23706616,-0.10466651,-0.28729364
2893410,0.23706616,-0.10466651,-0.28729364
2904550,0.23706616,-0.10466651,-0.2904386
2915726,0.23706616,-0.10466651,-0.2904386
2926892,0.23706616,-0.10757233,-0.29358354
2938127,0.23706616,-0.10466651,-0.2967285
2949361,0.23706616,-0.10757233,-0.28729364
2960620,0.24003974,-0.10757233,-0.2904386
2971903,0.24003974,-0.10466651,-0.29358354
2983101,0.24003974,-0.10757233,-0.2967285
2994371,0.23706616,-0.10757233,-0.29358354
3005648,0.23706616,-0.10466651,-0.29358354
3016868,0.24301334,-0.10466651,-0.2904386
3028141,0.24003974,-0.10757233,-0.2967285
3039458,0.24003974,-0.10466651,-0.2904386
3050620,0.24003974,-0.10757233,-0.2904386
3061874,0.23706616,-0.10466651,-0.28729364
3073198,0.23706616,-0.10466651,-0.2967285
3084393,0.23706616,-0.10466651,-0.28729364
3095633,0.23706616,-0.10466651,-0.2904386
3106963,0.23706616,-0.10757233,-0.2904386
3118240,0.23706616,-0.10757233,-0.2904386
3129397,0.23706616,-0.10466651,-0.28729364
3140990,0.23706616,-0.10466651,-0.2967285
3152130,0.23706616,-0.10466651,-0.2967285
3163271,0.23706616,-0.10466651,-0.29358354
3174447,0.23706616,-0.10757233,-0.2904386
3185710,0.23706616,-0.10466651,-0.29358354
3196939,0.24003974,-0.10757233,-0.29358354
3208173,0.24003974,-0.10757233,-0.29358354
3219492,0.23706616,-0.10466651,-0.29358354
3230694,0.23706616,-0.10466651,-0.2967285
3241956,0.23706616,-0.10466651,-0.2904386
3253195,0.23706616,-0.10466651,-0.2904386
3264444,0.23706616,-0.10466651,-0.29358354
3275720,0.23706616,-0.10466651,-0.29358354
3286953,0.23706616,-0.10757233,-0.2904386
3298212,0.23706616,-0.10466651,-0.2904386
3310371,0.23706616,-0.10466651,-0.2967285
3321593,0.23706616,-0.10757233,-0.28729364
3332833,0.23706616,-0.10757233,-0.29358354
3344115,0.24003974,-0.10466651,-0.2967285
3355377,0.23706616,-0.10757233,-0.29358354
3366601,0.23706616,-0.10757233,-0.29987347
3377889,0.23706616,-0.10757233,-0.2967285
3389133,0.23706616,-0.10757233,-0.2904386
3400370,0.23409258,-0.10466651,-0.2904386
3411623,0.23706616,-0.10466651,-0.2904386
3422878,0.23409258,-0.10466651,-0.29358354
3434095,0.23706616,-0.10466651,-0.2967285
3445400,0.23706616,-0.10757233,-0.2904386
3456659,0.23706616,-0.10757233,-0.29358354
3467864,0.23706616,-0.10466651,-0.2904386
3479163,0.23706616,-0.10466651,-0.2904386
3490499,0.23409258,-0.10466651,-0.29987347
3502084,0.23706616,-0.10466651,-0.2967285
3513361,0.23409258,-0.10466651,-0.2904386
3524580,0.23706616,-0.10466651,-0.2904386
3535776,0.23706616,-0.10466651,-0.2904386
3547035,0.23706616,-0.10466651,-0.29358354
3558363,0.23706616,-0.10466651,-0.29358354
3569555,0.23409258,-0.10466651,-0.29987347
3580792,0.24003974,-0.10466651,-0.29358354
3592081,0.23706616,-0.10466651,-0.29358354
3603362,0.23706616,-0.10466651,-0.2967285
3614563,0.23706616,-0.10466651,-0.29358354
3625866,0.23706616,-0.10466651,-0.2967285
3637086,0.23706616,-0.10466651,-0.29358354
3648326,0.23706616,-0.10466651,-0.29358354
3659602,0.23706616,-0.10466651,-0.29987347
3670846,0.23706616,-0.10466651,-0.29358354
3682634,0.23706616,-0.10466651,-0.29358354
3693777,0.23706616,-0.10466651,-0.2967285
3704921,0.23409258,-0.10466651,-0.2967285
3716078,0.23409258,-0.10466651,-0.2904386
3727220,0.23409258,-0.10466651,-0.29358354
3738433,0.23409258,-0.10466651,-0.2904386
3749616,0.23409258,-0.10466651,-0.2967285
3760897,0.23409258,-0.10757233,-0.29987347
3772133,0.23409258,-0.10466651,-0.29987347
3783364,0.23409258,-0.10466651,-0.30301842
3794620,0.23409258,-0.10466651,-0.2967285
3805930,0.23409258,-0.10466651,-0.2967285
3817172,0.23409258,-0.10466651,-0.2967285
3828379,0.23706616,-0.10466651,-0.29987347
3839710,0.23409258,-0.10466651,-0.29358354
3850912,0.23409258,-0.10466651,-0.29358354
3862133,0.23409258,-0.10466651,-0.29358354
3873390,0.23706616,-0.10466651,-0.29358354
3884714,0.23706616,-0.10466651,-0.29358354
3895896,0.23409258,-0.10466651,-0.2967285
3907158,0.23409258,-0.10466651,-0.2967285
3918433,0.23111899,-0.10466651,-0.2967285
3929673,0.23409258,-0.10466651,-0.29987347
3941309,0.23111899,-0.10466651,-0.2967285
3952450,0.23409258,-0.10466651,-0.2967285
3963594,0.23409258,-0.10466651,-0.2967285
3974742,0.23111899,-0.10466651,-0.2967285
3985923,0.23409258,-0.10466651,-0.29358354
3997214,0.23409258,-0.10466651,-0.29358354
4008485,0.23409258,-0.10466651,-0.2967285
4019682,0.23409258,-0.10466651,-0.29987347
4030994,0.23706616,-0.10466651,-0.29358354
4042232,0.23409258,-0.10466651,-0.29358354
4053472,0.23706616,-0.10757233,-0.2967285
4064720,0.23409258,-0.10466651,-0.29358354
4075958,0.23706616,-0.10466651,-0.29358354
4087241,0.23409258,-0.10466651,-0.2967285
4098516,0.23706616,-0.10466651,-0.29358354
4109749,0.23706616,-0.10466651,-0.2967285
4121612,0.23706616,-0.10466651,-0.2904386
4132789,0.23706616,-0.10466651,-0.29358354
4143942,0.23706616,-0.10757233,-0.2967285
4155119,0.23111899,-0.10757233,-0.29358354
4166260,0.23409258,-0.10466651,-0.2967285
4177403,0.23706616,-0.10757233,-0.2904386
4188553,0.23706616,-0.10466651,-0.29358354
4199745,0.23706616,-0.10466651,-0.28729364
4211063,0.24003974,-0.10757233,-0.2904386
4222256,0.23706616,-0.10466651,-0.29987347
4233517,0.23706616,-0.10466651,-0.29987347
4244836,0.23706616,-0.10757233,-0.29358354
4256081,0.23706616,-0.10466651,-0.29358354
4267278,0.23706616,-0.10466651,-0.2967285
4278524,0.24003974,-0.10466651,-0.29358354
4289835,0.23706616,-0.10466651,-0.2904386
4301064,0.23706616,-0.10466651,-0.29358354
4312291,0.24003974,-0.10466651,-0.2967285
4323583,0.23706616,-0.10466651,-0.28729364
4334815,0.23706616,-0.10757233,-0.2967285
4346038,0.23706616,-0.10466651,-0.29358354
4357368,0.23706616,-0.10466651,-0.2904386
4368551,0.23706616,-0.10466651,-0.2904386
4380224,0.23706616,-0.10757233,-0.29358354
4391403,0.23706616,-0.10466651,-0.29358354
4402567,0.23706616,-0.10466651,-0.29358354
4413710,0.23706616,-0.10466651,-0.2967285
4424860,0.23706616,-0.10466651,-0.2967285
4436080,0.23409258,-0.10757233,-0.28729364
4447384,0.23706616,-0.10466651,-0.29358354
4458639,0.23409258,-0.10466651,-0.2967285
4469828,0.23706616,-0.10757233,-0.29358354
4481101,0.24003974,-0.10757233,-0.2904386
4492369,0.23706616,-0.10466651,-0.29358354
4503610,0.23706616,-0.10757233,-0.2904386
4514899,0.23706616,-0.10466651,-0.2904386
4526153,0.23706616,-0.10466651,-0.29358354
4537374,0.24003974,-0.10466651,-0.2904386
4548645,0.24003974,-0.10757233,-0.28729364
4560494,0.23409258,-0.10466651,-0.2904386
4571666,0.23706616,-0.10466651,-0.2904386
4582808,0.24003974,-0.10466651,-0.2904386
4593951,0.23706616,-0.10466651,-0.29358354
4605097,0.23706616,-0.10757233,-0.29358354
4616258,0.24003974,-0.10466651,-0.2904386
4627423,0.23706616,-0.10466651,-0.28729364
4638648,0.23706616,-0.10466651,-0.2967285
4649885,0.24003974,-0.10466651,-0.2904386
4661163,0.23706616,-0.10466651,-0.2967285
4672454,0.24003974,-0.10466651,-0.2967285
4683651,0.23706616,-0.10466651,-0.2904386
