timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
10415822,0.0,0.0,0.021841485,0.0,0.9999404,0.0,0.0,0.0109205255,0.0,0.0,-0.0,0,0,0,0,0
10420844,0.0,0.0,0.021862429,0.0,0.9999403,0.0,0.0,0.010930996,0.0,0.0,-0.0,0,0,0,0,0
10425873,0.0,0.0,0.02190348,0.0,0.99994004,0.0,0.0,0.010951521,0.0,0.0,-0.0,0,0,0,0,0
10430836,0.0,0.0,0.021932088,0.0,0.99993986,0.0,0.0,0.010965824,0.0,0.0,-0.0,0,0,0,0,0
10435835,0.0,0.0,0.021957794,0.0,0.99993974,0.0,0.0,0.010978676,0.0,0.0,-0.0,0,0,0,0,0
10440820,0.0,0.0,0.021980595,0.0,0.9999396,0.0,0.0,0.010990076,0.0,0.0,-0.0,0,0,0,0,0
10445813,0.0,0.0,0.022016976,0.0,0.9999394,0.0,0.0,0.011008265,0.0,0.0,-0.0,0,0,0,0,0
10450824,0.0,0.0,0.022051448,0.0,0.9999392,0.0,0.0,0.0110255005,0.0,0.0,-0.0,0,0,0,0,0
10455808,0.0,0.0,0.022087913,0.0,0.999939,0.0,0.0,0.011043732,0.0,0.0,-0.0,0,0,0,0,0
10460832,0.0,0.0,0.02212246,0.0,0.99993885,0.0,0.0,0.011061004,0.0,0.0,-0.0,0,0,0,0,0
10465821,0.0,0.0,0.022146894,0.0,0.99993867,0.0,0.0,0.0110732205,0.0,0.0,-0.0,0,0,0,0,0
10470773,0.0,0.0,0.022182085,0.0,0.9999385,0.0,0.0,0.011090815,0.0,0.0,-0.0,0,0,0,0,0
10475749,0.0,0.0,0.022216711,0.0,0.9999383,0.0,0.0,0.011108127,0.0,0.0,-0.0,0,0,0,0,0
10480709,0.0,0.0,0.022246907,0.0,0.99993813,0.0,0.0,0.011123224,0.0,0.0,-0.0,0,0,0,0,0
10485698,0.0,0.0,0.022282489,0.0,0.99993795,0.0,0.0,0.011141014,0.0,0.0,-0.0,0,0,0,0,0
10490678,0.0,0.0,0.022313708,0.0,0.9999378,0.0,0.0,0.011156622,0.0,0.0,-0.0,0,0,0,0,0
10495686,0.0,0.0,0.022339651,0.0,0.9999376,0.0,0.0,0.011169594,0.0,0.0,-0.0,0,0,0,0,0
10500682,0.0,0.0,0.022376187,0.0,0.9999374,0.0,0.0,0.01118786,0.0,0.0,-0.0,0,0,0,0,0
10505695,0.0,0.0,0.022412838,0.0,0.99993724,0.0,0.0,0.0112061845,0.0,0.0,-0.0,0,0,0,0,0
10510752,0.0,0.0,0.022436593,0.0,0.99993706,0.0,0.0,0.011218061,0.0,0.0,-0.0,0,0,0,0,0
