timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1854567,5.167529,3.3338377,1,0,1,0,1,0,0
1864530,5.230371,3.3612304,1,0,1,0,1,0,0
1874529,5.2223144,3.3338377,1,0,1,0,1,0,0
1884590,5.1755857,3.3354492,1,0,1,0,1,0,0
1894564,5.24165,3.3563964,1,0,1,0,1,0,0
1904530,5.1626954,3.3547852,1,0,1,0,1,0,0
1914530,5.22876,3.3596191,1,0,1,0,1,0,0
1924561,5.230371,3.3322265,1,0,1,0,1,0,0
1934530,5.1691403,3.3580077,1,0,1,0,1,0,0
1944531,5.2368164,3.3290038,1,0,1,0,1,0,0
1954529,5.167529,3.3322265,1,0,1,0,1,0,0
1964529,5.2271485,3.3370605,1,0,1,0,1,0,0
1974531,5.2223144,3.3370605,1,0,1,0,1,0,0
1984530,5.1755857,3.3322265,1,0,1,0,1,0,0
1994572,5.2335935,3.3563964,1,0,1,0,1,0,0
2004529,5.1610837,3.3322265,1,0,1,0,1,0,0
2014562,5.2029786,3.3322265,1,0,1,0,1,0,0
2024531,5.22876,3.3322265,1,0,1,0,1,0,0
2034535,5.2271485,3.3322265,1,0,1,0,1,0,0
2044532,5.2239256,3.3563964,1,0,1,0,1,0,0
2054531,5.231982,3.3338377,1,0,1,0,1,0,0
2064582,5.2335935,3.3547852,1,0,1,0,1,0,0
2074534,5.230371,3.3370605,1,0,1,0,1,0,0
2084530,5.2271485,3.3338377,1,0,1,0,1,0,0
2094531,5.225537,3.3322265,1,0,1,0,1,0,0
2104577,5.243262,3.3612304,1,0,1,0,1,0,0
2114533,5.2335935,3.3306153,1,0,1,0,1,0,0
2124530,5.2384276,3.3322265,1,0,1,0,1,0,0
2134606,5.2464843,3.3338377,1,0,1,0,1,0,0
2144530,5.2464843,3.3354492,1,0,1,0,1,0,0
2154530,5.254541,3.3580077,1,0,1,0,1,0,0
2164531,5.259375,3.3354492,1,0,1,0,1,0,0
2174530,5.2368164,3.3338377,1,0,1,0,1,0,0
2184531,5.22876,3.3322265,1,0,1,0,1,0,0
2194591,5.2384276,3.3322265,1,0,1,0,1,0,0
2204574,5.2335935,3.3322265,1,0,1,0,1,0,0
2214532,5.2368164,3.3322265,1,0,1,0,1,0,0
2224529,5.2529297,3.3322265,1,0,1,0,1,0,0
2234564,5.2335935,3.3338377,1,0,1,0,1,0,0
2244586,5.2368164,3.3531737,1,0,1,0,1,0,0
2254587,5.2368164,3.3338377,1,0,1,0,1,0,0
2264596,5.2480955,3.3580077,1,0,1,0,1,0,0
2274601,5.2335935,3.3338377,1,0,1,0,1,0,0
2284589,5.230371,3.3338377,1,0,1,0,1,0,0
2294545,5.2368164,3.3338377,1,0,1,0,1,0,0
2304530,5.244873,3.3580077,1,0,1,0,1,0,0
2314529,5.240039,3.3322265,1,0,1,0,1,0,0
2324529,5.225537,3.3290038,1,0,1,0,1,0,0
2334529,5.2335935,3.3322265,1,0,1,0,1,0,0
2344572,5.235205,3.3580077,1,0,1,0,1,0,0
2354530,5.244873,3.3322265,1,0,1,0,1,0,0
2364531,5.254541,3.3322265,1,0,1,0,1,0,0
2374530,5.240039,3.3354492,1,0,1,0,1,0,0
2384559,5.231982,3.3580077,1,0,1,0,1,0,0
2394593,5.243262,3.3580077,1,0,1,0,1,0,0
2404556,5.240039,3.3338377,1,0,1,0,1,0,0
2414581,5.2497067,3.3547852,1,0,1,0,1,0,0
