timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
10245137,0,0.0,0.0,0.0,0.0,-0.24254736,6.10139e-07,1.5348543e-06,0.0,0.004616614,0.0006387129,-0.016510027,-0.0034194132,0.000121348254,0.00030526138,0.0,0.013330772,0.023653511,0.011793274,0.021508869,-0.00030077435,0.0,0.14211598,0.44945344,0.97276187,0.6403026,0.4905876,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10255145,0,0.0,0.0,0.0,0.0,-0.24137071,6.10139e-07,1.5348543e-06,0.0,0.0046634637,0.00060588133,-0.01584671,-0.0016080292,0.000121348254,0.00030526138,0.0,0.0023022594,0.004550752,0.013537371,0.021496834,-0.00030077435,0.0,0.1409162,0.45480967,0.97688895,0.6403406,0.49167305,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10265144,0,0.0,0.0,0.0,0.0,-0.24022669,6.10139e-07,1.5348543e-06,0.0,0.0047781924,0.00063634745,-0.015296038,3.590458e-05,0.000121348254,0.00030526138,0.0,0.0018304648,-0.003595087,0.024797577,0.02148866,-0.00030077435,0.0,0.13974893,0.46019268,0.98103064,0.64043075,0.49275905,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10275147,0,0.0,0.0,0.0,0.0,-0.2391151,6.10139e-07,1.5348543e-06,0.0,0.004845109,0.0007426164,-0.014973413,0.0013989125,0.000121348254,0.00030526138,0.0,0.016175684,0.010955373,-0.012817293,0.02149323,-0.00030077435,0.0,0.13861367,0.4656016,0.98518693,0.6405732,0.49384555,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10285177,0,0.0,0.0,0.0,0.0,-0.23803502,6.10139e-07,1.5348543e-06,0.0,0.0047233524,0.00086014473,-0.014337085,0.0030245944,0.000121348254,0.00030526138,0.0,-0.009055211,-0.0010317176,0.017129432,0.021497067,-0.00030077435,0.0,0.13750875,0.47103572,0.9893577,0.6407678,0.49493256,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10295153,0,0.0,0.0,0.0,0.0,-0.23617075,6.10139e-07,1.5348543e-06,0.0,0.004778599,0.000806347,-0.013448781,0.005695026,0.000121348254,0.00030526138,0.0,-0.005457364,0.004415345,0.01145091,0.021495195,-0.00030077435,0.0,0.15584344,0.47649434,0.9557798,0.6410139,0.48260173,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10305156,0,0.0,0.0,0.0,0.0,-0.23435877,6.10139e-07,1.5348543e-06,0.0,0.004827165,0.0007656156,-0.012779662,0.008062037,0.000121348254,0.00030526138,0.0,0.00018566607,-0.008085544,-0.012576769,0.021488734,-0.00030077435,0.0,0.15409282,0.48197678,0.9598202,0.6413123,0.48367152,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10315159,0,0.0,0.0,0.0,0.0,-0.23259643,6.10139e-07,1.5348543e-06,0.0,0.0047686324,0.00086059276,-0.011805645,0.010652673,0.000121348254,0.00030526138,0.0,-0.004121254,0.01861682,0.018941423,0.021521766,-0.00030077435,0.0,0.15239266,0.48748246,0.9638752,0.64166206,0.48474184,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10325164,0,0.0,0.0,0.0,0.0,-0.23088147,6.10139e-07,1.5348543e-06,0.0,0.0051168622,0.0021998575,-0.01107065,0.012925878,0.000121348254,0.00030526138,0.0,0.036153927,0.18484056,-0.006269281,0.021549078,-0.00030077435,0.0,0.15074143,0.49301085,0.9679445,0.64206356,0.48581266,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10335168,0,0.0,0.0,0.0,0.0,-0.22921361,6.10139e-07,1.5348543e-06,0.0,0.0056050625,0.0049215406,-0.01032274,0.015136372,0.000121348254,0.00030526138,0.0,0.05691774,0.32032758,0.011233783,0.021592055,-0.00030077435,0.0,0.14913839,0.4985614,0.9720283,0.6425175,0.486884,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
