timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
10472436,0.06675015,-0.034137763,-0.00026590153,0.0,0.0,-0.0
10477445,0.06677009,-0.03413942,-0.00026353353,0.0,0.0,-0.0
10482429,0.066776805,-0.034145467,-0.00027112768,0.0,0.0,-0.0
10487451,0.06677509,-0.03413445,-0.00026862443,0.0,0.0,-0.0
10492440,0.066783346,-0.03412531,-0.00026680736,0.0,0.0,-0.0
10497511,0.06678899,-0.034137033,-0.00026053865,0.0,0.0,-0.0
10502498,0.06679568,-0.034133777,-0.00026169172,0.0,0.0,-0.0
10507550,0.06680548,-0.034139022,-0.00026403103,0.0,0.0,-0.0
10512556,0.06680545,-0.034149222,-0.0002604859,0.0,0.0,-0.0
10517496,0.066799544,-0.03415224,-0.00026222118,0.0,0.0,-0.0
10522510,0.06679208,-0.03416262,-0.00026262508,0.0,0.0,-0.0
10527511,0.06679109,-0.03416119,-0.00026049945,0.0,0.0,-0.0
10532491,0.06679527,-0.034160204,-0.00026220732,0.0,0.0,-0.0
10537508,0.066795364,-0.034148756,-0.00025637384,0.0,0.0,-0.0
10542516,0.06678604,-0.0341301,-0.00025543108,0.0,0.0,-0.0
10547522,0.06675176,-0.03415532,-0.00024389797,0.0,0.0,-0.0
10552561,0.06674866,-0.034123987,-0.0002615247,0.0,0.0,-0.0
10557553,0.06672137,-0.03414611,-0.00024035988,0.0,0.0,-0.0
10562497,0.06676017,-0.03412384,-0.0002559853,0.0,0.0,-0.0
10567476,0.066722885,-0.034133404,-0.00024698902,0.0,0.0,-0.0
10572462,0.06677289,-0.034112,-0.0002577122,0.0,0.0,-0.0
10577470,0.066766076,-0.034146294,-0.00024883173,0.0,0.0,-0.0
10582489,0.06676201,-0.034099344,-0.0002459447,0.0,0.0,-0.0
10587475,0.06679449,-0.034129035,-0.00024281605,0.0,0.0,-0.0
10592474,0.06679279,-0.034100924,-0.00024965254,0.0,0.0,-0.0
10597518,0.06677093,-0.03409543,-0.00023597688,0.0,0.0,-0.0
10602497,0.066765234,-0.034085706,-0.00023871084,0.0,0.0,-0.0
10607418,0.066756584,-0.034088124,-0.00024364259,0.0,0.0,-0.0
10612431,0.06674125,-0.03409885,-0.00023601952,0.0,0.0,-0.0
10617430,0.066731125,-0.03409804,-0.00023974827,0.0,0.0,-0.0
10622437,0.06671599,-0.03411418,-0.00023647796,0.0,0.0,-0.0
10627447,0.066714846,-0.03411071,-0.00022933338,0.0,0.0,-0.0
10632461,0.06671137,-0.034115776,-0.00024183048,0.0,0.0,-0.0
10637426,0.06670591,-0.03412017,-0.00023404091,0.0,0.0,-0.0
10642490,0.06669947,-0.03412489,-0.00023520486,0.0,0.0,-0.0
10647477,0.06669241,-0.034133565,-0.00024158623,0.0,0.0,-0.0
10652434,0.06672895,-0.034125432,-0.00023931671,0.0,0.0,-0.0
10657448,0.0667249,-0.034125842,-0.00023640272,0.0,0.0,-0.0
10662441,0.066742346,-0.034111653,-0.00023882334,0.0,0.0,-0.0
10667455,0.06674096,-0.034118306,-0.00023347308,0.0,0.0,-0.0
10672434,0.06675009,-0.034104474,-0.0002445214,0.0,0.0,-0.0
10677451,0.06674779,-0.03411621,-0.00023229346,0.0,0.0,-0.0
10682446,0.06674282,-0.03410334,-0.00023095992,0.0,0.0,-0.0
10687562,0.0667465,-0.034117565,-0.00022783398,0.0,0.0,-0.0
10692563,0.066748485,-0.034122743,-0.00022624485,0.0,0.0,-0.0
10697526,0.06675957,-0.03411563,-0.00023608544,0.0,0.0,-0.0
10702531,0.06676259,-0.0341095,-0.00023512162,0.0,0.0,-0.0
10707512,0.06676474,-0.034102652,-0.00023005376,0.0,0.0,-0.0
10712527,0.06674571,-0.03410021,-0.00023106884,0.0,0.0,-0.0
10717515,0.06675847,-0.03409452,-0.00023432545,0.0,0.0,-0.0
10722521,0.06676261,-0.034107413,-0.00023005843,0.0,0.0,-0.0
10727502,0.06676598,-0.03410083,-0.00023381438,0.0,0.0,-0.0
10732519,0.0667691,-0.03410337,-0.00023257067,0.0,0.0,-0.0
10737560,0.066765495,-0.034094848,-0.00023546608,0.0,0.0,-0.0
10742504,0.066761665,-0.034098227,-0.0002207912,0.0,0.0,-0.0
10747518,0.06675568,-0.034099925,-0.0002268652,0.0,0.0,-0.0
10752506,0.06676649,-0.034099665,-0.00022434202,0.0,0.0,-0.0
10757602,0.066775374,-0.034103896,-0.00022235014,0.0,0.0,-0.0
10762512,0.06676911,-0.034110676,-0.00023267485,0.0,0.0,-0.0
10767593,0.0667724,-0.03411583,-0.00022750597,0.0,0.0,-0.0
10772581,0.06676341,-0.034096062,-0.0002307385,0.0,0.0,-0.0
10777628,0.06674348,-0.034097984,-0.00023510407,0.0,0.0,-0.0
10782613,0.066742584,-0.034094483,-0.0002375204,0.0,0.0,-0.0
10787550,0.06670314,-0.034088377,-0.00023409796,0.0,0.0,-0.0
10792558,0.06669637,-0.034079988,-0.00022115944,0.0,0.0,-0.0
10797595,0.066680074,-0.034075223,-0.00022168827,0.0,0.0,-0.0
10802568,0.06666735,-0.034067046,-0.00022639142,0.0,0.0,-0.0
10807543,0.06667663,-0.034073446,-0.00022603365,0.0,0.0,-0.0
10812548,0.06668247,-0.034074318,-0.00022785296,0.0,0.0,-0.0
10817546,0.066685334,-0.0340731,-0.00022368769,0.0,0.0,-0.0
10822593,0.06668747,-0.034086235,-0.00022225526,0.0,0.0,-0.0
10827619,0.06670375,-0.03408372,-0.00021944077,0.0,0.0,-0.0
10832557,0.066721514,-0.034076326,-0.00022657373,0.0,0.0,-0.0
10837563,0.066718414,-0.03408083,-0.00022455097,0.0,0.0,-0.0
10842559,0.06671468,-0.034091044,-0.00022318818,0.0,0.0,-0.0
10847562,0.06673111,-0.034100063,-0.00022745407,0.0,0.0,-0.0
10852560,0.06672294,-0.03410254,-0.00022521737,0.0,0.0,-0.0
10857565,0.066717535,-0.034092434,-0.00023027029,0.0,0.0,-0.0
10862596,0.06672048,-0.034099612,-0.00022729381,0.0,0.0,-0.0
10867658,0.06671933,-0.03410584,-0.00022958711,0.0,0.0,-0.0
10872654,0.06671559,-0.034109518,-0.00021797404,0.0,0.0,-0.0
10877608,0.06672198,-0.034110423,-0.00021990182,0.0,0.0,-0.0
10882619,0.06671021,-0.034106344,-0.00023201676,0.0,0.0,-0.0
10887614,0.06672744,-0.034113456,-0.00021988622,0.0,0.0,-0.0
10892619,0.06672383,-0.03410079,-0.0002244507,0.0,0.0,-0.0
10897603,0.066723116,-0.034083538,-0.00022557047,0.0,0.0,-0.0
10902607,0.066711925,-0.0340842,-0.0002152019,0.0,0.0,-0.0
10907609,0.0667132,-0.03409246,-0.00022681641,0.0,0.0,-0.0
10912664,0.06671929,-0.03409656,-0.00021884046,0.0,0.0,-0.0
10917656,0.06672586,-0.034098916,-0.00022191403,0.0,0.0,-0.0
10922611,0.06672856,-0.034105945,-0.00022218496,0.0,0.0,-0.0
10927701,0.066730455,-0.034097116,-0.00022688141,0.0,0.0,-0.0
10932603,0.06670993,-0.034102514,-0.00022511653,0.0,0.0,-0.0
10937614,0.06671476,-0.034097854,-0.00022326027,0.0,0.0,-0.0
10942607,0.06670915,-0.034090668,-0.00022098862,0.0,0.0,-0.0
