timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1851587,0.23706616,-0.10466651,-0.2967285
1862904,0.23409258,-0.10466651,-0.2967285
1874707,0.23409258,-0.10466651,-0.2967285
1885876,0.23409258,-0.10466651,-0.2967285
1897077,0.23706616,-0.10466651,-0.2967285
1908223,0.23706616,-0.10466651,-0.2967285
1919389,0.23409258,-0.10466651,-0.2967285
1930575,0.23409258,-0.10466651,-0.29358354
1941716,0.23111899,-0.10466651,-0.29358354
1952864,0.23409258,-0.10466651,-0.2967285
1964218,0.23706616,-0.10466651,-0.2967285
1975413,0.23409258,-0.10466651,-0.2967285
1986618,0.23409258,-0.10466651,-0.29987347
1997873,0.23409258,-0.10466651,-0.29987347
2009201,0.23409258,-0.10466651,-0.29358354
2020392,0.23409258,-0.10466651,-0.29987347
2031636,0.23706616,-0.10466651,-0.2967285
2042914,0.23409258,-0.10466651,-0.29358354
2054214,0.23706616,-0.10466651,-0.29358354
2065394,0.23706616,-0.10757233,-0.2904386
2076644,0.23706616,-0.10466651,-0.29358354
2087917,0.23706616,-0.10757233,-0.2904386
2099211,0.23409258,-0.10466651,-0.2904386
2110399,0.23706616,-0.10466651,-0.28729364
2121668,0.23409258,-0.10466651,-0.2967285
2133486,0.23409258,-0.10466651,-0.2967285
2144673,0.23409258,-0.10757233,-0.2967285
2155840,0.23706616,-0.10466651,-0.29358354
2166977,0.23706616,-0.10466651,-0.29358354
2178119,0.23409258,-0.10466651,-0.29358354
2189271,0.23706616,-0.10466651,-0.2967285
2200439,0.23706616,-0.10466651,-0.29358354
2211692,0.23409258,-0.10466651,-0.29987347
2222930,0.23409258,-0.10466651,-0.29358354
2234252,0.23706616,-0.10466651,-0.2967285
2245471,0.23409258,-0.10466651,-0.2967285
2256703,0.23409258,-0.10466651,-0.2904386
2267994,0.23409258,-0.10466651,-0.2967285
2279219,0.23706616,-0.10466651,-0.29358354
2290464,0.23706616,-0.10466651,-0.2967285
2301718,0.23409258,-0.10466651,-0.2967285
2312988,0.23409258,-0.10466651,-0.2967285
2324214,0.23409258,-0.10466651,-0.2967285
2335509,0.23409258,-0.10466651,-0.2967285
2346725,0.23409258,-0.10757233,-0.29358354
2357965,0.23409258,-0.10466651,-0.2967285
2369242,0.23409258,-0.10466651,-0.2967285
2380481,0.23706616,-0.10466651,-0.2967285
2392292,0.23409258,-0.10466651,-0.29358354
2403431,0.23409258,-0.10466651,-0.2967285
2414572,0.23409258,-0.10466651,-0.29358354
2425710,0.23409258,-0.10466651,-0.2967285
2436862,0.23409258,-0.10466651,-0.2967285
2448075,0.23409258,-0.10466651,-0.29358354
2459264,0.23409258,-0.10466651,-0.29358354
2470488,0.23706616,-0.10466651,-0.2967285
2481756,0.23409258,-0.10466651,-0.29987347
2493067,0.23409258,-0.10466651,-0.2967285
2504279,0.23706616,-0.10466651,-0.29358354
2515503,0.23409258,-0.10466651,-0.2967285
2526777,0.23706616,-0.10466651,-0.2904386
2538029,0.23409258,-0.10466651,-0.28729364
2549262,0.23409258,-0.10466651,-0.2967285
2560558,0.23706616,-0.10466651,-0.2904386
2571764,0.23706616,-0.10466651,-0.2967285
2583058,0.23706616,-0.10466651,-0.2904386
2594296,0.23409258,-0.10466651,-0.2967285
2605518,0.23706616,-0.10466651,-0.2967285
2616797,0.23706616,-0.10757233,-0.29358354
2628051,0.23409258,-0.10466651,-0.2967285
2639291,0.23706616,-0.10466651,-0.29358354
2650868,0.23706616,-0.10466651,-0.2967285
2662015,0.23706616,-0.10466651,-0.29358354
2673156,0.23706616,-0.10466651,-0.29358354
2684298,0.23706616,-0.10757233,-0.28729364
2695603,0.24003974,-0.10466651,-0.29358354
2706802,0.23409258,-0.10466651,-0.29358354
2718053,0.23706616,-0.10466651,-0.28729364
2729329,0.23706616,-0.10466651,-0.28729364
2740627,0.23409258,-0.10757233,-0.2904386
2751837,0.23409258,-0.10466651,-0.29358354
2763056,0.24003974,-0.10466651,-0.29358354
2774367,0.23706616,-0.10466651,-0.2904386
2785585,0.23706616,-0.10466651,-0.2904386
2796808,0.24003974,-0.10757233,-0.28729364
2808126,0.24003974,-0.10466651,-0.29358354
2819327,0.23706616,-0.10466651,-0.28729364
2831240,0.24003974,-0.10466651,-0.2904386
2842383,0.23706616,-0.10466651,-0.29358354
2853533,0.23706616,-0.10757233,-0.29358354
2864674,0.23706616,-0.10757233,-0.29358354
2875818,0.24003974,-0.10757233,-0.2904386
2886959,0.23706616,-0.10466651,-0.2904386
2898131,0.23706616,-0.10466651,-0.28729364
2909361,0.23706616,-0.10757233,-0.2904386
2920620,0.23706616,-0.10757233,-0.28729364
2931839,0.23706616,-0.10466651,-0.29358354
2943122,0.23706616,-0.10757233,-0.28729364
2954423,0.24003974,-0.10466651,-0.28729364
2965605,0.23706616,-0.10466651,-0.2904386
2976851,0.24003974,-0.10466651,-0.2904386
2988190,0.23706616,-0.10757233,-0.2904386
2999368,0.23706616,-0.10466651,-0.28729364
3010620,0.23706616,-0.10466651,-0.2904386
3021917,0.23706616,-0.10466651,-0.2810037
3033138,0.23706616,-0.10466651,-0.29358354
3044375,0.23706616,-0.10466651,-0.2904386
3055668,0.23706616,-0.10466651,-0.2904386
3066904,0.23706616,-0.10466651,-0.29358354
3078189,0.24003974,-0.10757233,-0.28729364
3089898,0.23706616,-0.10466651,-0.2967285
3101125,0.23706616,-0.10466651,-0.29358354
3112264,0.24003974,-0.10466651,-0.29358354
3123414,0.23706616,-0.10757233,-0.28729364
3134583,0.23706616,-0.10466651,-0.2904386
3145785,0.23706616,-0.10466651,-0.2967285
3156977,0.23706616,-0.10466651,-0.2904386
3168161,0.24003974,-0.10466651,-0.29358354
3179409,0.23706616,-0.10466651,-0.2904386
3190723,0.23706616,-0.10466651,-0.2904386
3201955,0.23706616,-0.10466651,-0.28729364
3213161,0.23706616,-0.10466651,-0.29358354
3224420,0.24003974,-0.10466651,-0.2904386
3235701,0.24003974,-0.10466651,-0.2904386
3246943,0.24003974,-0.10466651,-0.2904386
3258168,0.24003974,-0.10466651,-0.29358354
3269421,0.24003974,-0.10466651,-0.29358354
3280741,0.23706616,-0.10466651,-0.29358354
3291939,0.24003974,-0.10466651,-0.29358354
3304077,0.23706616,-0.10466651,-0.2904386
3315328,0.24003974,-0.10466651,-0.28729364
3326656,0.23706616,-0.10466651,-0.2904386
3337801,0.23706616,-0.10757233,-0.2904386
3349153,0.23706616,-0.10466651,-0.2967285
3360411,0.23706616,-0.10466651,-0.29358354
3371557,0.23706616,-0.10466651,-0.2904386
3382792,0.23706616,-0.10466651,-0.29358354
