timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
258424009,3.0079389,3.7977512,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258433979,-2.2504644,3.6215703,-2.5122125,-1.2555755,0.0010614644,1.2576988,2.514336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258443969,-1.9749101,3.8404639,-2.5110111,-1.2543745,0.002262344,1.2588999,2.5155375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258453981,-1.9066647,3.9171593,-2.5100713,-1.2534351,0.0032014553,1.2598394,2.5164776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258463978,-1.6905997,3.7447495,-2.5094116,-1.2527758,0.0038605111,1.2604985,2.517137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258473992,-1.7095425,3.7618754,-2.5092142,-1.252579,0.004056938,1.2606955,2.5173347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258483988,-1.6785798,3.734269,-2.5095277,-1.252893,0.0037426199,1.2603813,2.5170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258493992,-1.6026676,3.6749108,-2.5102298,-1.253596,0.0030391223,1.2596782,2.5163188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258503996,-1.5658039,3.649955,-2.5111544,-1.2545214,0.0021129858,1.2587526,2.5153942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258514002,-1.5070604,3.6162398,-2.512331,-1.2556994,0.0009340168,1.2575742,2.514217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258524005,-1.4991742,3.6118145,-2.5134015,-1.2567713,-0.0001391077,1.2565018,2.5131464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258534011,-1.4443114,3.5877347,-2.5147097,-1.2580808,-0.0014502183,1.2551912,2.5118375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258544014,-1.397461,3.572158,-2.5158577,-1.2592304,-0.0026014138,1.2540405,2.5106888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258554025,-1.3631289,3.5636456,-2.51681,-1.2601838,-0.0035562331,1.2530859,2.5097358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258564024,-1.3355916,3.5585759,-2.5178576,-1.2612324,-0.004606124,1.2520362,2.5086875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258574028,-1.3225659,3.5566828,-2.5188782,-1.262254,-0.005628792,1.2510138,2.5076663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258584033,-1.296694,3.554175,-2.5197048,-1.2630807,-0.0064562196,1.2501861,2.5068393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258594037,-1.2659748,3.5530493,-2.5206676,-1.2640436,-0.0074196304,1.2492224,2.5058758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258604042,-1.2413914,3.5536077,-2.5217164,-1.2650924,-0.008468942,1.2481728,2.5048265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258614047,-1.2122267,3.5559301,-2.5225525,-1.2659285,-0.009305565,1.2473358,2.5039897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
258624051,3.0998926,3.8983865,-2.52397,-1.2677925,-0.009828053,1.248089,2.50419,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258634057,3.0995219,3.8983445,-2.524304,-1.2681262,-0.010162104,1.2477546,2.5038555,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258644063,3.0992775,3.898332,-2.5245366,-1.2683587,-0.010394709,1.2475215,2.5036225,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258654077,3.0991673,3.8983018,-2.5246198,-1.2684418,-0.010478016,1.247438,2.5035388,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258664071,3.0992546,3.8982923,-2.5245237,-1.2683454,-0.010381758,1.2475339,2.503635,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258674078,3.0994313,3.8983178,-2.5243666,-1.2681884,-0.010225022,1.2476904,2.5037916,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
258684078,3.0995376,3.8982882,-2.5242343,-1.2680558,-0.01009269,1.2478225,2.5039237,-0.044799797,-0.070557214,-0.020917207,0.03551721,0.020757027,-0.0819931,-0.14255585,-0.18576674,-0.15190926,-0.08777507,0.20055027,0.1997612,0.19930282,0.19980703,0.20057864
