timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
258160001,4294967295,1081,28,724,654,728,973,3253,2071,4039,3170,1748,1134,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258170059,4294967295,1077,25,726,659,751,1004,3226,2069,4039,3157,1738,1126,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258180014,4294967295,1080,24,725,652,763,1016,3217,2070,4037,3164,1740,1117,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258190055,4294967295,1077,28,727,662,742,965,3221,2084,4041,3165,1724,1111,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258200001,4294967295,1080,26,725,652,785,1061,3222,2068,4037,3166,1721,1107,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258210041,4294967295,1079,28,726,656,790,1037,3216,2070,4038,3168,1717,1095,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258220001,4294967295,1082,35,727,664,811,1004,3266,2071,4040,3165,1712,1093,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258230041,4294967295,1083,33,727,661,817,1076,3248,2070,4037,3162,1722,1085,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258240002,4294967295,1081,37,729,655,820,1052,3248,2071,4041,3168,1707,1083,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258250040,4294967295,1081,41,730,661,821,1048,3243,2088,4040,3166,1704,1082,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258260001,4294967295,1077,42,729,654,823,1048,3268,2086,4040,3171,1700,1080,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
258270043,4294967295,1078,43,730,658,823,1042,3238,2068,4040,3169,1694,1067,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
