timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
258594037,-33.93858680924314,18.874165347540234,132.17361,158.31201,-0.0,1.0904882,1.4081491,132.05794,2,0,1,0
258604042,-33.93858680843693,18.8741653528461,132.1742,158.31259,-0.0,1.0907393,1.4083239,132.05794,2,0,1,0
258614047,-33.938586807654325,18.874165361378644,132.17494,158.31334,-0.0,1.0863097,1.4074668,132.05794,2,0,1,0
258624051,-33.93858680706254,18.874165370041705,132.1757,158.3141,-0.0,1.0865242,1.4076359,132.05794,2,0,1,0
258634057,-33.938586806605834,18.87416537883334,132.17648,158.31488,-0.0,1.0867406,1.4078058,132.05794,2,0,1,0
258644063,-33.93858680625419,18.874165387763888,132.17725,158.31564,-0.0,1.086959,1.4079763,132.05794,2,0,1,0
258654077,-33.938586805935785,18.874165396833998,132.17802,158.31642,-0.0,1.0871793,1.4081473,132.05794,2,0,1,0
258664071,-33.938586805646324,18.87416540605142,132.179,158.3174,-0.0,1.0874016,1.4072837,132.05794,2,0,1,0
258674078,-33.93858680535794,18.874165415370282,132.17995,158.31834,-0.0,1.0876259,1.4074535,132.05794,2,0,1,0
258684078,-33.93858680509635,18.874165424834523,132.18088,158.31927,-0.0,1.0878521,1.4076239,132.05794,2,0,1,0
258694082,-33.93858680483476,18.874165434470623,132.18178,158.32018,-0.0,1.0880805,1.4077951,132.05794,2,0,1,0
258704087,-33.938586804545295,18.87416544427601,132.18265,158.32104,-0.0,1.0883108,1.4079669,132.05794,2,0,1,0
258714092,-33.93858680420331,18.874165454215138,132.18349,158.32188,-0.0,1.0885433,1.4081391,132.05794,2,0,1,0
258724097,-33.938586803818424,18.874165464103225,132.1843,158.3227,-0.0,1.0887778,1.4083122,132.05794,2,0,1,0
258734101,-33.93858680334564,18.87416547378326,132.1851,158.3235,-0.0,1.0890144,1.4084858,132.05794,2,0,1,0
258744105,-33.938586802729205,18.874165483164152,132.18587,158.32426,-0.0,1.0892531,1.40866,132.05794,2,0,1,0
258754110,-33.93858680188977,18.874165492185156,132.18697,158.32536,-0.0,1.0894939,1.4077842,132.05794,2,0,1,0
258764114,-33.93858680082305,18.874165500812676,132.188,158.32538,-0.0,1.0897368,1.4079572,132.05794,2,0,1,0
258774120,-33.938586799496896,18.874165509062873,132.18903,158.3264,-0.0,1.0899819,1.4081309,132.05794,2,0,1,0
258784124,-33.93858679796812,18.87416551691054,132.19002,158.3274,-0.0,1.0902293,1.4083052,132.05794,2,0,1,0
258794128,-33.93858679627424,18.874165524391863,132.19098,158.32835,-0.0,1.0904788,1.40848,132.05794,2,0,1,0
258804133,-33.9385867944753,18.874165531579848,132.19191,158.32928,-0.0,1.0907304,1.4086556,132.05794,2,0,1,0
258814140,-33.93858679380525,18.87416553956126,132.1931,158.33047,-0.0,1.0862905,1.4077896,132.05794,2,0,1,0
258824180,-33.938586793058,18.874165547514888,132.19426,158.33163,-0.0,1.086505,1.4079595,132.05794,2,0,1,0
258834159,-33.9385867922904,18.874165555490485,132.19536,158.33273,-0.0,1.0867217,1.4081302,132.05794,2,0,1,0
258844147,-33.93858679147991,18.87416556351842,132.19673,158.3341,-0.0,1.0869402,1.4072665,132.05794,2,0,1,0
258854156,-33.9385867906244,18.874165571536658,132.19806,158.33543,-0.0,1.0871607,1.4074359,132.05794,2,0,1,0
258864160,-33.9385867896917,18.874165579427615,132.19934,158.33672,-0.0,1.0873832,1.4076059,132.05794,2,0,1,0
258874196,-33.93858678864213,18.874165587090495,132.20056,158.33794,-0.0,1.0876076,1.4077765,132.05794,2,0,1,0
258884168,-33.93858678749393,18.874165594381214,132.20175,158.33913,-0.0,1.0878341,1.4079478,132.05794,2,0,1,0
258894174,-33.93858678617636,18.87416560120544,132.2029,158.34027,-0.0,1.0880626,1.4081196,132.05794,2,0,1,0
258904178,-33.938586784733346,18.87416560757287,132.204,158.34137,-0.0,1.0882932,1.4082922,132.05794,2,0,1,0
258914183,-33.93858678317562,18.87416561354552,132.20505,158.34242,-0.0,1.0885258,1.4084653,132.05794,2,0,1,0
258924187,-33.93858678157501,18.874165619226776,132.20628,158.34366,-0.0,1.0887605,1.4075942,132.05794,2,0,1,0
258934192,-33.938586779909,18.87416562475684,132.20746,158.34483,-0.0,1.0889972,1.4077661,132.05794,2,0,1,0
258944196,-33.93858677817975,18.874165630144763,132.20859,158.34596,-0.0,1.0892361,1.4079386,132.05794,2,0,1,0
258954202,-33.938586776356146,18.874165635432536,132.20966,158.34703,-0.0,1.0894772,1.4081118,132.12428,2,0,1,0
258964206,-33.9385867744232,18.87416564052389,132.2107,158.34657,-0.0,1.0897204,1.4082856,132.12494,2,0,1,0
258974210,-33.938586772328364,18.87416564546018,132.21169,158.34756,-0.0,1.0899657,1.40846,132.1256,2,0,1,0
258984216,-33.93858677002447,18.874165650202638,132.21265,158.34853,-0.0,1.0902133,1.4086351,132.12625,2,0,1,0
258994229,-33.93858676747401,18.8741656547196,132.21356,158.34944,-0.0,1.090463,1.408811,132.12688,2,0,1,0
259004230,-33.93858676468232,18.874165658903173,132.21443,158.35031,-0.0,1.0907149,1.4089873,132.12747,2,0,1,0
259014231,-33.93858676298523,18.87416566427365,132.2154,158.35127,-0.0,1.0862758,1.4070828,132.13158,2,0,1,0
259024240,-33.938586761100524,18.87416566922286,132.2163,158.35217,-0.0,1.0864905,1.4072511,132.13213,2,0,1,0
259034238,-33.93858675911503,18.874165673766313,132.21713,158.35301,-0.0,1.0867071,1.40742,132.13266,2,0,1,0
259044243,-33.938586757099536,18.87416567791241,132.21794,158.35382,-0.0,1.0869257,1.4075896,132.13316,2,0,1,0
259054247,-33.938586755085105,18.87416568173868,132.2187,158.35458,-0.0,1.0871463,1.4077597,132.13364,2,0,1,0
259064251,-33.93858675308033,18.874165685185037,132.21944,158.35532,-0.0,1.0873688,1.4079305,132.1341,2,0,1,0
