timestamp,timestamp_sample,device_id,error_count,pressure,temperature
2224149,2223193,6780433,0,1002.30536,23.779999
2267432,2266486,6780433,0,1002.2953,23.779999
2310713,2309791,6780433,0,1002.26965,23.779999
2354188,2353231,6780433,0,1002.2621,23.779999
2397344,2396386,6780433,0,1002.285,23.779999
2440732,2439687,6780433,0,1002.28766,23.789999
2484000,2483035,6780433,0,1002.2878,23.789999
2527208,2526287,6780433,0,1002.24915,23.779999
2570506,2569586,6780433,0,1002.3029,23.789999
2613809,2612886,6780433,0,1002.27484,23.789999
2657108,2656186,6780433,0,1002.2825,23.779999
2700425,2699503,6780433,0,1002.3058,23.8
2743741,2742787,6780433,0,1002.3107,23.8
2787035,2786087,6780433,0,1002.3083,23.8
2830316,2829386,6780433,0,1002.28516,23.789999
2873607,2872686,6780433,0,1002.2878,23.789999
2917043,2915990,6780433,0,1002.29535,23.789999
2960205,2959286,6780433,0,1002.27246,23.789999
3003511,3002588,6780433,0,1002.2751,23.8
3046832,3045912,6780433,0,1002.2701,23.8
3090109,3089187,6780433,0,1002.32117,23.8
3133420,3132501,6780433,0,1002.29553,23.8
3176800,3175833,6780433,0,1002.30316,23.8
3220008,3219086,6780433,0,1002.29565,23.8
3263377,3262424,6780433,0,1002.2701,23.8
3306756,3305833,6780433,0,1002.29047,23.8
3349975,3349014,6780433,0,1002.29047,23.8
3393417,3392287,6780433,0,1002.27264,23.8
3436506,3435586,6780433,0,1002.29565,23.8
3479807,3478886,6780433,0,1002.2573,23.8
3523119,3522194,6780433,0,1002.293,23.8
3566451,3565486,6780433,0,1002.27515,23.8
3609758,3608786,6780433,0,1002.2829,23.8
3653103,3652175,6780433,0,1002.30585,23.8
3696319,3695386,6780433,0,1002.25726,23.8
3739701,3738686,6780433,0,1002.2803,23.8
3782948,3782027,6780433,0,1002.29047,23.8
3826250,3825298,6780433,0,1002.26764,23.81
3869656,3868586,6780433,0,1002.2778,23.8
3912812,3911889,6780433,0,1002.27264,23.8
3956110,3955188,6780433,0,1002.2573,23.8
3999407,3998487,6780433,0,1002.28796,23.8
4042706,4041786,6780433,0,1002.23956,23.8
4086056,4085086,6780433,0,1002.30084,23.81
4129419,4128465,6780433,0,1002.283,23.81
4172648,4171691,6780433,0,1002.29565,23.8
4216014,4215035,6780433,0,1002.25995,23.8
4259206,4258286,6780433,0,1002.2907,23.81
4302510,4301589,6780433,0,1002.288,23.81
4345807,4344886,6780433,0,1002.27264,23.8
4389228,4388240,6780433,0,1002.2754,23.81
4432413,4431491,6780433,0,1002.2447,23.8
4475716,4474789,6780433,0,1002.2754,23.81
4519038,4518086,6780433,0,1002.28296,23.81
4562314,4561390,6780433,0,1002.2882,23.81
4605741,4604783,6780433,0,1002.27795,23.81
4648907,4647986,6780433,0,1002.26514,23.81
4692291,4691289,6780433,0,1002.2855,23.81
4735566,4734587,6780433,0,1002.2907,23.81
4778807,4777886,6780433,0,1002.2626,23.81
4822109,4821187,6780433,0,1002.2855,23.81
4865529,4864507,6780433,0,1002.2804,23.81
