timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1857057,5.2464843,3.3306153,1,0,1,0,1,0,0
1867014,5.1498046,3.3322265,1,0,1,0,1,0,0
1877016,5.2335935,3.3563964,1,0,1,0,1,0,0
1887015,5.2271485,3.3322265,1,0,1,0,1,0,0
1897009,5.1868653,3.3547852,1,0,1,0,1,0,0
1907017,5.243262,3.3306153,1,0,1,0,1,0,0
1917008,5.157861,3.3273926,1,0,1,0,1,0,0
1927015,5.219092,3.3290038,1,0,1,0,1,0,0
1937008,5.2239256,3.3596191,1,0,1,0,1,0,0
1947136,5.1626954,3.3322265,1,0,1,0,1,0,0
1957101,5.2513185,3.3338377,1,0,1,0,1,0,0
1967098,5.219092,3.3322265,1,0,1,0,1,0,0
1977077,5.20459,3.3547852,1,0,1,0,1,0,0
1987079,5.243262,3.3306153,1,0,1,0,1,0,0
1997115,5.1739745,3.3322265,1,0,1,0,1,0,0
2007052,5.235205,3.3322265,1,0,1,0,1,0,0
2017038,5.1643066,3.3515625,1,0,1,0,1,0,0
2027078,5.230371,3.3306153,1,0,1,0,1,0,0
2037086,5.230371,3.3322265,1,0,1,0,1,0,0
2047047,5.2094235,3.3306153,1,0,1,0,1,0,0
2057040,5.2480955,3.3612304,1,0,1,0,1,0,0
2067100,5.2529297,3.3563964,1,0,1,0,1,0,0
2077045,5.2464843,3.3515625,1,0,1,0,1,0,0
2087086,5.244873,3.3563964,1,0,1,0,1,0,0
2097045,5.256152,3.3306153,1,0,1,0,1,0,0
2107057,5.2480955,3.3322265,1,0,1,0,1,0,0
2117045,5.2464843,3.3563964,1,0,1,0,1,0,0
2127101,5.2529297,3.3580077,1,0,1,0,1,0,0
2137059,5.2335935,3.3322265,1,0,1,0,1,0,0
2147119,5.254541,3.3322265,1,0,1,0,1,0,0
2157097,5.2529297,3.3338377,1,0,1,0,1,0,0
2167070,5.2513185,3.3322265,1,0,1,0,1,0,0
2177100,5.2368164,3.3547852,1,0,1,0,1,0,0
2187065,5.240039,3.3322265,1,0,1,0,1,0,0
2197057,5.2335935,3.3306153,1,0,1,0,1,0,0
2207069,5.24165,3.3322265,1,0,1,0,1,0,0
2217052,5.231982,3.3338377,1,0,1,0,1,0,0
2227023,5.220703,3.3547852,1,0,1,0,1,0,0
2237027,5.2368164,3.3338377,1,0,1,0,1,0,0
2247026,5.235205,3.3290038,1,0,1,0,1,0,0
2257020,5.2368164,3.3338377,1,0,1,0,1,0,0
2267070,5.2497067,3.3290038,1,0,1,0,1,0,0
2277023,5.2223144,3.3563964,1,0,1,0,1,0,0
2287032,5.2335935,3.3580077,1,0,1,0,1,0,0
2297091,5.24165,3.3612304,1,0,1,0,1,0,0
2307120,5.2480955,3.3322265,1,0,1,0,1,0,0
2317077,5.254541,3.3273926,1,0,1,0,1,0,0
2327087,5.22876,3.3306153,1,0,1,0,1,0,0
2337075,5.231982,3.3580077,1,0,1,0,1,0,0
2347079,5.2335935,3.3547852,1,0,1,0,1,0,0
2357072,5.240039,3.3338377,1,0,1,0,1,0,0
2367043,5.2335935,3.3322265,1,0,1,0,1,0,0
