timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
1856916,1855964,396825,-0.6079697,0.54967374,0.12335799,nan,0,0
1868189,1867276,396825,-0.6075749,0.54967374,0.12363549,nan,0,0
1879479,1878535,396825,-0.6075749,0.54967374,0.12335799,nan,0,0
1890679,1889811,396825,-0.6075749,0.54967374,0.12335799,nan,0,0
1901904,1901026,396825,-0.6079697,0.54967374,0.12335799,nan,0,0
1913207,1912208,396825,-0.6075749,0.54967374,0.122802995,nan,0,0
1924505,1923547,396825,-0.6075749,0.5500259,0.122802995,nan,0,0
1935659,1934810,396825,-0.60718,0.54967374,0.12335799,nan,0,0
1946910,1945966,396825,-0.6075749,0.54967374,0.12363549,nan,0,0
1958235,1957220,396825,-0.6079697,0.54967374,0.122802995,nan,0,0
1969408,1968567,396825,-0.6079697,0.54967374,0.122802995,nan,0,0
1980660,1979713,396825,-0.6075749,0.54967374,0.12308049,nan,0,0
1991937,1991004,396825,-0.6079697,0.54967374,0.12308049,nan,0,0
2003207,2002312,396825,-0.6079697,0.54967374,0.12335799,nan,0,0
2014419,2013529,396825,-0.6079697,0.54932165,0.12363549,nan,0,0
2025712,2024724,396825,-0.60875946,0.54967374,0.12363549,nan,0,0
2036985,2036017,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2048180,2047322,396825,-0.6075749,0.54932165,0.12308049,nan,0,0
2059466,2058485,396825,-0.6079697,0.5503781,0.11891804,nan,0,0
2070697,2069788,396825,-0.6079697,0.54896945,0.12308049,nan,0,0
2081943,2081030,396825,-0.60836464,0.54932165,0.12308049,nan,0,0
2093175,2092277,396825,-0.60836464,0.54932165,0.12308049,nan,0,0
2104482,2103504,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2115677,2114787,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2126995,2125985,396825,-0.60875946,0.54896945,0.12308049,nan,0,0
2138256,2137316,396825,-0.60875946,0.54932165,0.12335799,nan,0,0
2149435,2148560,396825,-0.6079697,0.54896945,0.12391298,nan,0,0
2160706,2159740,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
2171968,2171037,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2183187,2182335,396825,-0.60875946,0.54896945,0.12391298,nan,0,0
2194448,2193492,396825,-0.60875946,0.54932165,0.12363549,nan,0,0
2205716,2204786,396825,-0.60875946,0.54932165,0.12419048,nan,0,0
2216951,2216098,396825,-0.60875946,0.54932165,0.12419048,nan,0,0
2228197,2227276,396825,-0.60836464,0.54932165,0.12419048,nan,0,0
2239481,2238549,396825,-0.6079697,0.54932165,0.12391298,nan,0,0
2250719,2249858,396825,-0.60875946,0.54932165,0.12391298,nan,0,0
2261950,2261050,396825,-0.6079697,0.54896945,0.12419048,nan,0,0
2273257,2272276,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2284496,2283561,396825,-0.6079697,0.54967374,0.12141551,nan,0,0
2295732,2294802,396825,-0.60836464,0.54826516,0.122525506,nan,0,0
2306984,2306068,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
2318203,2317332,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
2329474,2328509,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2340755,2339821,396825,-0.60875946,0.54896945,0.12419048,nan,0,0
2351962,2351062,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2363272,2362287,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2374493,2373581,396825,-0.60875946,0.5486173,0.12308049,nan,0,0
2385721,2384867,396825,-0.6091544,0.54896945,0.12391298,nan,0,0
2396981,2396028,396825,-0.6091544,0.54896945,0.12363549,nan,0,0
2408302,2407386,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2419487,2418643,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2430731,2429792,396825,-0.6079697,0.54932165,0.12335799,nan,0,0
2442103,2441086,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2453258,2452407,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2464480,2463592,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2475776,2474817,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2487053,2486082,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2498295,2497359,396825,-0.60836464,0.54896945,0.122525506,nan,0,0
2509537,2508612,396825,-0.6091544,0.5486173,0.12363549,nan,0,0
2520752,2519841,396825,-0.60836464,0.54932165,0.12030552,nan,0,0
2532034,2531059,396825,-0.6091544,0.5486173,0.12335799,nan,0,0
2543296,2542367,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2554513,2553599,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2565744,2564848,396825,-0.6079697,0.5486173,0.12308049,nan,0,0
2577024,2576056,396825,-0.6091544,0.5486173,0.12363549,nan,0,0
2588274,2587403,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
2599492,2598578,396825,-0.60875946,0.5486173,0.12363549,nan,0,0
2610776,2609854,396825,-0.60875946,0.5486173,0.12363549,nan,0,0
2622091,2621153,396825,-0.60875946,0.5486173,0.12308049,nan,0,0
2633283,2632395,396825,-0.6079697,0.54896945,0.12308049,nan,0,0
2644560,2643645,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
2655816,2654864,396825,-0.60836464,0.54896945,0.122802995,nan,0,0
2667022,2666153,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2678292,2677338,396825,-0.60875946,0.5486173,0.12335799,nan,0,0
2689555,2688627,396825,-0.6079697,0.5486173,0.122802995,nan,0,0
2700829,2699888,396825,-0.60875946,0.5486173,0.12335799,nan,0,0
2712008,2711142,396825,-0.60875946,0.54896945,0.12308049,nan,0,0
2723330,2722344,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2734538,2733634,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
2745807,2744901,396825,-0.6079697,0.54896945,0.12363549,nan,0,0
2757068,2756139,396825,-0.60836464,0.5500259,0.118363045,nan,0,0
2768274,2767403,396825,-0.6091544,0.54896945,0.12335799,nan,0,0
2779550,2778606,396825,-0.60836464,0.5486173,0.12391298,nan,0,0
2790814,2789925,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2802017,2801120,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
2813308,2812367,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
2824604,2823654,396825,-0.6079697,0.54932165,0.12308049,nan,0,0
2835775,2834936,396825,-0.60836464,0.54932165,0.12335799,nan,0,0
2847078,2846092,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2858369,2857413,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2869588,2868709,396825,-0.60836464,0.54932165,0.122802995,nan,0,0
2880783,2879925,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2892085,2891092,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
2903312,2902390,396825,-0.60836464,0.54896945,0.122525506,nan,0,0
2914541,2913642,396825,-0.60875946,0.54896945,0.122802995,nan,0,0
2925841,2924846,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
2937066,2936149,396825,-0.6091544,0.54826516,0.12308049,nan,0,0
2948353,2947402,396825,-0.6091544,0.54896945,0.12391298,nan,0,0
2959630,2958684,396825,-0.6091544,0.54896945,0.12419048,nan,0,0
2970789,2969936,396825,-0.60836464,0.54967374,0.122802995,nan,0,0
2982119,2981118,396825,-0.60836464,0.54967374,0.11864054,nan,0,0
2993349,2992450,396825,-0.6079697,0.5500259,0.11864054,nan,0,0
3004554,3003652,396825,-0.60875946,0.54967374,0.122525506,nan,0,0
3015803,3014886,396825,-0.6091544,0.54932165,0.12308049,nan,0,0
3027130,3026111,396825,-0.60836464,0.54932165,0.122802995,nan,0,0
3038306,3037469,396825,-0.6075749,0.54932165,0.122802995,nan,0,0
3049557,3048645,396825,-0.60836464,0.54967374,0.12363549,nan,0,0
3060866,3059886,396825,-0.60836464,0.54967374,0.122525506,nan,0,0
3072078,3071197,396825,-0.6075749,0.54967374,0.12335799,nan,0,0
3083314,3082429,396825,-0.60836464,0.54932165,0.122802995,nan,0,0
3094611,3093619,396825,-0.60836464,0.54896945,0.122525506,nan,0,0
3105828,3104915,396825,-0.6091544,0.54896945,0.12335799,nan,0,0
3117071,3116190,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
3128377,3127378,396825,-0.60836464,0.54896945,0.122802995,nan,0,0
3139572,3138707,396825,-0.60836464,0.54896945,0.122802995,nan,0,0
3150899,3149909,396825,-0.6079697,0.54896945,0.12308049,nan,0,0
3162122,3161279,396825,-0.6079697,0.54932165,0.122525506,nan,0,0
3173321,3172427,396825,-0.60875946,0.54896945,0.122525506,nan,0,0
3184655,3183672,396825,-0.6091544,0.54896945,0.12363549,nan,0,0
3195922,3195032,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
3207115,3206278,396825,-0.60836464,0.5486173,0.122802995,nan,0,0
3218413,3217551,396825,-0.60836464,0.54967374,0.11891804,nan,0,0
3229640,3228744,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
3240887,3239972,396825,-0.6075749,0.54896945,0.122802995,nan,0,0
3252077,3251193,396825,-0.6079697,0.54896945,0.122802995,nan,0,0
3263336,3262473,396825,-0.6079697,0.54896945,0.12308049,nan,0,0
3274650,3273645,396825,-0.6079697,0.5486173,0.12363549,nan,0,0
3285835,3284999,396825,-0.60836464,0.54896945,0.122802995,nan,0,0
3297096,3296141,396825,-0.60836464,0.54896945,0.122802995,nan,0,0
3309227,3308353,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
3320477,3319646,396825,-0.60836464,0.5486173,0.122802995,nan,0,0
3331687,3330857,396825,-0.60875946,0.5486173,0.12308049,nan,0,0
3342981,3342144,396825,-0.6079697,0.54896945,0.12308049,nan,0,0
3354243,3353396,396825,-0.60875946,0.54896945,0.12335799,nan,0,0
3365438,3364609,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
3376725,3375894,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
3388060,3387167,396825,-0.60836464,0.54932165,0.12335799,nan,0,0
3399240,3398411,396825,-0.60836464,0.54932165,0.12335799,nan,0,0
3410488,3409659,396825,-0.6079697,0.54932165,0.12335799,nan,0,0
3421731,3420899,396825,-0.60836464,0.54896945,0.12308049,nan,0,0
3433000,3432160,396825,-0.6079697,0.54932165,0.12335799,nan,0,0
3444304,3443422,396825,-0.6079697,0.5500259,0.11975053,nan,0,0
3455491,3454661,396825,-0.60875946,0.54896945,0.122802995,nan,0,0
3466698,3465868,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
3478091,3477201,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
3489271,3488440,396825,-0.60875946,0.54896945,0.12419048,nan,0,0
3500467,3499637,396825,-0.60875946,0.5486173,0.12391298,nan,0,0
3511819,3510936,396825,-0.60875946,0.5486173,0.12363549,nan,0,0
3523077,3522218,396825,-0.60875946,0.5486173,0.12446798,nan,0,0
3534232,3533397,396825,-0.60836464,0.54896945,0.12363549,nan,0,0
3545512,3544680,396825,-0.6091544,0.54896945,0.12391298,nan,0,0
3556824,3555961,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
3568013,3567178,396825,-0.60836464,0.54896945,0.12335799,nan,0,0
3579319,3578457,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
3590503,3589671,396825,-0.60875946,0.54932165,0.12391298,nan,0,0
3601778,3600923,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
3613015,3612186,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
3624254,3623424,396825,-0.60836464,0.54932165,0.12363549,nan,0,0
3635532,3634677,396825,-0.60836464,0.54932165,0.12335799,nan,0,0
3646839,3645948,396825,-0.60875946,0.54896945,0.12363549,nan,0,0
3658023,3657193,396825,-0.60875946,0.54896945,0.12419048,nan,0,0
3669229,3668395,396825,-0.60836464,0.54896945,0.12391298,nan,0,0
3680592,3679712,396825,-0.60836464,0.5500259,0.11864054,nan,0,0
