timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1869512,0.23111899,-0.10757233,-0.28729364
1880753,0.23111899,-0.10757233,-0.28414866
1892003,0.23111899,-0.10757233,-0.28729364
1903300,0.23111899,-0.10757233,-0.28414866
1914569,0.2281454,-0.10757233,-0.2810037
1925757,0.2281454,-0.110478155,-0.2810037
1937006,0.2281454,-0.10757233,-0.28414866
1948291,0.23111899,-0.10757233,-0.2810037
1960113,0.2281454,-0.10757233,-0.27785876
1971254,0.23111899,-0.10757233,-0.28729364
1982398,0.2281454,-0.10757233,-0.28729364
1993540,0.23111899,-0.10757233,-0.28729364
2004686,0.23111899,-0.110478155,-0.2810037
2015848,0.23111899,-0.10757233,-0.28414866
2027097,0.23111899,-0.10757233,-0.28729364
2038293,0.23111899,-0.10757233,-0.2810037
2049535,0.23111899,-0.10757233,-0.2810037
2060812,0.23409258,-0.110478155,-0.2810037
2072071,0.23111899,-0.110478155,-0.2810037
2083325,0.23111899,-0.110478155,-0.2810037
2094552,0.23409258,-0.110478155,-0.28414866
2105833,0.23111899,-0.110478155,-0.28729364
2117089,0.23111899,-0.110478155,-0.28729364
2128347,0.23111899,-0.110478155,-0.28414866
2139564,0.23111899,-0.110478155,-0.28414866
2150838,0.23111899,-0.110478155,-0.2810037
2162085,0.23409258,-0.110478155,-0.28414866
2173337,0.23111899,-0.110478155,-0.28414866
2184650,0.23111899,-0.110478155,-0.28414866
2195852,0.23111899,-0.110478155,-0.28414866
2207085,0.23111899,-0.110478155,-0.28729364
2218664,0.23409258,-0.110478155,-0.28729364
2229847,0.23111899,-0.10757233,-0.28729364
2240988,0.23111899,-0.110478155,-0.28414866
2252155,0.23111899,-0.10757233,-0.28414866
2263403,0.23111899,-0.10757233,-0.28414866
2274639,0.2281454,-0.10757233,-0.2810037
2285855,0.23111899,-0.10757233,-0.28414866
2297156,0.23111899,-0.10757233,-0.2810037
2308364,0.23111899,-0.110478155,-0.27785876
2319638,0.2281454,-0.10757233,-0.28414866
2330871,0.2281454,-0.110478155,-0.28729364
2342169,0.23111899,-0.110478155,-0.28729364
2353399,0.23409258,-0.110478155,-0.28729364
2364652,0.23111899,-0.110478155,-0.28414866
2375925,0.23111899,-0.10757233,-0.28729364
2387135,0.23111899,-0.10757233,-0.28414866
2398990,0.23111899,-0.110478155,-0.28729364
2410135,0.23111899,-0.10757233,-0.28414866
2421275,0.23111899,-0.10757233,-0.28729364
2432454,0.23111899,-0.110478155,-0.28414866
2443629,0.23409258,-0.10757233,-0.28414866
2454774,0.23111899,-0.10757233,-0.28414866
2465918,0.23111899,-0.10757233,-0.28414866
2477244,0.23111899,-0.10757233,-0.2810037
2488446,0.23409258,-0.110478155,-0.28414866
2499669,0.23111899,-0.110478155,-0.2904386
2510930,0.23111899,-0.110478155,-0.27785876
2522237,0.23409258,-0.110478155,-0.28729364
2533448,0.23111899,-0.10757233,-0.28414866
2544695,0.23409258,-0.10757233,-0.27785876
2555970,0.23111899,-0.110478155,-0.28729364
2567213,0.23111899,-0.110478155,-0.2810037
2578460,0.23111899,-0.10757233,-0.28414866
2589720,0.23409258,-0.110478155,-0.28414866
2601023,0.23409258,-0.10757233,-0.28414866
2612207,0.23706616,-0.110478155,-0.28414866
2623461,0.2281454,-0.10757233,-0.2810037
2634765,0.23111899,-0.10757233,-0.2810037
2646000,0.23111899,-0.110478155,-0.27785876
2657877,0.23409258,-0.110478155,-0.2810037
2669027,0.23111899,-0.110478155,-0.28414866
2680201,0.23111899,-0.110478155,-0.28414866
2691342,0.23409258,-0.110478155,-0.2810037
2702540,0.23111899,-0.10757233,-0.28414866
2713694,0.23409258,-0.110478155,-0.28414866
2724840,0.23409258,-0.110478155,-0.27785876
2735993,0.23111899,-0.110478155,-0.2810037
2747278,0.23111899,-0.110478155,-0.2810037
2758505,0.23409258,-0.110478155,-0.27785876
2769764,0.23111899,-0.110478155,-0.2810037
2781043,0.23111899,-0.110478155,-0.27471378
2792267,0.23409258,-0.110478155,-0.2810037
2803568,0.23111899,-0.110478155,-0.27785876
2814826,0.23409258,-0.110478155,-0.27471378
2826015,0.23111899,-0.110478155,-0.28414866
2837273,0.23409258,-0.110478155,-0.27785876
2848600,0.23409258,-0.110478155,-0.28414866
2859819,0.23409258,-0.110478155,-0.27471378
2871026,0.23409258,-0.110478155,-0.27785876
2882343,0.23409258,-0.110478155,-0.28414866
2893562,0.23409258,-0.110478155,-0.27785876
2904791,0.23409258,-0.110478155,-0.27156883
2916409,0.23111899,-0.110478155,-0.2810037
2927547,0.23111899,-0.110478155,-0.27156883
2938691,0.23409258,-0.110478155,-0.2810037
2949884,0.23111899,-0.110478155,-0.27785876
2961109,0.23409258,-0.10757233,-0.28414866
2972372,0.23409258,-0.110478155,-0.2810037
2983563,0.23409258,-0.110478155,-0.2810037
2994833,0.23409258,-0.110478155,-0.27785876
3006106,0.23409258,-0.10757233,-0.2810037
3017345,0.23409258,-0.110478155,-0.2810037
3028579,0.23111899,-0.110478155,-0.28414866
3039851,0.23409258,-0.110478155,-0.2810037
3051099,0.23111899,-0.110478155,-0.2810037
3062353,0.23706616,-0.110478155,-0.27471378
3073607,0.23111899,-0.110478155,-0.27785876
3084839,0.23409258,-0.110478155,-0.27785876
3096684,0.23409258,-0.10757233,-0.28414866
3107828,0.23409258,-0.110478155,-0.2810037
3118980,0.23409258,-0.110478155,-0.27785876
3130144,0.23111899,-0.110478155,-0.2810037
3141308,0.23409258,-0.10757233,-0.27785876
3152451,0.23409258,-0.110478155,-0.2810037
3163623,0.23111899,-0.110478155,-0.27785876
3174935,0.23409258,-0.110478155,-0.27785876
3186135,0.23409258,-0.110478155,-0.2810037
3197371,0.23111899,-0.110478155,-0.27785876
3208628,0.23409258,-0.110478155,-0.27785876
3219955,0.23409258,-0.10757233,-0.28414866
3231132,0.23409258,-0.10757233,-0.28414866
3242391,0.23409258,-0.110478155,-0.2810037
3253684,0.23409258,-0.110478155,-0.27785876
3264922,0.23111899,-0.110478155,-0.27785876
3276164,0.23409258,-0.10757233,-0.28414866
