timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1872374,16.711569,16.711702,0.26369998,0.27393842,0.0,0.035201214,1.0,1.0,nan,4,4.1779256,4.1779256,4.1779256,4.1779256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1882323,16.696985,16.711557,0.26369998,0.27373767,0.0,0.035930052,1.0,1.0,nan,4,4.1778893,4.1778893,4.1778893,4.1778893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1892339,16.72615,16.711702,0.3223,0.27468988,0.0,0.036826763,1.0,1.0,nan,4,4.1779256,4.1779256,4.1779256,4.1779256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1902372,16.711569,16.7117,0.293,0.2750489,0.0,0.037643258,1.0,1.0,nan,4,4.177925,4.177925,4.177925,4.177925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1912320,16.711569,16.711699,0.3516,0.2765499,0.0,0.038614847,1.0,1.0,nan,4,4.1779246,4.1779246,4.1779246,4.1779246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1922326,16.799063,16.712564,0.26369998,0.27629796,0.0,0.03934786,1.0,1.0,nan,4,4.178141,4.178141,4.178141,4.178141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1932378,16.711569,16.712555,0.26369998,0.27605093,0.0,0.040084098,1.0,1.0,nan,4,4.1781387,4.1781387,4.1781387,4.1781387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1942377,16.711569,16.712545,0.2344,0.27523425,0.0,0.040735207,1.0,1.0,nan,4,4.1781363,4.1781363,4.1781363,4.1781363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1952375,16.711569,16.712536,0.2344,0.27443358,0.0,0.041386187,1.0,1.0,nan,4,4.178134,4.178134,4.178134,4.178134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1962350,16.72615,16.712671,0.3223,0.27537215,0.0,0.042279135,1.0,1.0,nan,4,4.178168,4.178168,4.178168,4.178168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1972375,16.682402,16.712372,0.293,0.2757178,0.0,0.04309506,1.0,1.0,nan,4,4.178093,4.178093,4.178093,4.178093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1982322,16.740732,16.712652,0.26369998,0.27548215,0.0,0.043823678,1.0,1.0,nan,4,4.178163,4.178163,4.178163,4.178163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1992317,16.72615,16.712786,0.26369998,0.27525112,0.0,0.044555813,1.0,1.0,nan,4,4.1781964,4.1781964,4.1781964,4.1781964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2002317,16.66782,16.712341,0.26369998,0.27502462,0.0,0.045288313,1.0,1.0,nan,4,4.1780853,4.1780853,4.1780853,4.1780853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2012317,16.711569,16.712334,0.3223,0.2759516,0.0,0.04618368,1.0,1.0,nan,4,4.1780834,4.1780834,4.1780834,4.1780834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2022317,16.696985,16.712181,0.26369998,0.27571136,0.0,0.046916105,1.0,1.0,nan,4,4.1780453,4.1780453,4.1780453,4.1780453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2032318,16.740732,16.712463,0.293,0.27605036,0.0,0.047730155,1.0,1.0,nan,4,4.178116,4.178116,4.178116,4.178116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2042321,16.711569,16.712454,0.293,0.2763827,0.0,0.048544206,1.0,1.0,nan,4,4.1781135,4.1781135,4.1781135,4.1781135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2052317,16.740732,16.712734,0.26369998,0.27613404,0.0,0.04927641,1.0,1.0,nan,4,4.1781836,4.1781836,4.1781836,4.1781836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2062318,16.72615,16.712868,0.26369998,0.27589023,0.0,0.050008986,1.0,1.0,nan,4,4.178217,4.178217,4.178217,4.178217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2072320,16.696985,16.712711,0.26369998,0.27565122,0.0,0.050741706,1.0,1.0,nan,4,4.178178,4.178178,4.178178,4.178178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2082317,16.740732,16.712988,0.293,0.27599138,0.0,0.05155527,1.0,1.0,nan,4,4.178247,4.178247,4.178247,4.178247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2092317,16.711569,16.712975,0.293,0.2763249,0.0,0.05236916,1.0,1.0,nan,4,4.1782436,4.1782436,4.1782436,4.1782436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2102320,16.711569,16.712961,0.26369998,0.27607736,0.0,0.05310188,1.0,1.0,nan,4,4.1782403,4.1782403,4.1782403,4.1782403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2112325,16.740732,16.713236,0.26369998,0.27583468,0.0,0.053834744,1.0,1.0,nan,4,4.178309,4.178309,4.178309,4.178309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2122317,16.72615,16.713364,0.293,0.27617127,0.0,0.054648064,1.0,1.0,nan,4,4.178341,4.178341,4.178341,4.178341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2132327,16.711569,16.713346,0.293,0.27650124,0.0,0.055462684,1.0,1.0,nan,4,4.1783366,4.1783366,4.1783366,4.1783366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2142320,16.72615,16.713472,0.26369998,0.27625024,0.0,0.05619467,1.0,1.0,nan,4,4.178368,4.178368,4.178368,4.178368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2152323,16.72615,16.713598,0.293,0.27657866,0.0,0.057008803,1.0,1.0,nan,4,4.1783996,4.1783996,4.1783996,4.1783996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2162318,16.696985,16.713434,0.293,0.27690065,0.0,0.057822283,1.0,1.0,nan,4,4.1783586,4.1783586,4.1783586,4.1783586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2172318,16.740732,16.713705,0.3223,0.27779084,0.0,0.05871765,1.0,1.0,nan,4,4.1784263,4.1784263,4.1784263,4.1784263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2182317,16.740732,16.713972,0.293,0.27808908,0.0,0.059531458,1.0,1.0,nan,4,4.178493,4.178493,4.178493,4.178493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2192318,16.740732,16.714237,0.2051,0.2766579,0.0,0.06010118,1.0,1.0,nan,4,4.1785593,4.1785593,4.1785593,4.1785593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2202318,16.72615,16.714355,0.293,0.27697834,0.0,0.06091515,1.0,1.0,nan,4,4.178589,4.178589,4.178589,4.178589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2212319,16.72615,16.714472,0.293,0.2772925,0.0,0.06172912,1.0,1.0,nan,4,4.178618,4.178618,4.178618,4.178618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2222323,16.755316,16.714876,0.26369998,0.27702597,0.0,0.062461913,1.0,1.0,nan,4,4.178719,4.178719,4.178719,4.178719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2232330,16.72615,16.714989,0.293,0.2773392,0.0,0.06327629,1.0,1.0,nan,4,4.178747,4.178747,4.178747,4.178747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2242378,16.682402,16.714666,0.3516,0.27879527,0.0,0.06425774,1.0,1.0,nan,4,4.1786666,4.1786666,4.1786666,4.1786666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2252383,16.711569,16.714636,0.293,0.2790738,0.0,0.06507204,1.0,1.0,nan,4,4.178659,4.178659,4.178659,4.178659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2262340,16.72615,16.71475,0.293,0.27934685,0.0,0.06588235,1.0,1.0,nan,4,4.1786876,4.1786876,4.1786876,4.1786876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2272318,16.740732,16.715008,0.3223,0.28018907,0.0,0.06677575,1.0,1.0,nan,4,4.178752,4.178752,4.178752,4.178752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2282318,16.711569,16.714973,0.293,0.28044027,0.0,0.06758963,1.0,1.0,nan,4,4.1787434,4.1787434,4.1787434,4.1787434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
2292330,16.711569,16.71494,0.52739996,0.2852826,0.0,0.06905639,1.0,1.0,nan,4,4.178735,4.178735,4.178735,4.178735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
