timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
10255411,0,0.0,0.0,0.0,0.0,0.12879276,-7.7554404e-07,2.0114958e-07,0.0,0.0016367198,-0.0022245497,0.049226902,0.04436043,-0.00015506228,4.021785e-05,0.0,-0.02504096,-0.006309055,0.009145868,0.042933755,-0.00025833378,0.0,0.1,0.44940478,0.97351307,0.64010483,0.4908718,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10265417,0,0.0,0.0,0.0,0.0,0.12811185,-7.7554404e-07,2.0114958e-07,0.0,0.0017441455,-0.0024903084,0.04867423,0.042653676,-0.00015506228,4.021785e-05,0.0,0.015037117,-0.018554568,0.0028646565,0.04294257,-0.00025833378,0.0,0.1,0.4547592,0.9776436,0.6401428,0.4919577,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10275417,0,0.0,0.0,0.0,0.0,0.12746213,-7.7554404e-07,2.0114958e-07,0.0,0.0015505318,-0.0025575657,0.048391324,0.04126913,-0.00015506228,4.021785e-05,0.0,-0.0109213265,-0.011759154,0.030004788,0.042962585,-0.00025833378,0.0,0.1,0.4601404,0.98178875,0.6402329,0.4930441,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10285420,0,0.0,0.0,0.0,0.0,0.12684472,-7.7554404e-07,2.0114958e-07,0.0,0.0015429627,-0.002462895,0.04819305,0.040019833,-0.00015506228,4.021785e-05,0.0,-0.002515009,0.013818568,0.035209052,0.042982996,-0.00025833378,0.0,0.1,0.46554753,0.98594844,0.6403751,0.49413106,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10295423,0,0.0,0.0,0.0,0.0,0.12625849,-7.7554404e-07,2.0114958e-07,0.0,0.0014736858,-0.0023222077,0.04788161,0.038706224,-0.00015506228,4.021785e-05,0.0,-0.0021516816,0.017886601,0.0068299454,0.043004185,-0.00025833378,0.0,0.1,0.4709798,0.9901227,0.6405693,0.49521852,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10305426,0,0.0,0.0,0.0,0.0,0.124778196,-7.7554404e-07,2.0114958e-07,0.0,0.0014729153,-0.0023308555,0.04740971,0.036321342,-0.00015506228,4.021785e-05,0.0,-0.00095413654,0.005149181,0.030414285,0.043025084,-0.00025833378,0.0,0.1,0.4764366,0.95646375,0.6408157,0.48285428,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10315475,0,0.0,0.0,0.0,0.0,0.12335327,-7.7554404e-07,2.0114958e-07,0.0,0.0015191182,-0.0022728932,0.046447776,0.03353368,-0.00015506228,4.021785e-05,0.0,0.010070079,0.007242408,-0.009850123,0.043029517,-0.00025833378,0.0,0.1,0.48191723,0.9605073,0.64111435,0.48392445,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10325457,0,0.0,0.0,0.0,0.0,0.12197709,-7.7554404e-07,2.0114958e-07,0.0,0.0013635248,-0.0022722401,0.045910824,0.031255297,-0.00015506228,4.021785e-05,0.0,-0.017676348,0.0053492365,0.0030416972,0.043027148,-0.00025833378,0.0,0.1,0.48742107,0.9645653,0.64146364,0.48499516,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10335439,0,0.0,0.0,0.0,0.0,0.120651126,-7.7554404e-07,2.0114958e-07,0.0,0.0013499967,-0.002205655,0.045264076,0.028948426,-0.00015506228,4.021785e-05,0.0,-0.0006105058,-0.0067902817,0.011510737,0.043027457,-0.00025833378,0.0,0.1,0.4929476,0.96863776,0.6418652,0.48606637,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10345445,0,0.0,0.0,0.0,0.0,0.119374946,-7.7554404e-07,2.0114958e-07,0.0,0.0012986296,-0.0021716114,0.044662934,0.026765617,-0.00015506228,4.021785e-05,0.0,-0.01601829,0.0032587664,0.006349533,0.04302798,-0.00025833378,0.0,0.1,0.4984963,0.9727246,0.6423185,0.48713806,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10355440,0,0.0,0.0,0.0,0.0,0.118145175,-7.7554404e-07,2.0114958e-07,0.0,0.0014320102,-0.002146798,0.044036757,0.02463347,-0.00015506228,4.021785e-05,0.0,0.019070152,-0.014932356,-0.0052286424,0.043030467,-0.00025833378,0.0,0.1,0.5040667,0.97682583,0.6428238,0.4882103,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10365444,0,0.0,0.0,0.0,0.0,0.11695988,-7.7554404e-07,2.0114958e-07,0.0,0.0014214978,-0.0021794604,0.043344207,0.022507973,-0.00015506228,4.021785e-05,0.0,-0.0082587525,-0.005145993,0.0021737248,0.043035526,-0.00025833378,0.0,0.1,0.5096583,0.98094153,0.6433801,0.48928303,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10375447,0,0.0,0.0,0.0,0.0,0.115818,-7.7554404e-07,2.0114958e-07,0.0,0.0012706786,-0.0020681454,0.04275443,0.02055569,-0.00015506228,4.021785e-05,0.0,-0.01752239,0.005557675,-0.010570611,0.043039355,-0.00025833378,0.0,0.1,0.5152708,0.98507154,0.64398825,0.49035624,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10385449,0,0.0,0.0,0.0,0.0,0.11468836,-7.7554404e-07,2.0114958e-07,0.0,0.001343905,-0.0020793853,0.04216456,0.018641006,-0.00015506228,4.021785e-05,0.0,0.0033596312,0.005808358,0.0012370755,0.043037098,-0.00025833378,0.0,0.1,0.5209038,0.9519257,0.64464813,0.47825882,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10395453,0,0.0,0.0,0.0,0.0,0.11359969,-7.7554404e-07,2.0114958e-07,0.0,0.0013421314,-0.002125173,0.041563362,0.016781894,-0.00015506228,4.021785e-05,0.0,0.0034713277,-0.007615884,0.009353213,0.043032505,-0.00025833378,0.0,0.1,0.52655697,0.95592785,0.64535856,0.47931516,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
10405456,0,0.0,0.0,0.0,0.0,0.112550564,-7.7554404e-07,2.0114958e-07,0.0,0.00134997,-0.0019542414,0.0408695,0.014894633,-0.00015506228,4.021785e-05,0.0,0.007158169,0.013448357,-0.01812248,0.04303698,-0.00025833378,0.0,0.1,0.5322301,0.9599443,0.6461199,0.480372,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1
