timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
1420207,1414945,917551,2162703,917543,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1921078,1414945,302907439,304152623,302907431,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2940025,1414945,302907439,304152623,302907439,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3959019,1414945,302907439,304152623,302907439,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4979020,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5999018,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
6509945,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7528950,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8548966,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9569111,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10769956,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11792150,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12793955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13806112,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14827082,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
15838639,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16849956,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17862044,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18872133,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19891980,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20912956,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
21915955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22917988,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23923988,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24943957,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25962990,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
26973024,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
27994028,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
28504004,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
29514308,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30533955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
31553957,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
32573955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
33577957,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
34588018,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
35609175,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36629955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
38653181,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
39671955,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
40693639,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
41714150,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
42734143,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
43754382,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
44774332,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
45794529,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
46815202,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
47825970,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
48837097,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
49847191,1414945,305004591,304152623,305004559,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
