timestamp,timestamp_sample,x,y,z,q[0],q[1],q[2],q[3],q_offset[0],q_offset[1],q_offset[2],q_offset[3],pose_covariance[0],pose_covariance[1],pose_covariance[2],pose_covariance[3],pose_covariance[4],pose_covariance[5],pose_covariance[6],pose_covariance[7],pose_covariance[8],pose_covariance[9],pose_covariance[10],pose_covariance[11],pose_covariance[12],pose_covariance[13],pose_covariance[14],pose_covariance[15],pose_covariance[16],pose_covariance[17],pose_covariance[18],pose_covariance[19],pose_covariance[20],vx,vy,vz,rollspeed,pitchspeed,yawspeed,velocity_covariance[0],velocity_covariance[1],velocity_covariance[2],velocity_covariance[3],velocity_covariance[4],velocity_covariance[5],velocity_covariance[6],velocity_covariance[7],velocity_covariance[8],velocity_covariance[9],velocity_covariance[10],velocity_covariance[11],velocity_covariance[12],velocity_covariance[13],velocity_covariance[14],velocity_covariance[15],velocity_covariance[16],velocity_covariance[17],velocity_covariance[18],velocity_covariance[19],velocity_covariance[20],local_frame,velocity_frame
10367305,10366306,0.0,0.0,-0.13963394,0.9998092,-0.015328236,0.0075064288,0.009500985,0.0,0.0,0.0,0.0,0.1268653,0.0,0.0,0.0,0.0,0.0,0.12686582,0.0,0.0,0.0,0.0,0.96504503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009347778,0.004127302,-0.0048351055,0.0025031082,-0.001979245,-0.0008097347,0.20532487,0.0,0.0,0.0,0.0,0.0,0.2053279,0.0,0.0,0.0,0.0,0.23956454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10377248,10376309,0.0,0.0,-0.13997751,0.9998092,-0.015330152,0.0075060613,0.009501695,0.0,0.0,0.0,0.0,0.12968719,0.0,0.0,0.0,0.0,0.0,0.12968774,0.0,0.0,0.0,0.0,0.97318333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009347042,0.00419287,-0.005221162,0.002503114,-0.0019792633,-0.0008097406,0.20567878,0.0,0.0,0.0,0.0,0.0,0.2056818,0.0,0.0,0.0,0.0,0.24061535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10387296,10386321,0.0,0.0,-0.14084591,0.9998092,-0.015333073,0.0075022425,0.009504819,0.0,0.0,0.0,0.0,0.13255085,0.0,0.0,0.0,0.0,0.0,0.13255142,0.0,0.0,0.0,0.0,0.908594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008430997,0.004200739,-0.00561258,0.0025030836,-0.0019792132,-0.00080973987,0.20606576,0.0,0.0,0.0,0.0,0.0,0.2060688,0.0,0.0,0.0,0.0,0.2288415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10397306,10396311,0.0,0.0,-0.14169136,0.99980915,-0.01533521,0.007496107,0.009509287,0.0,0.0,0.0,0.0,0.13545641,0.0,0.0,0.0,0.0,0.0,0.13545701,0.0,0.0,0.0,0.0,0.91624534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008599362,0.004150918,-0.005985968,0.0025030752,-0.001979263,-0.00080962165,0.20648606,0.0,0.0,0.0,0.0,0.0,0.20648913,0.0,0.0,0.0,0.0,0.22985232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10407169,10406313,0.0,0.0,-0.14251433,0.9998091,-0.015336797,0.007499636,0.009513501,0.0,0.0,0.0,0.0,0.13840407,0.0,0.0,0.0,0.0,0.0,0.1384047,0.0,0.0,0.0,0.0,0.92395616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079487026,0.004356616,-0.0064744586,0.0025030952,-0.0019792642,-0.00080959674,0.20693915,0.0,0.0,0.0,0.0,0.0,0.20694223,0.0,0.0,0.0,0.0,0.23086585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10417320,10416315,0.0,0.0,-0.14331394,0.9998089,-0.015338335,0.007500547,0.009517061,0.0,0.0,0.0,0.0,0.141394,0.0,0.0,0.0,0.0,0.0,0.14139466,0.0,0.0,0.0,0.0,0.93172675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006760015,0.004455272,-0.006595515,0.0025030738,-0.0019792735,-0.00080884306,0.20742422,0.0,0.0,0.0,0.0,0.0,0.20742734,0.0,0.0,0.0,0.0,0.23188208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10427195,10426317,0.0,0.0,-0.14409174,0.99980885,-0.015337117,0.0074999365,0.009525555,0.0,0.0,0.0,0.0,0.14442642,0.0,0.0,0.0,0.0,0.0,0.14442709,0.0,0.0,0.0,0.0,0.93955743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00063048274,0.0043061804,-0.006872085,0.0025031008,-0.0019792705,-0.0008088849,0.20794329,0.0,0.0,0.0,0.0,0.0,0.20794643,0.0,0.0,0.0,0.0,0.232901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10437419,10436319,0.0,0.0,-0.14484999,0.99980885,-0.015331839,0.0075020036,0.009533858,0.0,0.0,0.0,0.0,0.1475015,0.0,0.0,0.0,0.0,0.0,0.1475022,0.0,0.0,0.0,0.0,0.94744855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000567654,0.0043000346,-0.0074100518,0.0025030186,-0.0019792349,-0.00080838945,0.20849746,0.0,0.0,0.0,0.0,0.0,0.20850065,0.0,0.0,0.0,0.0,0.23392265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10447174,10446321,0.0,0.0,-0.14558901,0.99980885,-0.015330986,0.007497759,0.009546622,0.0,0.0,0.0,0.0,0.15061946,0.0,0.0,0.0,0.0,0.0,0.15062019,0.0,0.0,0.0,0.0,0.9554004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006115744,0.0043672496,-0.007698639,0.0025030014,-0.001979251,-0.0008084054,0.20908275,0.0,0.0,0.0,0.0,0.0,0.20908597,0.0,0.0,0.0,0.0,0.234947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10457642,10456324,0.0,0.0,-0.14630775,0.9998087,-0.015333025,0.007495638,0.009559554,0.0,0.0,0.0,0.0,0.09521295,0.0,0.0,0.0,0.0,0.0,0.09521324,0.0,0.0,0.0,0.0,0.9634132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007293905,0.0045359707,-0.007917891,0.0025019553,-0.0019904654,-0.0008087558,0.14695333,0.0,0.0,0.0,0.0,0.0,0.14695567,0.0,0.0,0.0,0.0,0.23597391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10467238,10466324,0.0,0.0,-0.14700843,0.99980855,-0.015334294,0.007494481,0.009574012,0.0,0.0,0.0,0.0,0.097198695,0.0,0.0,0.0,0.0,0.0,0.097199,0.0,0.0,0.0,0.0,0.9714874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008644536,0.004677313,-0.008330782,0.0025020759,-0.0019905202,-0.00080877,0.14754236,0.0,0.0,0.0,0.0,0.0,0.14754476,0.0,0.0,0.0,0.0,0.23700365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10477284,10476326,0.0,0.0,-0.14785962,0.99980843,-0.015339053,0.0074949847,0.009580393,0.0,0.0,0.0,0.0,0.0992149,0.0,0.0,0.0,0.0,0.0,0.09921521,0.0,0.0,0.0,0.0,0.9070844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007218042,0.0047215996,-0.008658619,0.002502038,-0.0019904673,-0.00080877176,0.14816342,0.0,0.0,0.0,0.0,0.0,0.14816588,0.0,0.0,0.0,0.0,0.22541021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10487341,10486369,0.0,0.0,-0.14868936,0.9998083,-0.015333051,0.007496068,0.0095962025,0.0,0.0,0.0,0.0,0.10126177,0.0,0.0,0.0,0.0,0.0,0.1012621,0.0,0.0,0.0,0.0,0.91467565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006916699,0.0048104776,-0.009125338,0.0025021008,-0.0019904869,-0.00080919155,0.14881544,0.0,0.0,0.0,0.0,0.0,0.14881797,0.0,0.0,0.0,0.0,0.22640072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
