timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1856243,5.1788087,3.3322265,1,0,1,0,1,0,0
1866274,5.240039,3.3580077,1,0,1,0,1,0,0
1876296,5.167529,3.3370605,1,0,1,0,1,0,0
1886298,5.1884766,3.3322265,1,0,1,0,1,0,0
1896306,5.235205,3.3547852,1,0,1,0,1,0,0
1906286,5.1755857,3.3354492,1,0,1,0,1,0,0
1916298,5.2368164,3.3580077,1,0,1,0,1,0,0
1926258,5.1691403,3.3338377,1,0,1,0,1,0,0
1936244,5.21748,3.3322265,1,0,1,0,1,0,0
1946252,5.21748,3.3547852,1,0,1,0,1,0,0
1956240,5.1755857,3.3322265,1,0,1,0,1,0,0
1966239,5.240039,3.3354492,1,0,1,0,1,0,0
1976239,5.1739745,3.3563964,1,0,1,0,1,0,0
1986300,5.190088,3.3531737,1,0,1,0,1,0,0
1996266,5.230371,3.3306153,1,0,1,0,1,0,0
2006240,5.190088,3.3580077,1,0,1,0,1,0,0
2016241,5.2497067,3.3338377,1,0,1,0,1,0,0
2026240,5.2497067,3.3322265,1,0,1,0,1,0,0
2036241,5.2497067,3.3338377,1,0,1,0,1,0,0
2046250,5.21748,3.3338377,1,0,1,0,1,0,0
2056242,5.2497067,3.3290038,1,0,1,0,1,0,0
2066238,5.2464843,3.3338377,1,0,1,0,1,0,0
2076299,5.2497067,3.364453,1,0,1,0,1,0,0
2086276,5.22876,3.3322265,1,0,1,0,1,0,0
2096240,5.2464843,3.3563964,1,0,1,0,1,0,0
2106242,5.240039,3.3531737,1,0,1,0,1,0,0
2116243,5.230371,3.3338377,1,0,1,0,1,0,0
2126244,5.231982,3.3338377,1,0,1,0,1,0,0
2136241,5.2239256,3.3338377,1,0,1,0,1,0,0
2146241,5.2384276,3.3306153,1,0,1,0,1,0,0
2156241,5.24165,3.3322265,1,0,1,0,1,0,0
2166243,5.235205,3.3306153,1,0,1,0,1,0,0
2176241,5.2464843,3.3322265,1,0,1,0,1,0,0
2186243,5.254541,3.3322265,1,0,1,0,1,0,0
2196240,5.2529297,3.3290038,1,0,1,0,1,0,0
2206240,5.2384276,3.3580077,1,0,1,0,1,0,0
2216245,5.235205,3.3322265,1,0,1,0,1,0,0
2226246,5.2384276,3.3338377,1,0,1,0,1,0,0
2236252,5.231982,3.3354492,1,0,1,0,1,0,0
2246240,5.2497067,3.3338377,1,0,1,0,1,0,0
2256273,5.235205,3.3322265,1,0,1,0,1,0,0
2266304,5.2497067,3.3290038,1,0,1,0,1,0,0
2276269,5.2239256,3.3338377,1,0,1,0,1,0,0
2286240,5.2335935,3.3306153,1,0,1,0,1,0,0
2296241,5.243262,3.3322265,1,0,1,0,1,0,0
2306241,5.2368164,3.3580077,1,0,1,0,1,0,0
2316240,5.2384276,3.3322265,1,0,1,0,1,0,0
2326249,5.2335935,3.3306153,1,0,1,0,1,0,0
2336247,5.2368164,3.3612304,1,0,1,0,1,0,0
2346242,5.244873,3.3322265,1,0,1,0,1,0,0
2356241,5.2384276,3.3322265,1,0,1,0,1,0,0
2366241,5.235205,3.3596191,1,0,1,0,1,0,0
2376239,5.24165,3.3322265,1,0,1,0,1,0,0
2386240,5.2464843,3.3290038,1,0,1,0,1,0,0
2396276,5.2513185,3.3306153,1,0,1,0,1,0,0
2406302,5.244873,3.3306153,1,0,1,0,1,0,0
2416297,5.225537,3.3322265,1,0,1,0,1,0,0
2426302,5.22876,3.3338377,1,0,1,0,1,0,0
2436351,5.230371,3.3290038,1,0,1,0,1,0,0
2446328,5.243262,3.3338377,1,0,1,0,1,0,0
2456325,5.256152,3.3580077,1,0,1,0,1,0,0
2466294,5.2513185,3.3322265,1,0,1,0,1,0,0
2476303,5.259375,3.3322265,1,0,1,0,1,0,0
2486314,5.240039,3.3628418,1,0,1,0,1,0,0
2496287,5.2480955,3.3322265,1,0,1,0,1,0,0
2506287,5.231982,3.3354492,1,0,1,0,1,0,0
2516295,5.2384276,3.3338377,1,0,1,0,1,0,0
2526334,5.230371,3.3338377,1,0,1,0,1,0,0
2536259,5.2335935,3.3612304,1,0,1,0,1,0,0
2546293,5.235205,3.3322265,1,0,1,0,1,0,0
2556247,5.240039,3.3338377,1,0,1,0,1,0,0
